op,dec,hex,count,percent
PUSH1, 96,0x60, 133787,14.00%
PUSH2, 97,0x61,  85178,8.91%
POP, 80,0x50,  64330,6.73%
JUMPDEST, 91,0x5b,  59934,6.27%
SWAP1,144,0x90,  52041,5.45%
ADD,  1,0x01,  49065,5.13%
DUP1,128,0x80,  47008,4.92%
DUP2,129,0x81,  44778,4.69%
JUMP, 86,0x56,  39706,4.15%
MSTORE, 82,0x52,  28618,2.99%
DUP3,130,0x82,  26202,2.74%
SWAP2,145,0x91,  25977,2.72%
JUMPI, 87,0x57,  24905,2.61%
MLOAD, 81,0x51,  22914,2.40%
ISZERO, 21,0x15,  19365,2.03%
AND, 22,0x16,  18673,1.95%
DUP4,131,0x83,  17810,1.86%
SUB,  3,0x03,  14366,1.50%
REVERT,253,0xfd,  12403,1.30%
SWAP3,146,0x92,  10762,1.13%
DUP5,132,0x84,   9859,1.03%
PUSH4, 99,0x63,   9592,1.00%
SHL, 27,0x1b,   7940,0.83%
PUSH20,115,0x73,   7267,0.76%
PUSH32,127,0x7f,   6999,0.73%
SLOAD, 84,0x54,   6529,0.68%
RETURNDATASIZE, 61,0x3d,   6316,0.66%
EQ, 20,0x14,   6208,0.65%
LT, 16,0x10,   5616,0.59%
DUP6,133,0x85,   5606,0.59%
DUP7,134,0x86,   5424,0.57%
MUL,  2,0x02,   5167,0.54%
CALLDATALOAD, 53,0x35,   5098,0.53%
SWAP4,147,0x93,   4675,0.49%
GT, 17,0x11,   4058,0.42%
DUP8,135,0x87,   3685,0.39%
CALLDATASIZE, 54,0x36,   2887,0.30%
NOT, 25,0x19,   2796,0.29%
INVALID,254,0xfe,   2766,0.29%
SHA3, 32,0x20,   2406,0.25%
SSTORE, 85,0x55,   2363,0.25%
GAS, 90,0x5a,   2362,0.25%
DUP9,136,0x88,   2351,0.25%
RETURNDATACOPY, 62,0x3e,   2301,0.24%
DIV,  4,0x04,   2155,0.23%
SWAP5,148,0x94,   2125,0.22%
EXTCODESIZE, 59,0x3b,   2069,0.22%
EXP, 10,0x0a,   1760,0.18%
SWAP6,149,0x95,   1622,0.17%
DUP10,137,0x89,   1582,0.17%
CALLER, 51,0x33,   1512,0.16%
SLT, 18,0x12,   1415,0.15%
OR, 23,0x17,   1354,0.14%
CALLVALUE, 52,0x34,   1293,0.14%
CALL,241,0xf1,   1218,0.13%
PUSH3, 98,0x62,   1197,0.13%
DUP11,138,0x8a,   1168,0.12%
STATICCALL,250,0xfa,   1057,0.11%
DUP12,139,0x8b,    941,0.10%
RETURN,243,0xf3,    934,0.10%
DUP13,140,0x8c,    849,0.09%
PUSH16,111,0x6f,    823,0.09%
SWAP7,150,0x96,    795,0.08%
CALLDATACOPY, 55,0x37,    684,0.07%
DUP15,142,0x8e,    592,0.06%
SWAP8,151,0x97,    541,0.06%
CODECOPY, 57,0x39,    529,0.06%
SHR, 28,0x1c,    526,0.06%
PUSH5,100,0x64,    487,0.05%
DUP14,141,0x8d,    474,0.05%
ADDRESS, 48,0x30,    470,0.05%
SIGNEXTEND, 11,0x0b,    463,0.05%
LOG1,161,0xa1,    457,0.05%
PUSH8,103,0x67,    407,0.04%
SWAP9,152,0x98,    321,0.03%
MISSING, 73,0x49,    305,0.03%
TIMESTAMP, 66,0x42,    291,0.03%
DUP16,143,0x8f,    273,0.03%
MISSING, 78,0x4e,    241,0.03%
PUSH10,105,0x69,    195,0.02%
GASLIMIT, 69,0x45,    187,0.02%
MISSING, 70,0x46,    184,0.02%
MSTORE8, 83,0x53,    184,0.02%
SWAP14,157,0x9d,    182,0.02%
MISSING, 95,0x5f,    181,0.02%
PUSH28,123,0x7b,    164,0.02%
SWAP10,153,0x99,    157,0.02%
PUSH6,101,0x65,    148,0.02%
PUSH21,116,0x74,    142,0.01%
COINBASE, 65,0x41,    139,0.01%
PUSH12,107,0x6b,    138,0.01%
PUSH15,110,0x6e,    129,0.01%
PUSH17,112,0x70,    123,0.01%
NUMBER, 67,0x43,    111,0.01%
PUSH14,109,0x6d,    101,0.01%
MISSING, 79,0x4f,     98,0.01%
LOG2,162,0xa2,     98,0.01%
SWAP12,155,0x9b,     97,0.01%
SWAP11,154,0x9a,     92,0.01%
LOG3,163,0xa3,     84,0.01%
SGT, 19,0x13,     82,0.01%
LOG4,164,0xa4,     82,0.01%
DELEGATECALL,244,0xf4,     81,0.01%
MISSING, 77,0x4d,     76,0.01%
BYTE, 26,0x1a,     75,0.01%
DIFFICULTY, 68,0x44,     74,0.01%
PUSH31,126,0x7e,     71,0.01%
MISSING, 71,0x47,     69,0.01%
PUSH11,106,0x6a,     66,0.01%
PUSH13,108,0x6c,     60,0.01%
SWAP13,156,0x9c,     59,0.01%
PUSH19,114,0x72,     53,0.01%
CODESIZE, 56,0x38,     52,0.01%
ORIGIN, 50,0x32,     48,0.01%
BALANCE, 49,0x31,     45,0.00%
MISSING, 76,0x4c,     43,0.00%
PUSH27,122,0x7a,     40,0.00%
PUSH24,119,0x77,     37,0.00%
PUSH25,120,0x78,     36,0.00%
PUSH29,124,0x7c,     36,0.00%
PUSH9,104,0x68,     33,0.00%
PUSH18,113,0x71,     33,0.00%
PUSH22,117,0x75,     33,0.00%
PUSH26,121,0x79,     33,0.00%
MSIZE, 89,0x59,     31,0.00%
PUSH23,118,0x76,     30,0.00%
GASPRICE, 58,0x3a,     28,0.00%
MISSING, 46,0x2e,     27,0.00%
MULMOD,  9,0x09,     24,0.00%
XOR, 24,0x18,     15,0.00%
PUSH7,102,0x66,     15,0.00%
CALLCODE,242,0xf2,     13,0.00%
MOD,  6,0x06,     12,0.00%
PC, 88,0x58,     12,0.00%
SELFDESTRUCT,255,0xff,     12,0.00%
SWAP16,159,0x9f,     11,0.00%
SWAP15,158,0x9e,     10,0.00%
MISSING, 37,0x25,      9,0.00%
MISSING,168,0xa8,      8,0.00%
MISSING,173,0xad,      8,0.00%
MISSING,200,0xc8,      8,0.00%
CREATE2,245,0xf5,      8,0.00%
MISSING,251,0xfb,      8,0.00%
MISSING, 72,0x48,      6,0.00%
MISSING, 31,0x1f,      5,0.00%
MISSING, 43,0x2b,      5,0.00%
MISSING,226,0xe2,      5,0.00%
SMOD,  7,0x07,      4,0.00%
ADDMOD,  8,0x08,      4,0.00%
MISSING, 35,0x23,      4,0.00%
MISSING, 45,0x2d,      4,0.00%
MISSING,170,0xaa,      4,0.00%
MISSING,179,0xb3,      4,0.00%
MISSING,187,0xbb,      4,0.00%
MISSING,195,0xc3,      4,0.00%
