op,dec,hex,min,max,mean,sd,f-stat
MOD,  6,0x06,0,1,0.1,0.3,inf
MULMOD,  9,0x09,0,2,0.2,0.6,inf
XOR, 24,0x18,0,1,0.1,0.3,inf
BYTE, 26,0x1a,0,6,0.6,1.8,inf
ORIGIN, 50,0x32,0,2,0.4,0.8,inf
CALLVALUE, 52,0x34,1,36,10.8,11.5,inf
MISSING, 71,0x47,0,4,0.6,1.3,inf
LOG3,163,0xa3,0,2,0.7,0.8,inf
DELEGATECALL,244,0xf4,0,4,0.7,1.2,inf
SELFDESTRUCT,255,0xff,0,1,0.1,0.3,inf
ADDRESS, 48,0x30,0,18,3.9,5.5,5459.0
SHA3, 32,0x20,0,68,20.1,19.5,1410.7
TIMESTAMP, 66,0x42,0,15,2.4,4.3,1132.1
CALLDATACOPY, 55,0x37,0,74,5.7,12.1,1105.0
SWAP14,157,0x9d,0,15,1.5,4.2,1009.5
CALLDATASIZE, 54,0x36,6,46,24.1,10.8,929.4
LOG4,164,0xa4,0,4,0.7,1.3,659.7
LOG2,162,0xa2,0,4,0.8,1.5,534.2
SIGNEXTEND, 11,0x0b,0,45,3.9,11.7,514.0
JUMPI, 87,0x57,32,758,207.5,133.7,489.5
DUP13,140,0x8c,0,89,7.1,14.3,347.3
GT, 17,0x11,0,338,33.8,48.9,335.6
ISZERO, 21,0x15,8,500,161.4,113.8,331.7
CALL,241,0xf1,0,31,10.2,9.3,279.3
CALLER, 51,0x33,2,24,12.6,5.6,261.4
RETURNDATASIZE, 61,0x3d,0,171,52.6,45.3,253.4
DUP12,139,0x8b,0,89,7.8,14.5,252.2
EXTCODESIZE, 59,0x3b,0,65,17.2,16.9,244.7
DUP5,132,0x84,3,316,82.2,64.5,243.1
DUP8,135,0x87,0,104,30.7,30.5,231.4
STATICCALL,250,0xfa,0,34,8.8,8.9,227.4
PUSH4, 99,0x63,6,220,79.9,58.9,224.6
RETURNDATACOPY, 62,0x3e,0,66,19.2,17.0,224.4
OR, 23,0x17,2,61,11.3,11.3,222.8
GAS, 90,0x5a,0,65,19.7,16.6,215.5
BALANCE, 49,0x31,0,2,0.4,0.7,197.7
GASPRICE, 58,0x3a,0,3,0.2,0.7,196.6
ADD,  1,0x01,17,1809,408.9,347.3,171.9
MLOAD, 81,0x51,16,733,190.9,149.5,165.4
DUP7,134,0x86,0,130,45.2,36.5,159.2
SHR, 28,0x1c,1,26,4.4,7.1,158.9
MSTORE, 82,0x52,15,694,238.5,168.5,158.8
DUP9,136,0x88,0,74,19.6,20.8,153.8
MUL,  2,0x02,0,419,43.1,61.0,145.5
DUP2,129,0x81,28,1357,373.1,273.7,143.6
DUP6,133,0x85,2,150,46.7,38.3,132.5
LT, 16,0x10,3,293,46.8,47.8,128.6
SSTORE, 85,0x55,0,65,19.7,17.2,125.8
DUP3,130,0x82,9,711,218.3,158.9,123.7
DUP14,141,0x8d,0,40,4.0,6.7,118.9
LOG1,161,0xa1,0,17,3.8,5.0,116.0
SWAP8,151,0x97,0,17,4.5,4.7,110.4
DUP16,143,0x8f,0,27,2.3,4.8,104.9
PUSH1, 96,0x60,110,3242,1114.9,772.4,104.6
REVERT,253,0xfd,7,257,103.4,68.0,102.0
DUP10,137,0x89,0,58,13.2,16.1,100.1
SLOAD, 84,0x54,0,162,54.4,40.2,98.1
SGT, 19,0x13,0,5,0.7,1.3,87.6
SLT, 18,0x12,0,45,11.8,12.9,86.6
AND, 22,0x16,20,468,155.6,114.4,84.3
SWAP12,155,0x9b,0,6,0.8,1.5,79.5
INVALID,254,0xfe,1,364,23.1,48.4,76.7
EQ, 20,0x14,10,118,51.7,25.0,73.5
SWAP4,147,0x93,1,182,39.0,36.5,64.9
DUP15,142,0x8e,0,49,4.9,8.4,58.3
DUP1,128,0x80,58,1260,391.7,276.4,57.6
DUP4,131,0x83,10,487,148.4,119.4,55.5
SWAP3,146,0x92,5,387,89.7,75.3,55.2
SWAP7,150,0x96,0,26,6.6,6.3,53.5
DUP11,138,0x8a,0,54,9.7,12.6,50.1
PUSH2, 97,0x61,77,2233,709.8,526.2,45.8
SWAP11,154,0x9a,0,6,0.8,1.3,44.6
SWAP5,148,0x94,0,80,17.7,15.5,38.2
CALLDATALOAD, 53,0x35,3,165,42.5,40.2,36.2
PUSH12,107,0x6b,0,14,1.1,3.1,36.0
SWAP10,153,0x99,0,7,1.3,2.0,35.2
SWAP6,149,0x95,0,86,13.5,15.5,31.3
PUSH24,119,0x77,0,3,0.3,0.8,29.9
SWAP13,156,0x9c,0,3,0.5,1.0,29.6
JUMPDEST, 91,0x5b,61,1640,499.4,366.9,28.8
PUSH16,111,0x6f,0,100,6.9,21.4,28.7
SWAP1,144,0x90,55,1406,433.7,320.6,28.4
MSTORE8, 83,0x53,0,13,1.5,3.6,25.7
NUMBER, 67,0x43,0,9,0.9,2.4,24.7
SWAP16,159,0x9f,0,1,0.1,0.3,24.5
MISSING, 79,0x4f,0,10,0.8,2.7,24.4
NOT, 25,0x19,0,100,23.3,20.2,24.1
MISSING, 37,0x25,0,1,0.1,0.3,24.1
MISSING, 46,0x2e,0,3,0.2,0.8,24.1
MISSING, 95,0x5f,0,20,1.5,5.0,24.0
MISSING, 78,0x4e,0,27,2.0,6.8,23.9
MISSING, 70,0x46,0,19,1.5,5.0,23.8
JUMP, 86,0x56,29,1288,330.9,288.0,23.6
MISSING, 77,0x4d,0,8,0.6,2.1,23.4
MISSING, 73,0x49,0,36,2.5,8.6,23.4
GASLIMIT, 69,0x45,0,19,1.6,4.7,23.4
SWAP2,145,0x91,20,714,216.5,165.1,22.8
COINBASE, 65,0x41,0,17,1.2,3.8,22.6
SWAP9,152,0x98,0,16,2.7,3.1,20.9
MISSING, 76,0x4c,0,6,0.4,1.3,20.4
DIFFICULTY, 68,0x44,0,9,0.6,1.9,20.2
PUSH15,110,0x6e,0,12,1.1,2.6,19.5
SUB,  3,0x03,8,353,119.7,90.2,18.3
PUSH17,112,0x70,0,16,1.0,3.1,17.2
POP, 80,0x50,22,1911,536.1,453.6,16.1
PC, 88,0x58,0,2,0.1,0.4,16.0
SWAP15,158,0x9e,0,1,0.1,0.3,15.6
PUSH29,124,0x7c,0,4,0.3,1.0,14.9
PUSH10,105,0x69,0,31,1.6,5.8,14.5
PUSH5,100,0x64,0,98,4.1,13.5,13.8
CODECOPY, 57,0x39,0,46,4.4,8.8,13.4
DIV,  4,0x04,0,91,18.0,24.4,13.4
PUSH6,101,0x65,0,8,1.2,2.2,13.0
MSIZE, 89,0x59,0,1,0.3,0.4,12.9
PUSH22,117,0x75,0,6,0.3,1.0,10.4
PUSH28,123,0x7b,0,11,1.4,2.5,9.4
PUSH31,126,0x7e,0,13,0.6,2.4,8.6
PUSH7,102,0x66,0,1,0.1,0.3,8.4
PUSH8,103,0x67,0,16,3.4,4.6,8.3
PUSH13,108,0x6c,0,5,0.5,1.1,7.9
PUSH32,127,0x7f,2,270,58.3,55.3,7.7
PUSH3, 98,0x62,0,69,10.0,16.7,7.3
PUSH11,106,0x6a,0,8,0.6,1.5,6.8
PUSH14,109,0x6d,0,9,0.8,2.1,6.7
PUSH19,114,0x72,0,3,0.4,0.8,6.5
PUSH26,121,0x79,0,3,0.3,0.6,6.1
CODESIZE, 56,0x38,0,5,0.4,1.1,5.4
MISSING, 41,0x29,0,1,0.0,0.1,4.3
MISSING, 47,0x2f,0,1,0.0,0.1,4.3
PUSH30,125,0x7d,0,1,0.0,0.1,4.3
MISSING,165,0xa5,0,1,0.0,0.1,4.3
MISSING,171,0xab,0,1,0.0,0.1,4.3
MISSING,183,0xb7,0,1,0.0,0.1,4.3
MISSING,186,0xba,0,2,0.0,0.2,4.3
MISSING,216,0xd8,0,1,0.0,0.1,4.3
MISSING,232,0xe8,0,1,0.0,0.1,4.3
MISSING,246,0xf6,0,1,0.0,0.1,4.3
SMOD,  7,0x07,0,1,0.0,0.2,4.0
ADDMOD,  8,0x08,0,1,0.0,0.2,4.0
MISSING,170,0xaa,0,1,0.0,0.2,4.0
MISSING,195,0xc3,0,1,0.0,0.2,4.0
MISSING,205,0xcd,0,1,0.0,0.2,4.0
MISSING,208,0xd0,0,1,0.0,0.2,4.0
MISSING,224,0xe0,0,1,0.0,0.2,4.0
MISSING, 35,0x23,0,1,0.0,0.2,4.0
MISSING, 45,0x2d,0,1,0.0,0.2,4.0
MISSING,173,0xad,0,2,0.1,0.4,4.0
MISSING,179,0xb3,0,1,0.0,0.2,4.0
MISSING,187,0xbb,0,1,0.0,0.2,4.0
MISSING,200,0xc8,0,2,0.1,0.4,4.0
MISSING,221,0xdd,0,1,0.0,0.2,4.0
MISSING,234,0xea,0,1,0.0,0.2,4.0
MISSING,239,0xef,0,1,0.0,0.2,4.0
CREATE2,245,0xf5,0,2,0.1,0.4,4.0
MISSING,249,0xf9,0,1,0.0,0.2,4.0
MISSING, 43,0x2b,0,1,0.0,0.2,3.9
MISSING,226,0xe2,0,1,0.0,0.2,3.9
MISSING, 31,0x1f,0,1,0.0,0.2,3.9
PUSH23,118,0x76,0,2,0.2,0.6,3.8
PUSH21,116,0x74,0,7,1.2,1.7,3.7
MISSING,168,0xa8,0,1,0.1,0.3,3.6
MISSING,251,0xfb,0,1,0.1,0.3,3.6
CALLCODE,242,0xf2,0,2,0.1,0.4,3.6
PUSH18,113,0x71,0,4,0.3,1.0,3.4
PUSH20,115,0x73,0,261,60.6,63.3,3.3
PUSH25,120,0x78,0,5,0.3,1.0,3.3
EXP, 10,0x0a,0,108,14.7,25.0,3.1
PUSH9,104,0x68,0,3,0.3,0.8,2.9
MISSING, 72,0x48,0,2,0.1,0.3,2.7
SHL, 27,0x1b,0,405,66.2,93.2,2.5
PUSH27,122,0x7a,0,3,0.3,0.8,2.4
RETURN,243,0xf3,1,45,7.8,10.5,1.3
SDIV,  5,0x05,0,0,0.0,0.0,nan
MISSING, 12,0x0c,0,0,0.0,0.0,nan
MISSING, 13,0x0d,0,0,0.0,0.0,nan
MISSING, 14,0x0e,0,0,0.0,0.0,nan
MISSING, 15,0x0f,0,0,0.0,0.0,nan
SAR, 29,0x1d,0,0,0.0,0.0,nan
MISSING, 30,0x1e,0,0,0.0,0.0,nan
MISSING, 33,0x21,0,0,0.0,0.0,nan
MISSING, 34,0x22,0,0,0.0,0.0,nan
MISSING, 36,0x24,0,0,0.0,0.0,nan
MISSING, 38,0x26,0,0,0.0,0.0,nan
MISSING, 39,0x27,0,0,0.0,0.0,nan
MISSING, 40,0x28,0,0,0.0,0.0,nan
MISSING, 42,0x2a,0,0,0.0,0.0,nan
MISSING, 44,0x2c,0,0,0.0,0.0,nan
EXTCODECOPY, 60,0x3c,0,0,0.0,0.0,nan
EXTCODEHASH, 63,0x3f,0,0,0.0,0.0,nan
BLOCKHASH, 64,0x40,0,0,0.0,0.0,nan
MISSING, 74,0x4a,0,0,0.0,0.0,nan
MISSING, 75,0x4b,0,0,0.0,0.0,nan
MISSING, 92,0x5c,0,0,0.0,0.0,nan
MISSING, 93,0x5d,0,0,0.0,0.0,nan
