op,dec,hex,count,percent
PUSH1, 96,0x60, 364620,15.33%
PUSH2, 97,0x61, 155498,6.54%
POP, 80,0x50, 149216,6.27%
DUP1,128,0x80, 140665,5.92%
SWAP1,144,0x90, 140450,5.91%
JUMPDEST, 91,0x5b, 119908,5.04%
DUP2,129,0x81, 119066,5.01%
ADD,  1,0x01, 114476,4.81%
MSTORE, 82,0x52,  82875,3.49%
AND, 22,0x16,  68269,2.87%
JUMP, 86,0x56,  64443,2.71%
JUMPI, 87,0x57,  64116,2.70%
ISZERO, 21,0x15,  63199,2.66%
SWAP2,145,0x91,  62741,2.64%
MLOAD, 81,0x51,  61776,2.60%
DUP3,130,0x82,  56199,2.36%
SUB,  3,0x03,  47162,1.98%
DUP4,131,0x83,  38688,1.63%
REVERT,253,0xfd,  33411,1.41%
PUSH20,115,0x73,  29245,1.23%
PUSH4, 99,0x63,  27291,1.15%
SWAP3,146,0x92,  27224,1.14%
SLOAD, 84,0x54,  25326,1.07%
SHL, 27,0x1b,  21576,0.91%
DUP5,132,0x84,  19180,0.81%
EQ, 20,0x14,  16966,0.71%
RETURNDATASIZE, 61,0x3d,  14759,0.62%
SHA3, 32,0x20,  13841,0.58%
LT, 16,0x10,  13502,0.57%
EXP, 10,0x0a,  12794,0.54%
DUP6,133,0x85,  12019,0.51%
PUSH3, 98,0x62,  11498,0.48%
CALLDATALOAD, 53,0x35,  11195,0.47%
MUL,  2,0x02,  10244,0.43%
DUP7,134,0x86,   9154,0.38%
SWAP4,147,0x93,   9040,0.38%
PUSH32,127,0x7f,   8919,0.38%
SSTORE, 85,0x55,   8231,0.35%
DIV,  4,0x04,   7783,0.33%
DUP8,135,0x87,   7312,0.31%
NOT, 25,0x19,   7292,0.31%
CALLVALUE, 52,0x34,   7144,0.30%
GT, 17,0x11,   7032,0.30%
CALLER, 51,0x33,   6138,0.26%
GAS, 90,0x5a,   5574,0.23%
EXTCODESIZE, 59,0x3b,   5392,0.23%
INVALID,254,0xfe,   5351,0.23%
RETURNDATACOPY, 62,0x3e,   5274,0.22%
CALLDATASIZE, 54,0x36,   5133,0.22%
SWAP5,148,0x94,   4979,0.21%
RETURN,243,0xf3,   4436,0.19%
DUP9,136,0x88,   4187,0.18%
OR, 23,0x17,   3494,0.15%
CALL,241,0xf1,   3280,0.14%
SWAP6,149,0x95,   2738,0.12%
STATICCALL,250,0xfa,   2556,0.11%
DUP10,137,0x89,   2552,0.11%
CODECOPY, 57,0x39,   2063,0.09%
DUP11,138,0x8a,   2055,0.09%
ADDRESS, 48,0x30,   1853,0.08%
DUP12,139,0x8b,   1410,0.06%
SLT, 18,0x12,   1406,0.06%
