op,dec,hex,min,max,mean,sd,f-stat
ADDMOD,  8,0x08,0,1,0.0,0.1,inf
MULMOD,  9,0x09,0,1,0.0,0.1,inf
SIGNEXTEND, 11,0x0b,0,50,0.6,5.2,inf
BYTE, 26,0x1a,0,6,0.1,0.6,inf
MISSING, 39,0x27,0,1,0.0,0.1,inf
BLOCKHASH, 64,0x40,0,1,0.0,0.1,inf
MISSING, 76,0x4c,0,1,0.0,0.1,inf
MSTORE8, 83,0x53,0,3,0.1,0.4,inf
PUSH25,120,0x78,0,1,0.0,0.2,inf
SWAP16,159,0x9f,0,1,0.0,0.1,inf
LOG4,164,0xa4,0,7,0.3,1.1,inf
MISSING,195,0xc3,0,1,0.0,0.1,inf
SDIV,  5,0x05,0,18,0.4,2.2,8784.3
PUSH3, 98,0x62,0,546,21.3,79.9,1609.2
SLOAD, 84,0x54,0,221,46.8,36.7,1111.7
EXTCODESIZE, 59,0x3b,0,72,10.0,14.9,1041.5
DUP15,142,0x8e,0,35,1.5,5.6,990.5
SHA3, 32,0x20,0,189,25.6,27.2,959.3
SSTORE, 85,0x55,0,73,15.2,13.4,892.9
JUMPI, 87,0x57,41,324,118.5,67.0,790.8
RETURNDATACOPY, 62,0x3e,0,73,9.7,15.3,765.2
LOG1,161,0xa1,0,12,1.3,2.2,750.8
TIMESTAMP, 66,0x42,0,13,1.3,2.5,744.1
BALANCE, 49,0x31,0,5,0.4,0.9,736.4
RETURNDATASIZE, 61,0x3d,0,202,27.3,42.8,713.8
STATICCALL,250,0xfa,0,58,4.7,9.6,701.7
GAS, 90,0x5a,0,72,10.3,14.7,625.0
LOG2,162,0xa2,0,6,0.7,1.2,596.8
DUP13,140,0x8c,0,39,2.6,6.6,593.5
OR, 23,0x17,0,50,6.5,7.4,547.4
MISSING, 71,0x47,0,4,0.2,0.7,469.8
MSTORE, 82,0x52,32,487,153.2,104.2,464.1
PUSH16,111,0x6f,0,115,2.1,11.0,460.3
CODESIZE, 56,0x38,0,6,0.3,1.0,434.2
LT, 16,0x10,1,109,25.0,21.6,404.7
PUSH1, 96,0x60,179,2053,674.0,410.3,385.8
PUSH4, 99,0x63,16,177,50.4,35.7,378.1
DUP16,143,0x8f,0,18,0.7,2.7,377.5
REVERT,253,0xfd,0,246,61.8,48.7,351.5
DUP12,139,0x8b,0,29,2.6,5.8,326.6
