op,dec,hex,count,percent
PUSH1, 96,0x60,1045604,15.42%
SWAP1,144,0x90, 487793,7.19%
PUSH2, 97,0x61, 420350,6.20%
POP, 80,0x50, 412801,6.09%
DUP1,128,0x80, 403438,5.95%
DUP2,129,0x81, 357987,5.28%
JUMPDEST, 91,0x5b, 353124,5.21%
ADD,  1,0x01, 324288,4.78%
ISZERO, 21,0x15, 247512,3.65%
MSTORE, 82,0x52, 228800,3.37%
JUMPI, 87,0x57, 211455,3.12%
SWAP2,145,0x91, 191694,2.83%
AND, 22,0x16, 191586,2.82%
DUP3,130,0x82, 158162,2.33%
MLOAD, 81,0x51, 146025,2.15%
JUMP, 86,0x56, 136366,2.01%
SLOAD, 84,0x54, 126243,1.86%
SUB,  3,0x03, 114998,1.70%
DUP4,131,0x83, 110521,1.63%
PUSH20,115,0x73,  84428,1.24%
EXP, 10,0x0a,  75707,1.12%
REVERT,253,0xfd,  74630,1.10%
SHA3, 32,0x20,  66730,0.98%
SWAP3,146,0x92,  60477,0.89%
EQ, 20,0x14,  54260,0.80%
MUL,  2,0x02,  52663,0.78%
LT, 16,0x10,  48489,0.71%
DUP5,132,0x84,  47961,0.71%
PUSH4, 99,0x63,  44655,0.66%
CALLDATALOAD, 53,0x35,  41636,0.61%
DIV,  4,0x04,  40119,0.59%
CALLVALUE, 52,0x34,  37570,0.55%
SSTORE, 85,0x55,  33738,0.50%
NOT, 25,0x19,  28266,0.42%
DUP6,133,0x85,  27284,0.40%
INVALID,254,0xfe,  22785,0.34%
PUSH32,127,0x7f,  22599,0.33%
GT, 17,0x11,  21467,0.32%
CALLER, 51,0x33,  20595,0.30%
RETURN,243,0xf3,  19434,0.29%
SWAP4,147,0x93,  17476,0.26%
DUP8,135,0x87,  16235,0.24%
OR, 23,0x17,  16041,0.24%
DUP7,134,0x86,  11953,0.18%
CALLDATASIZE, 54,0x36,   9940,0.15%
SWAP5,148,0x94,   8370,0.12%
LOG2,162,0xa2,   8098,0.12%
ADDRESS, 48,0x30,   6623,0.10%
SWAP6,149,0x95,   6421,0.09%
SHL, 27,0x1b,   6317,0.09%
PUSH3, 98,0x62,   6225,0.09%
RETURNDATASIZE, 61,0x3d,   5624,0.08%
CALL,241,0xf1,   5484,0.08%
GAS, 90,0x5a,   5388,0.08%
DUP9,136,0x88,   5336,0.08%
MSIZE, 89,0x59,   4919,0.07%
LOG1,161,0xa1,   4702,0.07%
CALLDATACOPY, 55,0x37,   4682,0.07%
PUSH29,124,0x7c,   3704,0.05%
CODECOPY, 57,0x39,   3356,0.05%
EXTCODESIZE, 59,0x3b,   3346,0.05%
DUP10,137,0x89,   3182,0.05%
LOG3,163,0xa3,   2374,0.03%
SWAP7,150,0x96,   2202,0.03%
RETURNDATACOPY, 62,0x3e,   2193,0.03%
SWAP8,151,0x97,   1740,0.03%
DUP11,138,0x8a,   1623,0.02%
CODESIZE, 56,0x38,   1581,0.02%
TIMESTAMP, 66,0x42,   1439,0.02%
