op,dec,hex,min,max,mean,sd,f-stat
XOR, 24,0x18,0,1,0.0,0.0,inf
LOG2,162,0xa2,0,13,4.0,4.0,1486.8
SHA3, 32,0x20,0,113,33.1,27.5,844.3
SLOAD, 84,0x54,0,245,62.7,43.2,445.3
SSTORE, 85,0x55,0,69,16.8,14.2,341.1
LOG1,161,0xa1,0,27,2.3,3.1,291.3
SELFDESTRUCT,255,0xff,0,3,0.1,0.3,232.6
SWAP1,144,0x90,4,944,242.3,157.2,229.2
DUP2,129,0x81,3,960,177.8,120.0,215.7
LT, 16,0x10,0,149,24.1,17.1,212.4
MSTORE, 82,0x52,2,690,113.7,83.2,211.5
PUSH29,124,0x7c,0,11,1.8,2.0,203.5
CALLDATALOAD, 53,0x35,2,136,20.7,13.7,200.7
SWAP2,145,0x91,3,634,95.2,60.2,196.5
PUSH1, 96,0x60,15,3060,519.4,339.4,191.8
JUMPI, 87,0x57,4,549,105.0,62.8,179.3
CALLDATACOPY, 55,0x37,0,40,2.3,3.5,177.9
DUP3,130,0x82,0,575,78.6,58.3,172.9
OR, 23,0x17,0,80,8.0,6.5,171.0
JUMPDEST, 91,0x5b,5,730,175.4,105.7,171.0
PUSH2, 97,0x61,7,1044,208.8,124.8,166.7
DUP12,139,0x8b,0,20,0.5,1.8,156.4
PUSH21,116,0x74,0,7,0.1,0.5,152.3
EQ, 20,0x14,1,112,27.0,15.6,150.5
LOG3,163,0xa3,0,12,1.2,1.4,138.9
ADD,  1,0x01,2,1146,161.1,121.8,138.6
ISZERO, 21,0x15,3,566,123.0,71.4,136.1
AND, 22,0x16,3,382,95.2,55.6,131.5
JUMP, 86,0x56,2,366,67.7,44.1,117.1
CALLVALUE, 52,0x34,0,66,18.7,10.2,112.6
MUL,  2,0x02,0,214,26.2,21.6,107.5
MLOAD, 81,0x51,4,506,72.5,47.1,106.6
CALLER, 51,0x33,0,57,10.2,6.8,99.6
DUP1,128,0x80,9,1228,200.4,128.9,97.8
DUP5,132,0x84,0,232,23.8,19.1,97.2
DUP13,140,0x8c,0,16,0.5,1.6,96.3
PUSH17,112,0x70,0,4,0.0,0.2,95.7
DUP4,131,0x83,0,543,54.9,39.5,91.8
GT, 17,0x11,0,178,10.7,11.2,86.7
PUSH27,122,0x7a,0,1,0.0,0.1,86.6
DUP16,143,0x8f,0,9,0.1,0.8,83.2
POP, 80,0x50,5,987,205.1,135.0,83.1
RETURN,243,0xf3,0,41,9.7,5.9,81.2
PUSH28,123,0x7b,0,8,0.1,0.6,78.5
PUSH19,114,0x72,0,9,0.1,0.6,76.4
SWAP3,146,0x92,0,260,30.0,25.4,75.6
PUSH32,127,0x7f,0,144,11.2,14.1,74.3
INVALID,254,0xfe,0,79,11.3,10.7,73.4
PUSH24,119,0x77,0,4,0.0,0.3,71.5
DUP7,134,0x86,0,72,5.9,5.8,70.0
SUB,  3,0x03,2,378,57.1,41.4,69.6
PUSH13,108,0x6c,0,6,0.3,0.8,69.5
PUSH31,126,0x7e,0,17,0.1,1.0,69.3
BALANCE, 49,0x31,0,5,0.3,0.7,68.3
DUP6,133,0x85,0,108,13.6,10.6,67.8
CREATE,240,0xf0,0,1,0.1,0.3,64.9
REVERT,253,0xfd,0,331,37.1,28.8,59.2
NOT, 25,0x19,0,102,14.0,12.6,58.7
DUP15,142,0x8e,0,24,0.2,1.1,58.4
PUSH10,105,0x69,0,18,0.1,0.6,57.6
ADDRESS, 48,0x30,0,29,3.3,2.5,57.5
PUSH5,100,0x64,0,34,0.5,2.8,54.2
PUSH4, 99,0x63,2,148,22.2,13.8,53.6
EXP, 10,0x0a,0,353,37.6,30.3,52.0
DELEGATECALL,244,0xf4,0,8,0.1,0.5,51.4
DUP14,141,0x8d,0,16,0.2,1.0,50.3
DUP8,135,0x87,0,61,8.1,5.4,48.1
PUSH16,111,0x6f,0,18,0.1,1.0,46.1
DUP9,136,0x88,0,34,2.7,3.9,45.3
PUSH6,101,0x65,0,7,0.1,0.5,45.2
PUSH15,110,0x6e,0,6,0.1,0.5,44.7
PUSH23,118,0x76,0,2,0.0,0.1,43.5
MSIZE, 89,0x59,0,12,2.4,3.7,41.8
DIV,  4,0x04,0,95,19.9,16.0,41.6
SHR, 28,0x1c,0,6,0.1,0.5,39.8
NUMBER, 67,0x43,0,10,0.3,1.2,38.0
CALL,241,0xf1,0,43,2.7,3.0,37.4
MOD,  6,0x06,0,1,0.0,0.0,35.6
GASPRICE, 58,0x3a,0,2,0.0,0.2,35.0
PUSH12,107,0x6b,0,6,0.0,0.3,34.2
DUP11,138,0x8a,0,19,0.8,2.0,33.7
PUSH22,117,0x75,0,8,0.0,0.4,33.2
CODECOPY, 57,0x39,0,55,1.7,4.3,33.1
SWAP4,147,0x93,0,157,8.7,9.8,32.9
GAS, 90,0x5a,0,42,2.7,3.2,32.7
SHL, 27,0x1b,0,337,3.1,21.0,32.3
EXTCODESIZE, 59,0x3b,0,43,1.7,3.2,31.3
PUSH25,120,0x78,0,2,0.0,0.1,30.3
DUP10,137,0x89,0,28,1.6,2.9,29.9
RETURNDATASIZE, 61,0x3d,0,101,2.8,8.4,27.2
PUSH20,115,0x73,0,306,41.9,46.4,25.6
RETURNDATACOPY, 62,0x3e,0,42,1.1,3.3,24.4
SWAP12,155,0x9b,0,4,0.1,0.3,23.4
STATICCALL,250,0xfa,0,28,0.2,1.1,21.3
SWAP7,150,0x96,0,33,1.1,2.0,20.7
PUSH14,109,0x6d,0,3,0.0,0.2,20.0
SWAP5,148,0x94,0,67,4.2,6.1,19.7
BYTE, 26,0x1a,0,22,0.1,0.6,19.5
PUSH18,113,0x71,0,3,0.0,0.2,19.1
SWAP16,159,0x9f,0,1,0.0,0.1,17.9
CODESIZE, 56,0x38,0,10,0.8,1.6,17.6
SWAP13,156,0x9c,0,2,0.0,0.2,16.3
MSTORE8, 83,0x53,0,17,0.1,0.6,15.6
PUSH7,102,0x66,0,14,0.1,0.6,15.6
SWAP15,158,0x9e,0,2,0.0,0.2,15.5
SWAP10,153,0x99,0,5,0.1,0.5,14.1
SWAP6,149,0x95,0,66,3.2,4.7,13.4
CALLDATASIZE, 54,0x36,1,43,4.9,6.7,13.4
SWAP11,154,0x9a,0,6,0.1,0.6,12.8
SWAP14,157,0x9d,0,1,0.0,0.0,12.5
LOG4,164,0xa4,0,8,0.0,0.2,11.8
PUSH11,106,0x6a,0,3,0.0,0.2,10.3
ADDMOD,  8,0x08,0,1,0.0,0.0,10.0
SWAP8,151,0x97,0,26,0.9,1.9,8.5
MISSING, 70,0x46,0,2,0.0,0.1,8.4
DIFFICULTY, 68,0x44,0,7,0.0,0.2,7.6
TIMESTAMP, 66,0x42,0,13,0.7,1.5,7.5
PUSH9,104,0x68,0,4,0.0,0.2,7.4
MISSING, 79,0x4f,0,8,0.0,0.3,7.2
PUSH3, 98,0x62,0,267,3.1,20.6,6.7
PUSH8,103,0x67,0,12,0.1,0.8,6.7
MISSING,183,0xb7,0,1,0.0,0.1,6.5
SWAP9,152,0x98,0,12,0.3,1.0,6.4
SGT, 19,0x13,0,2,0.0,0.2,6.3
ORIGIN, 50,0x32,0,11,0.0,0.5,5.5
SDIV,  5,0x05,0,2,0.0,0.1,5.1
MISSING,181,0xb5,0,1,0.0,0.1,5.0
MISSING,187,0xbb,0,1,0.0,0.1,4.5
SIGNEXTEND, 11,0x0b,0,2,0.0,0.1,4.5
MISSING, 77,0x4d,0,3,0.0,0.1,4.3
SLT, 18,0x12,0,17,0.1,1.2,4.2
MISSING, 71,0x47,0,6,0.0,0.3,3.9
MISSING,195,0xc3,0,1,0.0,0.1,3.8
PUSH26,121,0x79,0,3,0.0,0.1,3.7
MISSING,193,0xc1,0,2,0.0,0.1,3.3
MISSING, 73,0x49,0,15,0.0,0.5,3.1
GASLIMIT, 69,0x45,0,15,0.0,0.5,2.8
MISSING,230,0xe6,0,3,0.0,0.1,2.6
MISSING, 78,0x4e,0,15,0.0,0.5,2.6
MISSING, 76,0x4c,0,6,0.0,0.2,2.4
COINBASE, 65,0x41,0,10,0.0,0.3,1.9
MISSING, 72,0x48,0,2,0.0,0.1,1.6
MISSING, 75,0x4b,0,2,0.0,0.1,0.9
MISSING, 46,0x2e,0,1,0.0,0.0,0.7
MISSING,220,0xdc,0,1,0.0,0.1,0.6
MISSING, 45,0x2d,0,2,0.0,0.1,0.5
MISSING,208,0xd0,0,1,0.0,0.1,0.5
MISSING,173,0xad,0,1,0.0,0.1,0.3
PC, 88,0x58,0,2,0.0,0.1,0.3
MISSING, 39,0x27,0,1,0.0,0.1,0.3
MISSING,251,0xfb,0,1,0.0,0.1,0.3
MISSING,200,0xc8,0,1,0.0,0.1,0.2
MISSING,221,0xdd,0,1,0.0,0.1,0.2
MISSING,239,0xef,0,1,0.0,0.1,0.2
CALLCODE,242,0xf2,0,1,0.0,0.1,0.2
EXTCODEHASH, 63,0x3f,0,2,0.0,0.1,0.2
MISSING, 35,0x23,0,1,0.0,0.1,0.2
MISSING,226,0xe2,0,1,0.0,0.1,0.2
MISSING,210,0xd2,0,2,0.0,0.1,0.2
MISSING,222,0xde,0,2,0.0,0.1,0.2
MISSING,194,0xc2,0,1,0.0,0.1,0.2
MISSING,179,0xb3,0,1,0.0,0.1,0.2
CREATE2,245,0xf5,0,2,0.0,0.1,0.2
MISSING,215,0xd7,0,1,0.0,0.1,0.2
MISSING,212,0xd4,0,1,0.0,0.1,0.2
MULMOD,  9,0x09,0,1,0.0,0.0,0.1
MISSING, 93,0x5d,0,1,0.0,0.0,0.1
MISSING, 36,0x24,0,2,0.0,0.1,0.1
MISSING,175,0xaf,0,1,0.0,0.0,0.1
MISSING,182,0xb6,0,1,0.0,0.0,0.1
MISSING,186,0xba,0,1,0.0,0.0,0.1
MISSING,190,0xbe,0,1,0.0,0.0,0.1
MISSING,223,0xdf,0,1,0.0,0.0,0.1
MISSING,237,0xed,0,1,0.0,0.0,0.1
MISSING,238,0xee,0,1,0.0,0.0,0.1
MISSING,246,0xf6,0,1,0.0,0.0,0.1
MISSING,218,0xda,0,1,0.0,0.0,0.1
MISSING,165,0xa5,0,1,0.0,0.0,0.1
MISSING,189,0xbd,0,1,0.0,0.0,0.1
MISSING,211,0xd3,0,1,0.0,0.0,0.1
MISSING,228,0xe4,0,1,0.0,0.0,0.1
MISSING,232,0xe8,0,1,0.0,0.0,0.1
MISSING, 30,0x1e,0,1,0.0,0.0,0.1
MISSING,201,0xc9,0,1,0.0,0.0,0.1
MISSING, 95,0x5f,0,4,0.0,0.1,0.1
MISSING, 47,0x2f,0,2,0.0,0.1,0.1
MISSING,198,0xc6,0,2,0.0,0.1,0.1
BLOCKHASH, 64,0x40,0,2,0.0,0.1,0.1
MISSING, 44,0x2c,0,1,0.0,0.0,0.1
MISSING, 92,0x5c,0,1,0.0,0.0,0.1
MISSING, 94,0x5e,0,1,0.0,0.0,0.1
MISSING,184,0xb8,0,1,0.0,0.0,0.1
MISSING,188,0xbc,0,1,0.0,0.0,0.1
MISSING,203,0xcb,0,2,0.0,0.1,0.1
MISSING,209,0xd1,0,2,0.0,0.1,0.1
MISSING,224,0xe0,0,1,0.0,0.0,0.1
MISSING,252,0xfc,0,1,0.0,0.0,0.1
MISSING,199,0xc7,0,1,0.0,0.0,0.1
MISSING,219,0xdb,0,1,0.0,0.0,0.1
MISSING,167,0xa7,0,1,0.0,0.0,0.1
MISSING, 31,0x1f,0,1,0.0,0.0,0.1
MISSING, 37,0x25,0,1,0.0,0.0,0.1
MISSING,217,0xd9,0,1,0.0,0.0,0.1
MISSING,236,0xec,0,1,0.0,0.0,0.1
MISSING, 15,0x0f,0,3,0.0,0.1,0.1
MISSING,227,0xe3,0,1,0.0,0.0,0.1
MISSING,231,0xe7,0,1,0.0,0.0,0.1
MISSING,247,0xf7,0,1,0.0,0.0,0.1
MISSING,191,0xbf,0,2,0.0,0.0,0.0
MISSING, 38,0x26,0,2,0.0,0.0,0.0
MISSING,178,0xb2,0,3,0.0,0.1,0.0
MISSING, 42,0x2a,0,1,0.0,0.0,0.0
MISSING, 43,0x2b,0,1,0.0,0.0,0.0
MISSING, 74,0x4a,0,1,0.0,0.0,0.0
PUSH30,125,0x7d,0,1,0.0,0.0,0.0
MISSING,169,0xa9,0,1,0.0,0.0,0.0
MISSING,170,0xaa,0,1,0.0,0.0,0.0
MISSING,172,0xac,0,1,0.0,0.0,0.0
MISSING,174,0xae,0,1,0.0,0.0,0.0
MISSING,177,0xb1,0,1,0.0,0.0,0.0
MISSING,180,0xb4,0,2,0.0,0.0,0.0
MISSING,202,0xca,0,1,0.0,0.0,0.0
MISSING,213,0xd5,0,1,0.0,0.0,0.0
MISSING,216,0xd8,0,1,0.0,0.0,0.0
MISSING,229,0xe5,0,1,0.0,0.0,0.0
MISSING,235,0xeb,0,1,0.0,0.0,0.0
EXTCODECOPY, 60,0x3c,0,1,0.0,0.0,0.0
MISSING,166,0xa6,0,1,0.0,0.0,0.0
SMOD,  7,0x07,0,0,0.0,0.0,nan
MISSING, 12,0x0c,0,0,0.0,0.0,nan
MISSING, 13,0x0d,0,0,0.0,0.0,nan
MISSING, 14,0x0e,0,0,0.0,0.0,nan
SAR, 29,0x1d,0,0,0.0,0.0,nan
MISSING, 33,0x21,0,0,0.0,0.0,nan
MISSING, 34,0x22,0,0,0.0,0.0,nan
MISSING, 40,0x28,0,0,0.0,0.0,nan
MISSING, 41,0x29,0,0,0.0,0.0,nan
LOG0,160,0xa0,0,0,0.0,0.0,nan
MISSING,168,0xa8,0,0,0.0,0.0,nan
MISSING,171,0xab,0,0,0.0,0.0,nan
MISSING,176,0xb0,0,0,0.0,0.0,nan
MISSING,185,0xb9,0,0,0.0,0.0,nan
MISSING,192,0xc0,0,0,0.0,0.0,nan
MISSING,196,0xc4,0,0,0.0,0.0,nan
MISSING,197,0xc5,0,0,0.0,0.0,nan
MISSING,204,0xcc,0,0,0.0,0.0,nan
MISSING,205,0xcd,0,0,0.0,0.0,nan
MISSING,206,0xce,0,0,0.0,0.0,nan
MISSING,207,0xcf,0,0,0.0,0.0,nan
MISSING,214,0xd6,0,0,0.0,0.0,nan
MISSING,225,0xe1,0,0,0.0,0.0,nan
MISSING,233,0xe9,0,0,0.0,0.0,nan
MISSING,234,0xea,0,0,0.0,0.0,nan
MISSING,248,0xf8,0,0,0.0,0.0,nan
MISSING,249,0xf9,0,0,0.0,0.0,nan
