,isInner,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
isInner,1.0,0.27801893483679985,0.2916586946878746,0.28202116229982904,0.2738382021599051,0.26049439146143516,0.23901583480229166,0.22875798037344058,0.21623112767154945,0.27704102633884964,0.20942908160046536,0.18924428462143839,0.27979630760931035,0.25507057615049983,0.2692200304326084,0.2639753855566882,0.24832159010058144,0.24260316014847155,0.22912179825540727,0.23635112502591943,0.2486330704478064,0.17652984470326902,0.22362267842957875
raw bzJumpi2,0.27801893483679985,1.0,0.9187467722499569,0.8773288787859755,0.7294158809647378,0.7332014788371662,0.7329344313411108,0.7252908056442541,0.7087327668179016,0.7250592068521438,0.7099722913391511,0.6855990944852761,0.9604442037631149,0.8882864306933124,0.8570814481132127,0.7380195124929844,0.7317703280262825,0.7389077770753273,0.7352828716361902,0.7294179409822448,0.7404380149069187,0.7082885616817006,0.7138591629776303
raw bzJumpi4,0.2916586946878746,0.9187467722499569,1.0,0.9263801255645931,0.7087671652969463,0.714101416844459,0.7110557915995851,0.7011518034357207,0.6885620702190949,0.7162831253167314,0.6872283664618867,0.687681136528506,0.9043171426486978,0.9043807590083642,0.8731716228744989,0.7153059252584136,0.7090557640522744,0.716873951690204,0.7115112806122252,0.7140889689049319,0.72357272136575,0.6896879137396645,0.6978856635263494
raw bzJumpi8,0.28202116229982904,0.8773288787859755,0.9263801255645931,1.0,0.7076685037396491,0.7078405393549984,0.7118501299371975,0.6938470252380741,0.6805714785425495,0.7143225912167063,0.6821709702828657,0.6768650366475715,0.8711593596537668,0.8789743221690529,0.8687685564177378,0.7138617858922265,0.7065806556182593,0.7130195441624864,0.7086888014530393,0.7088555000025167,0.7183413653560788,0.6882481184816004,0.6835881455576763
raw bzFixedLen32_2,0.2738382021599051,0.7294158809647378,0.7087671652969463,0.7076685037396491,1.0,0.952872377020984,0.9313364593463794,0.9109415895176238,0.8761001437040463,0.9218662661716113,0.8627779483292012,0.7496463409137732,0.7221960429181347,0.6956297727765107,0.7021587709809223,0.9508083935328518,0.9474951632067022,0.9373253165127112,0.918858953999366,0.8776796566114953,0.9080118769931435,0.8686037548115217,0.7567661696065654
raw bzFixedLen64_2,0.26049439146143516,0.7332014788371662,0.714101416844459,0.7078405393549984,0.952872377020984,1.0,0.941840577682356,0.9257634562659951,0.8890245163983428,0.929950549128989,0.8679447990028964,0.751207200848585,0.7239169914297947,0.7007915074248647,0.7055990393345769,0.9545923632610941,0.9559234582048194,0.9545318390737523,0.9396931961869279,0.8966174287235519,0.9123123973918984,0.8756620748882777,0.7644023836789628
raw bzFixedLen128_2,0.23901583480229166,0.7329344313411108,0.7110557915995851,0.7118501299371975,0.9313364593463794,0.941840577682356,1.0,0.9386596539633398,0.8996336254883518,0.9245743694618095,0.8808518106633414,0.7495632237608906,0.7250173613224908,0.702553958100368,0.7128776678512037,0.9435625642948112,0.9497164551279342,0.9474593716702264,0.9348388243654396,0.8868875976086867,0.9153539718547186,0.8669424626161635,0.7577331772152663
raw bzFixedLen256_2,0.22875798037344058,0.7252908056442541,0.7011518034357207,0.6938470252380741,0.9109415895176238,0.9257634562659951,0.9386596539633398,1.0,0.9329592135219225,0.9046898157012273,0.8934336411238418,0.7489068265477461,0.717365833565939,0.6904022512195751,0.6969461975760849,0.9212824267839292,0.933128341056667,0.9332771139761598,0.9220155980079388,0.8826502736799163,0.9082150256280827,0.8607906049388725,0.7607348636552882
raw bzFixedLen256_4,0.21623112767154945,0.7087327668179016,0.6885620702190949,0.6805714785425495,0.8761001437040463,0.8890245163983428,0.8996336254883518,0.9329592135219225,1.0,0.8865639271076526,0.9171305527435847,0.7476804184954613,0.7030481728354809,0.6779873700067052,0.6828102519344761,0.8840270922898814,0.8967315375069823,0.902384339122431,0.888515414528831,0.8710655062541827,0.889397742644249,0.8599892116953036,0.7720254649214441
raw bzFixedLen64_8,0.27704102633884964,0.7250592068521438,0.7162831253167314,0.7143225912167063,0.9218662661716113,0.929950549128989,0.9245743694618095,0.9046898157012273,0.8865639271076526,1.0,0.864451289616496,0.7763010556424534,0.719215309698571,0.7024562627572706,0.7038231632535169,0.9177381216827375,0.9187236604455148,0.9197281797333003,0.9093418542318749,0.8896831422466241,0.9076208531768535,0.8787125576321102,0.7646955915130657
