,isInner,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
isInner,1.0,0.40447252831583175,0.3901040689069828,0.3636327193112556,0.2943134058672968,0.2939810328547817,0.30384288477170646,0.3076304266486259,0.278480360430292,0.2846276004376965,0.235680432459223,0.16944686113339918,0.40411279128704014,0.3700455683755646,0.37205354450743294,0.3095223155912308,0.3080917912168528,0.31055744833346477,0.30783878023126077,0.30026643576302076,0.2806261030055429,0.2673676840014739,0.20872171861577785
raw bzJumpi2,0.40447252831583175,1.0,0.7999574408245107,0.6907917993689778,0.6754545028813552,0.6783609778584775,0.6871895275146088,0.6887900096601515,0.6403376283566735,0.6409766499906047,0.5628293867977928,0.4010721827480122,0.9422425460302492,0.8062089486463063,0.6924432356309737,0.6951847420813262,0.695760240038148,0.6936772922451356,0.6916612101484969,0.6739091144086052,0.6467084932373909,0.6062724093907942,0.4577307831742699
raw bzJumpi4,0.3901040689069828,0.7999574408245107,1.0,0.8273438949067733,0.6546470319210108,0.6549985211300839,0.6591363877301447,0.6616731982851032,0.6157069529118306,0.6209340898332952,0.5397265158274116,0.3864569140277202,0.7767333460157971,0.8102173161490336,0.7290083181609558,0.6775827845352188,0.6718698316013102,0.6651668183937611,0.660167457220379,0.6483876902158203,0.6401276335424919,0.5897840031974996,0.44295907205094476
raw bzJumpi8,0.3636327193112556,0.6907917993689778,0.8273438949067733,1.0,0.6112347991514415,0.6098492413400043,0.6125574574209944,0.6137710910664379,0.5682303871031903,0.5780070367284763,0.4994783741531911,0.3520497368690227,0.6699702689255852,0.7143320884903508,0.6986353538637534,0.6324289115931664,0.6243796156111548,0.6149361375367612,0.6104659413416755,0.5988455709820929,0.5972947590056177,0.5463080684609207,0.403553609756903
raw bzFixedLen32_2,0.2943134058672968,0.6754545028813552,0.6546470319210108,0.6112347991514415,1.0,0.93435315152255,0.9098888642635174,0.8911378618770082,0.792248892688252,0.7855611398500477,0.6622054926318635,0.45725171287214683,0.6648374540230335,0.6221794756201167,0.5785202797424378,0.9281809317658625,0.9071022847170808,0.8893644124400941,0.8788930140295413,0.7992549689323206,0.741121210740545,0.6874155532211323,0.502686255383162
raw bzFixedLen64_2,0.2939810328547817,0.6783609778584775,0.6549985211300839,0.6098492413400043,0.93435315152255,1.0,0.9226390787526616,0.8959237121415339,0.8024182414913869,0.8008998525404494,0.6722045921908995,0.46390681468639516,0.6680178494133305,0.6217244769642043,0.5764506540108624,0.9203478752344602,0.9124385180798078,0.8995184672828419,0.8851054169328735,0.8063902858745124,0.7448521445875645,0.6962493257603601,0.5085774601365965
raw bzFixedLen128_2,0.30384288477170646,0.6871895275146088,0.6591363877301447,0.6125574574209944,0.9098888642635174,0.9226390787526616,1.0,0.9057862579822025,0.8090914701545454,0.7942797444867336,0.680505688683975,0.4651509555171681,0.6774010341711824,0.6260628143920194,0.5805474172526988,0.9076418898840627,0.9033942255312495,0.894955637354604,0.8909117940380754,0.8120867891609761,0.7506131716587721,0.7018762488186857,0.507739682750133
raw bzFixedLen256_2,0.3076304266486259,0.6887900096601515,0.6616731982851032,0.6137710910664379,0.8911378618770082,0.8959237121415339,0.9057862579822025,1.0,0.8330943360791425,0.7878045559223662,0.6935942476799691,0.4609869621717348,0.6789772377538554,0.6304676120163019,0.5839208288198178,0.8949065652605741,0.8897831818254425,0.8831895778964002,0.8841152463073428,0.8134418658614867,0.7534225245949983,0.7048014848165618,0.5090606261074031
raw bzFixedLen256_4,0.278480360430292,0.6403376283566735,0.6157069529118306,0.5682303871031903,0.792248892688252,0.8024182414913869,0.8090914701545454,0.8330943360791425,1.0,0.7732180306873261,0.779288787580611,0.46653686353198937,0.6356309400447855,0.5981264689091217,0.5490027723095262,0.7953389994666535,0.8019539113738959,0.7984690439974128,0.7931308296769892,0.7679962019521456,0.7309417644932641,0.6939360980287024,0.511037834182228
raw bzFixedLen64_8,0.2846276004376965,0.6409766499906047,0.6209340898332952,0.5780070367284763,0.7855611398500477,0.8008998525404494,0.7942797444867336,0.7878045559223662,0.7732180306873261,1.0,0.6932360933417313,0.4631537546201077,0.6373227959776874,0.6102441181214554,0.5653419622318417,0.7889748391906827,0.7882930381485509,0.7832025947386183,0.7743849740651125,0.7581485920215629,0.7477273805416109,0.688251386038783,0.5038592318558405
raw bzFixedLen256_8,0.235680432459223,0.5628293867977928,0.5397265158274116,0.4994783741531911,0.6622054926318635,0.6722045921908995,0.680505688683975,0.6935942476799691,0.779288787580611,0.6932360933417313,1.0,0.4508653742135384,0.562115313386097,0.53655655035094,0.4951176585954753,0.6688383145759704,0.6767568288785488,0.6768407760553374,0.6712130241665059,0.6741491617034431,0.6667516900657624,0.6417843151685034,0.48439260878505713
