,isInner,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
isInner,1.0,0.31684736454251317,0.2854325013348886,0.2684186616693485,0.07882544191057644,0.08655342641161336,0.09119413851313228,0.09076091793650679,0.08506637485547487,0.08655342641161336,0.07140419949989861,0.0886084494104781,0.33024253767764383,0.33283284451685563,0.32666423901839453,0.08346223261119859,0.08449263054467017,0.08655714841924421,0.08976048509198989,0.1031329637535134,0.06852146257586057,0.10798992026790316,0.1240162527748371
raw bzJumpi2,0.31684736454251317,1.0,0.8582240386348081,0.8218094255245959,0.6026831785345718,0.6100791193670452,0.6122554295060827,0.6135838164306333,0.6092944645369666,0.6107671138630891,0.6018934300807265,0.6154401812044624,0.9287925696594428,0.8076542686461052,0.7990023251363018,0.6111111111111113,0.6102511179910562,0.6057192007320327,0.6058732342504515,0.6189802399018584,0.5978672170622636,0.627258730983488,0.6097409151405693
raw bzJumpi4,0.2854325013348886,0.8582240386348081,1.0,0.9041496460735282,0.6301440556245356,0.6344442061337789,0.6397178979960437,0.6408989834568086,0.6359138981221021,0.6354762422559974,0.6224881885393374,0.6212452712525693,0.8227907984386421,0.8146555431323643,0.8154646719792977,0.64029241082635,0.6356482482763671,0.6307732003096241,0.6307862829149212,0.636309093457735,0.6253278870541827,0.64113933953636,0.6312457062459684
raw bzJumpi8,0.2684186616693485,0.8218094255245959,0.9041496460735282,1.0,0.6191950464396285,0.6265909872721019,0.6294560315430565,0.6282175494263135,0.6180724356362279,0.6238390092879258,0.6079175278939452,0.6071607168833262,0.7836257309941521,0.7572565046777718,0.767695883118044,0.6307189542483661,0.6267629858961129,0.6211997425653091,0.6227508854603845,0.625005635089333,0.6188510491916066,0.6281191682002006,0.6068082243618482
raw bzFixedLen32_2,0.07882544191057644,0.6026831785345718,0.6301440556245356,0.6191950464396285,1.0,0.9633642930856555,0.9590195665714747,0.9479215749907597,0.9094666527156303,0.9444444444444445,0.8943203496423949,0.7661954273851519,0.5878912968696252,0.5704579665562364,0.5741807882249678,0.9733402132782939,0.9649122807017545,0.9550634281029707,0.9425651537955433,0.8976978058596136,0.9160646714826282,0.8857340708839542,0.7874274740866117
raw bzFixedLen64_2,0.08655342641161336,0.6100791193670452,0.6344442061337789,0.6265909872721019,0.9633642930856555,1.0,0.9658998073862642,0.9448226668269686,0.909638769796008,0.9504643962848298,0.8950088179639056,0.7627456505846784,0.5952872377020986,0.5769941953302864,0.5802012578438634,0.9625042999656005,0.9523563811489509,0.9418189645345009,0.9298208049227367,0.8892622525971491,0.9076367389060889,0.8745483870666902,0.7875999853088893
raw bzFixedLen128_2,0.09119413851313228,0.6122554295060827,0.6397178979960437,0.6294560315430565,0.9590195665714747,0.9658998073862642,1.0,0.953213491446238,0.9200914176239536,0.9440550427993075,0.9032232184045826,0.766314623778853,0.5953988395098484,0.5800292422808979,0.5820324264617559,0.9612556448362813,0.94904321739003,0.9419454717467962,0.9321858720210269,0.894207097245529,0.9146420133160823,0.8800069823430888,0.7889277438269512
raw bzFixedLen256_2,0.09076091793650679,0.6135838164306333,0.6408989834568086,0.6282175494263135,0.9479215749907597,0.9448226668269686,0.953213491446238,1.0,0.9279007976296373,0.93466513451232,0.8960289729802717,0.7778846901513695,0.5974006293530578,0.5784016480653186,0.5766186709712736,0.9496431906373102,0.9439618590036932,0.9440885361411444,0.9382865580919365,0.8978589591754436,0.9128006158011275,0.8847645295415433,0.7851516268432575
raw bzFixedLen256_4,0.08506637485547487,0.6092944645369666,0.6359138981221021,0.6180724356362279,0.9094666527156303,0.909638769796008,0.9200914176239536,0.9279007976296373,1.0,0.9142859309662051,0.9165518429211161,0.7771658721062169,0.5939760443833536,0.5822110597910435,0.5775024716180911,0.9153186334484712,0.9080897160726089,0.9064935835593586,0.9027145114841899,0.8901331013051866,0.9070570135903429,0.871189956089556,0.7788203878951231
raw bzFixedLen64_8,0.08655342641161336,0.6107671138630891,0.6354762422559974,0.6238390092879258,0.9444444444444445,0.9504643962848298,0.9440550427993075,0.93466513451232,0.9142859309662051,1.0,0.8987953937322145,0.7624006729046311,0.5970072239422086,0.5742420990043706,0.5788251505024016,0.9398004815961473,0.9344685242518062,0.9222102782123508,0.9220708630406247,0.8892622525971491,0.9069487444100448,0.8788505731502533,0.7894976087539441
raw bzFixedLen256_8,0.07140419949989861,0.6018934300807265,0.6224881885393374,0.6079175278939452,0.8943203496423949,0.8950088179639056,0.9032232184045826,0.8960289729802717,0.9165518429211161,0.8987953937322145,1.0,0.7620627041308046,0.5839932537214485,0.577563698781625,0.5697565368273865,0.8956972862854164,0.8907058909544637,0.8867853303897875,0.8853943876956902,0.8760067389465597,0.8898453055525755,0.8642156146739349,0.7718288716123451
raw bzFixedLen1024_8,0.0886084494104781,0.6154401812044624,0.6212452712525693,0.6071607168833262,0.7661954273851519,0.7627456505846784,0.766314623778853,0.7778846901513695,0.7771658721062169,0.7624006729046311,0.7620627041308046,1.0,0.6121628932440126,0.5710488603308707,0.5709871670935474,0.7670578715852703,0.7767172466265959,0.7799418281184207,0.7765121643462957,0.7674924916889149,0.7825818671874007,0.768489444365055,0.7113014202862921
skel bzJumpi2,0.33024253767764383,0.9287925696594428,0.8227907984386421,0.7836257309941521,0.5878912968696252,0.5952872377020986,0.5953988395098484,0.5974006293530578,0.5939760443833536,0.5970072239422086,0.5839932537214485,0.6121628932440126,1.0,0.8372393041497,0.8251483646240774,0.5942552459580325,0.5958032335741315,0.592990755224672,0.5912344551397953,0.603486366562638,0.586515307877537,0.6093616368758659,0.5988727081370735
skel bzJumpi4,0.33283284451685563,0.8076542686461052,0.8146555431323643,0.7572565046777718,0.5704579665562364,0.5769941953302864,0.5800292422808979,0.5784016480653186,0.5822110597910435,0.5742420990043706,0.577563698781625,0.5710488603308707,0.8372393041497,1.0,0.9157528069363552,0.5764781772691772,0.5735540749228917,0.574868839769502,0.5658562000046344,0.5800122661956464,0.5757901531876982,0.5848643257050918,0.587080934232039
skel bzJumpi8,0.32666423901839453,0.7990023251363018,0.8154646719792977,0.767695883118044,0.5741807882249678,0.5802012578438634,0.5820324264617559,0.5766186709712736,0.5775024716180911,0.5788251505024016,0.5697565368273865,0.5709871670935474,0.8251483646240774,0.9157528069363552,1.0,0.5781370968316706,0.5796852175908153,0.5772158436507824,0.5713059612094635,0.5837388428157687,0.5745248150603333,0.5896222901833507,0.5840869762594049
skel bzFixedLen32_2,0.08346223261119859,0.6111111111111113,0.64029241082635,0.6307189542483661,0.9733402132782939,0.9625042999656005,0.9612556448362813,0.9496431906373102,0.9153186334484712,0.9398004815961473,0.8956972862854164,0.7670578715852703,0.5942552459580325,0.5764781772691772,0.5781370968316706,1.0,0.9688682490540076,0.9579875304492563,0.9430818165876841,0.9009687346756713,0.9186446508427935,0.8841852838938714,0.787772496531167
skel bzFixedLen64_2,0.08449263054467017,0.6102511179910562,0.6356482482763671,0.6267629858961129,0.9649122807017545,0.9523563811489509,0.94904321739003,0.9439618590036932,0.9080897160726089,0.9344685242518062,0.8907058909544637,0.7767172466265959,0.5958032335741315,0.5735540749228917,0.5796852175908153,0.9688682490540076,1.0,0.966071813406634,0.9489373282319464,0.9063055132702917,0.9277605779153768,0.8948547053811077,0.7903601648653327
skel bzFixedLen128_2,0.08655714841924421,0.6057192007320327,0.6307732003096241,0.6211997425653091,0.9550634281029707,0.9418189645345009,0.9419454717467962,0.9440885361411444,0.9064935835593586,0.9222102782123508,0.8867853303897875,0.7799418281184207,0.592990755224672,0.574868839769502,0.5772158436507824,0.9579875304492563,0.966071813406634,1.0,0.9566422958227795,0.9172767451143973,0.9278864768845522,0.8991095099738863,0.7896178183896687
