,isInner,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
isInner,1.0,0.37107452260778784,0.3708961162964985,0.3501972460046806,0.2692827518208581,0.26412214794384187,0.2785501720207694,0.2811975703238551,0.23957484172958676,0.23323733722468926,0.2119459471527047,0.19598228670901124,0.37754545719413796,0.37759160380967854,0.3776069897755388,0.3068102991090902,0.29710636175891697,0.3095602978666087,0.3094593211466216,0.29003126338740415,0.2043130333754233,0.2496923532677001,0.24098564983369292
raw bzJumpi2,0.37107452260778784,1.0,0.7554998550612917,0.6105522605583502,0.7142509740899851,0.7200868101579171,0.7232272599016981,0.7217299081888485,0.6608748131993085,0.6574268264659143,0.5917325482373579,0.4160879776814746,0.9119867996605434,0.7130455068745633,0.6102587806883993,0.7396723548257136,0.7388799516583211,0.7379470787651297,0.7379041383829426,0.729664718335372,0.6448825381622459,0.6850197765499247,0.5121330170415178
raw bzJumpi4,0.3708961162964985,0.7554998550612917,1.0,0.8001629776952763,0.6266748291292119,0.6337262825371002,0.636073998376809,0.6318243858530269,0.5944931960819773,0.5780338514916732,0.5422083650841194,0.34385218209529655,0.717503767998067,0.7740568793880447,0.7121124569521484,0.6572229247264241,0.6494761372825205,0.6383618461517151,0.6365478511422602,0.6328391511115076,0.5774098289441788,0.5961036053649725,0.44263530566929227
raw bzJumpi8,0.3501972460046806,0.6105522605583502,0.8001629776952763,1.0,0.5223455473469539,0.524925452105389,0.534718435862027,0.5260606243905271,0.4791023077438166,0.4668486910966265,0.433167722916831,0.2704538184755792,0.573221219436811,0.6543448326256115,0.6657158690833226,0.5528063408549827,0.5472902000832496,0.5412131814308976,0.5373357780668238,0.5284247651898808,0.4742941915278358,0.48903396131682286,0.3520762548513486
raw bzFixedLen32_2,0.2692827518208581,0.7142509740899851,0.6266748291292119,0.5223455473469539,1.0,0.9248387547471097,0.9177143564656486,0.9062782132794321,0.7892131824895718,0.7642511779455968,0.664105135157384,0.4734245797483801,0.7266033741932203,0.5897897902761376,0.4947619225291625,0.9233738680801529,0.9085696461671324,0.8967100407067862,0.8926927863337054,0.8112832997503462,0.728919964711351,0.7159879847246395,0.5394467518662741
raw bzFixedLen64_2,0.26412214794384187,0.7200868101579171,0.6337262825371002,0.524925452105389,0.9248387547471097,1.0,0.9281465560010005,0.9079544194401854,0.8114742317439979,0.8022686599354072,0.6863113636396663,0.47202423072445676,0.7274208529145753,0.5960841246450576,0.49744961117372943,0.9237962647260722,0.9041167324578524,0.8943058338776155,0.8799693508782125,0.8139328249674883,0.7535162141095976,0.7309619066251137,0.5513838628837555
raw bzFixedLen128_2,0.2785501720207694,0.7232272599016981,0.636073998376809,0.534718435862027,0.9177143564656486,0.9281465560010005,1.0,0.9149990152681808,0.7976897571371773,0.7830880931574795,0.6677087904956571,0.4794221544092011,0.7357824560975041,0.5965153427614572,0.5037996754352383,0.9084213108437348,0.9012483330609125,0.8969596110688968,0.8930851561401515,0.8262198181452238,0.7444796650862137,0.7276597888624756,0.540211293388232
raw bzFixedLen256_2,0.2811975703238551,0.7217299081888485,0.6318243858530269,0.5260606243905271,0.9062782132794321,0.9079544194401854,0.9149990152681808,1.0,0.819992062931798,0.771600203420306,0.6726749891984815,0.4678499652957249,0.7359207384918124,0.5951641977412054,0.49976820812166833,0.8976888566038219,0.8870093720045663,0.8845672618869873,0.8909607427094971,0.8290701029966534,0.7311891445815367,0.7210099601294164,0.53582530645907
raw bzFixedLen256_4,0.23957484172958676,0.6608748131993085,0.5944931960819773,0.4791023077438166,0.7892131824895718,0.8114742317439979,0.7976897571371773,0.819992062931798,1.0,0.807248844232112,0.7652221715586405,0.45999153201648413,0.6787865608320398,0.5969736370248409,0.49502443302505306,0.7910290174227498,0.7790790326911136,0.7662123428876748,0.7679166184891951,0.770344826629493,0.7718156780366603,0.7161673774602882,0.5485968039287298
raw bzFixedLen64_8,0.23323733722468926,0.6574268264659143,0.5780338514916732,0.4668486910966265,0.7642511779455968,0.8022686599354072,0.7830880931574795,0.771600203420306,0.807248844232112,1.0,0.7258828707580919,0.484047377112331,0.6662103433391382,0.574327632100352,0.4711683455358935,0.7709807274889124,0.7623867437571786,0.76207257694932,0.7474437537487991,0.7577838201032387,0.7956181176754055,0.7254952379958842,0.5728466835713009
raw bzFixedLen256_8,0.2119459471527047,0.5917325482373579,0.5422083650841194,0.433167722916831,0.664105135157384,0.6863113636396663,0.6677087904956571,0.6726749891984815,0.7652221715586405,0.7258828707580919,1.0,0.42097865826963077,0.5970565050985287,0.5594351321011344,0.4714681809521781,0.6745480850581375,0.6591210089258117,0.6458734231611737,0.6437499075448304,0.6546281770858016,0.7131147493981044,0.6465393033287088,0.5376291409868783
raw bzFixedLen1024_8,0.19598228670901124,0.4160879776814746,0.34385218209529655,0.2704538184755792,0.4734245797483801,0.47202423072445676,0.4794221544092011,0.4678499652957249,0.45999153201648413,0.484047377112331,0.42097865826963077,1.0,0.42649952178473877,0.3523017258317024,0.29009877218978547,0.47647442154037245,0.48120983446991855,0.50314442811563,0.4979379967561403,0.4829169303920578,0.4843252764603873,0.4568455214678741,0.4064529713581402
skel bzJumpi2,0.37754545719413796,0.9119867996605434,0.717503767998067,0.573221219436811,0.7266033741932203,0.7274208529145753,0.7357824560975041,0.7359207384918124,0.6787865608320398,0.6662103433391382,0.5970565050985287,0.42649952178473877,1.0,0.7336000511081916,0.613245990999238,0.7476315839723131,0.7426206404316926,0.7473322842801922,0.7488667233049805,0.7394554125540419,0.6528407223623097,0.6960776716110484,0.5239857333852298
skel bzJumpi4,0.37759160380967854,0.7130455068745633,0.7740568793880447,0.6543448326256115,0.5897897902761376,0.5960841246450576,0.5965153427614572,0.5951641977412054,0.5969736370248409,0.574327632100352,0.5594351321011344,0.3523017258317024,0.7336000511081916,1.0,0.8271601926856249,0.6174539502349033,0.6051366487542753,0.5983139604799272,0.599166604612647,0.6171696232599034,0.586205494687898,0.6125128206360273,0.4808465317854575
skel bzJumpi8,0.3776069897755388,0.6102587806883993,0.7121124569521484,0.6657158690833226,0.4947619225291625,0.49744961117372943,0.5037996754352383,0.49976820812166833,0.49502443302505306,0.4711683455358935,0.4714681809521781,0.29009877218978547,0.613245990999238,0.8271601926856249,1.0,0.5202825698137002,0.5171405106617138,0.5046028526279458,0.5068734185993259,0.515871595858349,0.4927952021950555,0.5178765614465863,0.4043084357177833
skel bzFixedLen32_2,0.3068102991090902,0.7396723548257136,0.6572229247264241,0.5528063408549827,0.9233738680801529,0.9237962647260722,0.9084213108437348,0.8976888566038219,0.7910290174227498,0.7709807274889124,0.6745480850581375,0.47647442154037245,0.7476315839723131,0.6174539502349033,0.5202825698137002,1.0,0.9352710334459986,0.9209164985895463,0.9095806135783581,0.8291243734285444,0.7448852887570341,0.7353625894580277,0.5602749552239663
skel bzFixedLen64_2,0.29710636175891697,0.7388799516583211,0.6494761372825205,0.5472902000832496,0.9085696461671324,0.9041167324578524,0.9012483330609125,0.8870093720045663,0.7790790326911136,0.7623867437571786,0.6591210089258117,0.48120983446991855,0.7426206404316926,0.6051366487542753,0.5171405106617138,0.9352710334459986,1.0,0.9293496090666483,0.9094839761481165,0.843165603459305,0.7624946170476075,0.7434840575246202,0.5547559811258586
skel bzFixedLen128_2,0.3095602978666087,0.7379470787651297,0.6383618461517151,0.5412131814308976,0.8967100407067862,0.8943058338776155,0.8969596110688968,0.8845672618869873,0.7662123428876748,0.76207257694932,0.6458734231611737,0.50314442811563,0.7473322842801922,0.5983139604799272,0.5046028526279458,0.9209164985895463,0.9293496090666483,1.0,0.9346437799057926,0.8540238581083851,0.7443389613461076,0.742976575215726,0.5648174911715349
skel bzFixedLen256_2,0.3094593211466216,0.7379041383829426,0.6365478511422602,0.5373357780668238,0.8926927863337054,0.8799693508782125,0.8930851561401515,0.8909607427094971,0.7679166184891951,0.7474437537487991,0.6437499075448304,0.4979379967561403,0.7488667233049805,0.599166604612647,0.5068734185993259,0.9095806135783581,0.9094839761481165,0.9346437799057926,1.0,0.870649980579727,0.7315524479882018,0.7466835334767385,0.5556865182074011
skel bzFixedLen256_4,0.29003126338740415,0.729664718335372,0.6328391511115076,0.5284247651898808,0.8112832997503462,0.8139328249674883,0.8262198181452238,0.8290701029966534,0.770344826629493,0.7577838201032387,0.6546281770858016,0.4829169303920578,0.7394554125540419,0.6171696232599034,0.515871595858349,0.8291243734285444,0.843165603459305,0.8540238581083851,0.870649980579727,1.0,0.7608957341764571,0.8105306349970587,0.5701167177977362
skel bzFixedLen64_8,0.2043130333754233,0.6448825381622459,0.5774098289441788,0.4742941915278358,0.728919964711351,0.7535162141095976,0.7444796650862137,0.7311891445815367,0.7718156780366603,0.7956181176754055,0.7131147493981044,0.4843252764603873,0.6528407223623097,0.586205494687898,0.4927952021950555,0.7448852887570341,0.7624946170476075,0.7443389613461076,0.7315524479882018,0.7608957341764571,1.0,0.7484211768541849,0.542589935348837
skel bzFixedLen256_8,0.2496923532677001,0.6850197765499247,0.5961036053649725,0.48903396131682286,0.7159879847246395,0.7309619066251137,0.7276597888624756,0.7210099601294164,0.7161673774602882,0.7254952379958842,0.6465393033287088,0.4568455214678741,0.6960776716110484,0.6125128206360273,0.5178765614465863,0.7353625894580277,0.7434840575246202,0.742976575215726,0.7466835334767385,0.8105306349970587,0.7484211768541849,1.0,0.5593053907650086
skel bzFixedLen1024_8,0.24098564983369292,0.5121330170415178,0.44263530566929227,0.3520762548513486,0.5394467518662741,0.5513838628837555,0.540211293388232,0.53582530645907,0.5485968039287298,0.5728466835713009,0.5376291409868783,0.4064529713581402,0.5239857333852298,0.4808465317854575,0.4043084357177833,0.5602749552239663,0.5547559811258586,0.5648174911715349,0.5556865182074011,0.5701167177977362,0.542589935348837,0.5593053907650086,1.0
