,isInner,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
isInner,1.0,0.36763739916008986,0.36624519801164274,0.36369579333948715,0.35846880835382766,0.3503478063905767,0.34291391615384204,0.3292820126888579,0.3315305085042317,0.34892761158690183,0.3106762854879152,0.2846020810122084,0.36816374858670264,0.3681025592580143,0.3676751504567781,0.3438836644261688,0.33556552226132313,0.33129469723306537,0.32654535804435536,0.312574136454391,0.34220402693853713,0.30839618285514414,0.33327330259367116
raw bzJumpi2,0.36763739916008986,1.0,0.8873160328840807,0.8536833477807091,0.8208105775420835,0.8199697594774286,0.8154717579684692,0.8024302614747307,0.7942142628499186,0.8144477404038631,0.7780446602784015,0.6815660099218,0.936649782376389,0.8544541782983411,0.8542933469879443,0.8242289821090062,0.8166506629626377,0.8163608206941075,0.8126316176842986,0.8049355765547328,0.8281821278835851,0.8046675646563328,0.7335820670292106
raw bzJumpi4,0.36624519801164274,0.8873160328840807,1.0,0.9228270442159852,0.8052895290098269,0.803372301821656,0.7984813620859433,0.7831623603474871,0.7693569420811172,0.7956054410174364,0.7628925474086108,0.6519806372816492,0.8579912530450301,0.8847555815813736,0.88693081916999,0.8013053215180586,0.7903623120374869,0.7885912498638254,0.7842086910769224,0.7857587260512264,0.810288569908594,0.7817410441581799,0.7254423138665795
raw bzJumpi8,0.36369579333948715,0.8536833477807091,0.9228270442159852,1.0,0.7899109435017815,0.7852196322652361,0.780861928996167,0.767128322690703,0.7541107893814301,0.7782114800330477,0.7497086538336198,0.6399417251018772,0.8341410887322329,0.8520788897581743,0.8714671899948204,0.7861762644223164,0.7773742082016065,0.7746545658488332,0.7702120603035655,0.77559945462062,0.7938641552109588,0.7729045114022115,0.7182566315568514
raw bzFixedLen32_2,0.35846880835382766,0.8208105775420835,0.8052895290098269,0.7899109435017815,1.0,0.9510379407420584,0.9431559396072949,0.924305549677205,0.8838863884390075,0.9244870222522772,0.8539931905253222,0.7179443779551982,0.8052694351783514,0.7683825038185463,0.7821623168441563,0.9424947089047363,0.9306249341480675,0.9251570252234884,0.9138016429848992,0.8667551130728738,0.8986507160210487,0.8490832853603053,0.760016718498615
raw bzFixedLen64_2,0.3503478063905767,0.8199697594774286,0.803372301821656,0.7852196322652361,0.9510379407420584,1.0,0.9519897395511138,0.9179995346995243,0.8881042342220885,0.9382317258693845,0.8556988225515164,0.7240243224884015,0.8026242898582698,0.7658397178724798,0.7761170085382961,0.9425083326771019,0.9325021670326824,0.931297816487945,0.9245407002194719,0.8690816826259605,0.9006961056218478,0.8526042446424196,0.7606820031586299
raw bzFixedLen128_2,0.34291391615384204,0.8154717579684692,0.7984813620859433,0.780861928996167,0.9431559396072949,0.9519897395511138,1.0,0.9267967464530479,0.8908987367944399,0.926265546088567,0.8614218494811782,0.7186212861142082,0.7989365594026063,0.7658456333923077,0.776580383517433,0.9381737073448324,0.9257401270852499,0.9225615318241146,0.9173184179219906,0.8760627469446577,0.9000621760349133,0.8542119940650811,0.7610623976414863
raw bzFixedLen256_2,0.3292820126888579,0.8024302614747307,0.7831623603474871,0.767128322690703,0.924305549677205,0.9179995346995243,0.9267967464530479,1.0,0.906888624959022,0.9011827400805844,0.8722235228826644,0.7126915039742568,0.7880790553355868,0.7531129077650667,0.7647650358712509,0.923776591765137,0.9145966658797581,0.9122455760443934,0.9144233395608549,0.8748075078348101,0.8921184244607434,0.8519411579711251,0.7646135424925216
raw bzFixedLen256_4,0.3315305085042317,0.7942142628499186,0.7693569420811172,0.7541107893814301,0.8838863884390075,0.8881042342220885,0.8908987367944399,0.906888624959022,1.0,0.8812574537316857,0.8977275292229016,0.7114647342076631,0.7822245022474709,0.7461723646650728,0.7529815595575632,0.8881023767690284,0.8864901019332881,0.8848326317992624,0.8829912265551645,0.8588181153748092,0.8727716126957652,0.8481120408942504,0.7611118604710105
raw bzFixedLen64_8,0.34892761158690183,0.8144477404038631,0.7956054410174364,0.7782114800330477,0.9244870222522772,0.9382317258693845,0.926265546088567,0.9011827400805844,0.8812574537316857,1.0,0.85717214887617,0.7320120014580461,0.7976732694716632,0.7613512454667226,0.7718884107749722,0.9164256212132307,0.904804439320717,0.9047082464474946,0.9024619987148776,0.8647907669025446,0.8924801821983847,0.8477613735094948,0.7617456493325958
raw bzFixedLen256_8,0.3106762854879152,0.7780446602784015,0.7628925474086108,0.7497086538336198,0.8539931905253222,0.8556988225515164,0.8614218494811782,0.8722235228826644,0.8977275292229016,0.85717214887617,1.0,0.6920531720318663,0.763067843647743,0.7358403847956048,0.7420295850116403,0.8564986666679059,0.8499034019298213,0.8495746148030918,0.8491303685365478,0.8415392804763601,0.850020853202669,0.8370924230925806,0.7481592532834153
raw bzFixedLen1024_8,0.2846020810122084,0.6815660099218,0.6519806372816492,0.6399417251018772,0.7179443779551982,0.7240243224884015,0.7186212861142082,0.7126915039742568,0.7114647342076631,0.7320120014580461,0.6920531720318663,1.0,0.68566955516645,0.6508782722578181,0.6501539240699765,0.710786222260753,0.7058650665447858,0.7117581139230696,0.7132368169158063,0.6865631769269838,0.7099012671449697,0.6908667743607646,0.6698700181448091
skel bzJumpi2,0.36816374858670264,0.936649782376389,0.8579912530450301,0.8341410887322329,0.8052694351783514,0.8026242898582698,0.7989365594026063,0.7880790553355868,0.7822245022474709,0.7976732694716632,0.763067843647743,0.68566955516645,1.0,0.877093912748485,0.8583200712939849,0.807787491052412,0.8005296653254461,0.7991171035658544,0.7952302668062488,0.7925234416125772,0.8114868899261503,0.7972825158466418,0.7273852495033136
skel bzJumpi4,0.3681025592580143,0.8544541782983411,0.8847555815813736,0.8520788897581743,0.7683825038185463,0.7658397178724798,0.7658456333923077,0.7531129077650667,0.7461723646650728,0.7613512454667226,0.7358403847956048,0.6508782722578181,0.877093912748485,1.0,0.9210534571051016,0.7716912442799309,0.7581572656307662,0.7541078770612918,0.7510568971273873,0.7665820730379728,0.7885984408795496,0.7649675104898604,0.721083567275703
skel bzJumpi8,0.3676751504567781,0.8542933469879443,0.88693081916999,0.8714671899948204,0.7821623168441563,0.7761170085382961,0.776580383517433,0.7647650358712509,0.7529815595575632,0.7718884107749722,0.7420295850116403,0.6501539240699765,0.8583200712939849,0.9210534571051016,1.0,0.7830710937658717,0.7692891937517715,0.7660058169479016,0.7626835887002592,0.7758834066222761,0.7964633341509807,0.7742183389996316,0.7203565403434413
skel bzFixedLen32_2,0.3438836644261688,0.8242289821090062,0.8013053215180586,0.7861762644223164,0.9424947089047363,0.9425083326771019,0.9381737073448324,0.923776591765137,0.8881023767690284,0.9164256212132307,0.8564986666679059,0.710786222260753,0.807787491052412,0.7716912442799309,0.7830710937658717,1.0,0.9572736804783499,0.9446783369846673,0.9348005952443457,0.8883731094400208,0.9209293518794862,0.8705817587139116,0.7723428697184335
