,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
isInner,1.0,0.29590994724273767,0.2784483336732938,0.2702328765311078,0.29098312171201757,0.2959566488585562,0.29697191263293504,0.2635993231359813,0.29649016282556656,0.2583346369706627,0.26553100763139903,0.256776463197354,0.2552311545002224,0.25306509889336604,0.22981479440011815,0.29659222484677394,0.26243612555586804,0.2616731570470189,0.24318655312714968,0.18979169533744392,0.031655803151214815,-0.0008710729423559684,0.2965411806634776,0.2801221338358603,0.2756468646532922,0.2945076174382548,0.2863231760941215,0.2635085520165076,0.08879590022986683
raw ncd,0.29590994724273767,1.0,0.6498366631544995,0.674932756991352,0.6736648813211558,0.6639097228717766,0.7056888477717878,0.5828887592940198,0.804059865817994,0.6218976197496481,0.6334091102317748,0.6339377514990615,0.6652351614493718,0.628419545103975,0.5389942912986311,0.712269875261638,0.6260511883104134,0.6211899977411747,0.5707031509683118,0.2984192290554454,-0.06587165308686686,-0.15719702794767776,0.7575705549162021,0.5001961430757984,0.575330596784295,0.5833681784687613,0.5326219203283604,0.5494751659121551,0.13043104624435395
raw lzjd32,0.2784483336732938,0.6498366631544995,1.0,0.7699008602646324,0.6746510577887691,0.6300795858374804,0.6582596552410108,0.5301589785492917,0.6275239086168501,0.5353932962941429,0.5391178190357032,0.5288716815217803,0.5896725149056163,0.5562470061244947,0.44367297580470444,0.5980091038540366,0.5720247173905206,0.5730886817018418,0.4892077558282757,0.20574743464372885,-0.16011006371998687,-0.2585149015225792,0.6355765957441584,0.5310662131857147,0.5516688969662388,0.5590286724118089,0.5053582570511982,0.48837112542275,0.003660236361944607
raw lzjd64,0.2702328765311078,0.674932756991352,0.7699008602646324,1.0,0.8074503392551496,0.7630850788369536,0.7684204997104968,0.6292939384213978,0.6765123681766134,0.6107019031979882,0.6520452165578934,0.670123560670288,0.68964959430464,0.6848277426742893,0.5299857743659961,0.6638406481085068,0.6379105113432433,0.6542697723349109,0.5699573808063099,0.21891810162781714,-0.19766403622370982,-0.3215520630314851,0.7074364957947615,0.6531016432318734,0.7061509534544622,0.7038412443514089,0.6311637223959337,0.5965962767185152,0.03993936789347587
raw lzjd128,0.29098312171201757,0.6736648813211558,0.6746510577887691,0.8074503392551496,1.0,0.8770780179594669,0.8630395223379941,0.6667314277410081,0.6981902488053496,0.6759602836078273,0.7273061713961572,0.7360781920864303,0.7380318442139957,0.7301642875716565,0.49644106251213044,0.7058255324058029,0.6731992230704356,0.7026646760089019,0.5360170613999731,0.13967046166910846,-0.28321609106345746,-0.37968719663513245,0.756067998813732,0.6957354663053302,0.7549684784670715,0.7868723928319469,0.7193568316306089,0.5901164287327204,-0.03157803745338998
raw lzjd256,0.2959566488585562,0.6639097228717766,0.6300795858374804,0.7630850788369536,0.8770780179594669,1.0,0.915544078507249,0.6986591862401407,0.7011205128658935,0.686854250609457,0.7735548432866808,0.8026203637681987,0.8021405820890275,0.7926588961625278,0.5260833283648405,0.6901082161724149,0.6637384916256756,0.7051193368739739,0.5596105939778528,0.16879944617050316,-0.24559580470183334,-0.35787768862333413,0.7534317782510599,0.6968564428647578,0.7716801216773101,0.8040904499857315,0.7280906727269909,0.6072640662881951,-0.01081988246244856
raw lzjd512,0.29697191263293504,0.7056888477717878,0.6582596552410108,0.7684204997104968,0.8630395223379941,0.915544078507249,1.0,0.7385682891416557,0.7255430905837158,0.6974876619373107,0.7571412951698274,0.7861411140460937,0.8167353542497474,0.8097190421669234,0.5605281303431076,0.6978146339818637,0.6801182065174362,0.7334037006683569,0.5984278464530689,0.21171008058951768,-0.2160393925327939,-0.33046906260550474,0.7631384761839111,0.6825862141869117,0.7679243757067777,0.7959179083679947,0.7326048387749313,0.6375405819438312,0.014246937935034603
raw lzjd1K,0.2635993231359813,0.5828887592940198,0.5301589785492917,0.6292939384213978,0.6667314277410081,0.6986591862401407,0.7385682891416557,1.0,0.6159409275705857,0.647186727636994,0.6694241870391875,0.6455190738395913,0.6600680571674965,0.7517781926948337,0.7673368343316747,0.6481832655832698,0.6552677215195474,0.7301529634101023,0.7538470697301136,0.3727851445985523,-0.09814312917350641,-0.2250172328367796,0.6566805283732379,0.6708728728603784,0.7072639536598936,0.6596835701115925,0.783786770561567,0.8233167355881011,0.1845889107751695
skel ncd,0.29649016282556656,0.804059865817994,0.6275239086168501,0.6765123681766134,0.6981902488053496,0.7011205128658935,0.7255430905837158,0.6159409275705857,1.0,0.6730198642344042,0.7123115861503188,0.7186832044169981,0.7529299682238988,0.7117206691773875,0.5950875519413618,0.7757701371537723,0.6976968865160286,0.7005130554196892,0.599130628676922,0.26567325532137975,-0.09945328015075977,-0.18904965683083264,0.8518582369725451,0.5570832959305179,0.6189122621709425,0.6226007951430479,0.5805406562025625,0.56892104557018,0.0848318018449426
skel lzjd32,0.2583346369706627,0.6218976197496481,0.5353932962941429,0.6107019031979882,0.6759602836078273,0.686854250609457,0.6974876619373107,0.647186727636994,0.6730198642344042,1.0,0.7694008664890659,0.7196238188725305,0.7170064291742352,0.7467922182385082,0.6073193725687436,0.6453489247921209,0.6346284186472646,0.6711223528741622,0.6116079160435413,0.2677663215492414,-0.1578415634124484,-0.23680110502881718,0.6800428482671799,0.5449346947475295,0.6085918362646646,0.624848884392004,0.6405656231336128,0.6152930524432595,0.06575838327999707
skel lzjd64,0.26553100763139903,0.6334091102317748,0.5391178190357032,0.6520452165578934,0.7273061713961572,0.7735548432866808,0.7571412951698274,0.6694241870391875,0.7123115861503188,0.7694008664890659,1.0,0.8463282627114146,0.8031971289695117,0.7962667165571702,0.5804652422585537,0.6851372804988671,0.6729533158643521,0.7062060910940768,0.5655168838374968,0.18336513292539616,-0.19084980270902072,-0.2940574867463617,0.7332799052840635,0.635729470671149,0.7098479715682517,0.7071369747404523,0.6884541525092459,0.5957829746417077,0.0224242486781364
skel lzjd128,0.256776463197354,0.6339377514990615,0.5288716815217803,0.670123560670288,0.7360781920864303,0.8026203637681987,0.7861411140460937,0.6455190738395913,0.7186832044169981,0.7196238188725305,0.8463282627114146,1.0,0.8722055496475838,0.827209732567251,0.5525304080006186,0.6738451213906865,0.6696096840205802,0.7007742823546116,0.5596061205674588,0.17477385126014117,-0.20860773702658128,-0.31114608484176437,0.7416938200966887,0.6472599383687213,0.7442128437239699,0.7575420475005007,0.6811396347773593,0.5855889920842856,-0.005743987406300425
skel lzjd256,0.2552311545002224,0.6652351614493718,0.5896725149056163,0.68964959430464,0.7380318442139957,0.8021405820890275,0.8167353542497474,0.6600680571674965,0.7529299682238988,0.7170064291742352,0.8031971289695117,0.8722055496475838,1.0,0.8532394871126039,0.5704848677134737,0.6791333386433582,0.6784244244647741,0.7338990451668452,0.5831754610424487,0.1926105247104867,-0.16995097718184599,-0.26885074737288844,0.7565194833284523,0.6287284483884156,0.7092277733889787,0.7357904870653955,0.6694147666125649,0.5895050407026552,-0.020588512616380172
skel lzjd512,0.25306509889336604,0.628419545103975,0.5562470061244947,0.6848277426742893,0.7301642875716565,0.7926588961625278,0.8097190421669234,0.7517781926948337,0.7117206691773875,0.7467922182385082,0.7962667165571702,0.827209732567251,0.8532394871126039,1.0,0.6631058441893363,0.6650010962954813,0.6750403008093425,0.754009056909205,0.6622379432318178,0.27772505322770497,-0.14280787805630302,-0.2596025890852997,0.7186496737075412,0.6753578350663292,0.7575505073684808,0.7494998755560497,0.7565492199459268,0.6899914186909316,0.07401668781686314
skel lzjd1K,0.22981479440011815,0.5389942912986311,0.44367297580470444,0.5299857743659961,0.49644106251213044,0.5260833283648405,0.5605281303431076,0.7673368343316747,0.5950875519413618,0.6073193725687436,0.5804652422585537,0.5525304080006186,0.5704848677134737,0.6631058441893363,1.0,0.573948969884224,0.5818667646504956,0.6435945295986814,0.786318078751544,0.5133604539470802,0.06063218164654776,-0.06432170799252145,0.5791851315432323,0.5227240622016641,0.5522116456238322,0.5092655603526386,0.6298876263473787,0.7906536491717447,0.30454799735604987
