,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
isInner,1.0,0.4173506280993446,0.36829355992218615,0.38462911268317446,0.3914213461983642,0.39428046304255715,0.39409746552818814,0.36593587087774276,0.4037460272265496,0.36657799370306476,0.36422016249140904,0.35857381850477127,0.36351021363005404,0.3619626848019344,0.34577477410941637,0.41546893794425627,0.3887516903289442,0.3951752782454094,0.36583267388054136,0.3125842120322756,0.1320315410379974,0.10220967153561149,0.40708400109666876,0.35157879614407767,0.37332320909641664,0.381820951484091,0.38111461895473625,0.37529432311421257,0.1612686908181347
raw ncd,0.4173506280993446,1.0,0.5840975171758868,0.5942022141790199,0.5946391032240932,0.605305067898871,0.635752458985216,0.6287024456425414,0.7682260000339411,0.5698119940809959,0.5689682617135317,0.5749718317309771,0.5925225040299673,0.6004407147350143,0.6120639299042416,0.6708299641679704,0.5481748046032026,0.5786556197392082,0.5886079572294409,0.39996625485587567,0.03420780713810816,-0.0473938479827974,0.7055216992635921,0.49786225579132637,0.5469427084722223,0.5525096875816972,0.54837474678816,0.586596647022955,0.19346948519408397
raw lzjd32,0.36829355992218615,0.5840975171758868,1.0,0.7724740137984871,0.6915335316645307,0.6680938074475289,0.6767530164462864,0.6509191381007898,0.5773123036876989,0.5742703095984643,0.5812796062644043,0.5723349019826952,0.6055860133274883,0.6199205785727586,0.5585858447318747,0.5689104441411298,0.5286711429969784,0.5798456939669085,0.5575195285406023,0.27777993830559927,-0.1059260952611339,-0.17981535477854732,0.599597831145333,0.5514733951202522,0.5834208392186198,0.5893462445885033,0.5822143810882657,0.5735989354376198,0.05030958540996257
raw lzjd64,0.38462911268317446,0.5942022141790199,0.7724740137984871,1.0,0.8250476137406908,0.7833566569404913,0.7785102252246026,0.7219012238832705,0.6273086376050604,0.6343831523679376,0.676790554005736,0.676820380185577,0.7098326445689475,0.7189453137902272,0.5943931971330517,0.6282472771023822,0.6137119588713301,0.6638018063056053,0.6032791101391232,0.2424853790113993,-0.16419916376257201,-0.2262712281333216,0.6587259906958207,0.6464805890983688,0.6852777845344117,0.6960474403595377,0.6789145596844386,0.6195580170625696,0.004136147509564544
raw lzjd128,0.3914213461983642,0.5946391032240932,0.6915335316645307,0.8250476137406908,1.0,0.8761178875362531,0.8434896940085734,0.7364017358033831,0.6533140058037815,0.6622953996764939,0.7307304165686033,0.7478535493398999,0.7767977043546735,0.7736661344261938,0.5842111126782236,0.6530832970182112,0.637273394502487,0.6866605758969184,0.588580602704683,0.2051003753400131,-0.21278167308616405,-0.2710290764895846,0.6888301632078201,0.685559520719064,0.7354778245378597,0.7627065709432002,0.7350159911778561,0.6074964175008759,-0.027884891873593637
raw lzjd256,0.39428046304255715,0.605305067898871,0.6680938074475289,0.7833566569404913,0.8761178875362531,1.0,0.8958143464799861,0.7619492052945173,0.6569809135008753,0.6751849837297308,0.7564463843238177,0.7870564622695825,0.8129998995773575,0.8148780349240956,0.6004068536860756,0.6479355621116893,0.6401119591426723,0.6940378693609552,0.5974821161002047,0.21780846101135082,-0.2068184737728002,-0.2723696025253472,0.6884734253198846,0.7052120562783284,0.7623841196356451,0.7942066278170975,0.7660439102956942,0.6221520258715874,-0.016043888282803613
raw lzjd512,0.39409746552818814,0.635752458985216,0.6767530164462864,0.7785102252246026,0.8434896940085734,0.8958143464799861,1.0,0.81834268029052,0.6886374235759732,0.6952563935139262,0.755388417815677,0.771293253389621,0.8278468704991175,0.8461326661947206,0.6440668893669778,0.6675855769222924,0.6509815031387615,0.7147301750446763,0.6366673866938416,0.2548386998311415,-0.19186035963540024,-0.2625128415944626,0.7144082373100652,0.6963754203124538,0.756062412741286,0.7850524209854944,0.7761810692089706,0.6579012217206418,0.009378712428893685
raw lzjd1K,0.36593587087774276,0.6287024456425414,0.6509191381007898,0.7219012238832705,0.7364017358033831,0.7619492052945173,0.81834268029052,1.0,0.6887065775451338,0.6917908228638424,0.7054726761466512,0.7033137419636101,0.7354531631448823,0.7968024951537745,0.7666627005550699,0.6848144979356527,0.6607736995911662,0.7215724725416234,0.7338163198431211,0.36036570919701083,-0.11423280632301651,-0.1983452329958668,0.7212307468849166,0.6497317655237663,0.702592926447747,0.7011411144784193,0.7726858155040184,0.7676231877663642,0.121083269561019
skel ncd,0.4037460272265496,0.7682260000339411,0.5773123036876989,0.6273086376050604,0.6533140058037815,0.6569809135008753,0.6886374235759732,0.6887065775451338,1.0,0.6225193646151851,0.6600323800812871,0.6590276382549387,0.6847208509209505,0.6910575803113421,0.6803734021082517,0.7609522233588103,0.6359783961873217,0.6654457399625678,0.6402730752600945,0.3434580017759154,-0.024916683771862846,-0.10370194869060871,0.8211384378211691,0.560100807029772,0.6049940274387472,0.6064058677562676,0.6149182482745128,0.6120822651112603,0.1209677415832325
skel lzjd32,0.36657799370306476,0.5698119940809959,0.5742703095984643,0.6343831523679376,0.6622953996764939,0.6751849837297308,0.6952563935139262,0.6917908228638424,0.6225193646151851,1.0,0.7739648072152253,0.7060031455399801,0.6932211949952994,0.713759002946452,0.6464290085434997,0.6197281015361015,0.6002037817294864,0.6418290611812842,0.6139857721432472,0.31152448137511024,-0.15441737136014327,-0.22412172082267406,0.6430337263086007,0.5791324564205953,0.6264624018687117,0.6378105843376851,0.6626172973335188,0.632861893191314,0.07492163737853151
skel lzjd64,0.36422016249140904,0.5689682617135317,0.5812796062644043,0.676790554005736,0.7307304165686033,0.7564463843238177,0.755388417815677,0.7054726761466512,0.6600323800812871,0.7739648072152253,1.0,0.8447910812506668,0.8058480517945367,0.7916172848089685,0.6273549475789291,0.6525143318701964,0.6514965011419634,0.6861385342796514,0.5889328383073672,0.22307186301915846,-0.19690217030164922,-0.2629108430768922,0.6854618362826401,0.6523512433206251,0.6952894433241199,0.7121639210898673,0.7059087066799575,0.6009682893538484,-0.0057219671130184615
skel lzjd128,0.35857381850477127,0.5749718317309771,0.5723349019826952,0.676820380185577,0.7478535493398999,0.7870564622695825,0.771293253389621,0.7033137419636101,0.6590276382549387,0.7060031455399801,0.8447910812506668,1.0,0.8529318244179616,0.819019139907259,0.6104149188324841,0.6492563635244031,0.6518030814719123,0.6858729850842151,0.577362422530697,0.2111163470526565,-0.19760679119180763,-0.26355496378087556,0.6822728723696263,0.695212478946841,0.7421490095402021,0.7612716838733652,0.7308476312718302,0.5950853903070329,-0.007016782820868592
skel lzjd256,0.36351021363005404,0.5925225040299673,0.6055860133274883,0.7098326445689475,0.7767977043546735,0.8129998995773575,0.8278468704991175,0.7354531631448823,0.6847208509209505,0.6932211949952994,0.8058480517945367,0.8529318244179616,1.0,0.8884277201373579,0.630938352666328,0.6580858182935947,0.6659606548371565,0.7150017130436194,0.6045444990689753,0.2191661936959458,-0.19112303136212105,-0.24814722702685574,0.700700431320617,0.6918244930719611,0.743374581801922,0.7670735729520204,0.7459228804577909,0.6017272903046286,-0.03153335336504654
skel lzjd512,0.3619626848019344,0.6004407147350143,0.6199205785727586,0.7189453137902272,0.7736661344261938,0.8148780349240956,0.8461326661947206,0.7968024951537745,0.6910575803113421,0.713759002946452,0.7916172848089685,0.819019139907259,0.8884277201373579,1.0,0.6998329331463822,0.6654656850144433,0.6695019708965457,0.7315100348219595,0.6559634967218051,0.27798340820996736,-0.16889085046535443,-0.23860096404710338,0.7069599749836458,0.6936759405301469,0.7530257284912885,0.7708932603451168,0.7903204041597321,0.6678725686777346,0.026817265996599813
skel lzjd1K,0.34577477410941637,0.6120639299042416,0.5585858447318747,0.5943931971330517,0.5842111126782236,0.6004068536860756,0.6440668893669778,0.7666627005550699,0.6803734021082517,0.6464290085434997,0.6273549475789291,0.6104149188324841,0.630938352666328,0.6998329331463822,1.0,0.6279230400964545,0.6046011938933995,0.6451372989244495,0.7538259509597431,0.48424243578293086,0.010020317158297298,-0.07679396240207369,0.6556552240117137,0.517983846286145,0.5601876396980507,0.5505129460171504,0.6259222937969043,0.7800468336030908,0.23357330777978158
fStat ncd,0.41546893794425627,0.6708299641679704,0.5689104441411298,0.6282472771023822,0.6530832970182112,0.6479355621116893,0.6675855769222924,0.6848144979356527,0.7609522233588103,0.6197281015361015,0.6525143318701964,0.6492563635244031,0.6580858182935947,0.6654656850144433,0.6279230400964545,1.0,0.7023138253193647,0.724043412036804,0.6596870242335321,0.31260857653614027,-0.09266859679176341,-0.1733355408623189,0.8599793627326822,0.6074684039718893,0.6471983253780514,0.6386723218630539,0.6590123868517797,0.6367294443413961,0.088244202629255
fStat lzjd32,0.3887516903289442,0.5481748046032026,0.5286711429969784,0.6137119588713301,0.637273394502487,0.6401119591426723,0.6509815031387615,0.6607736995911662,0.6359783961873217,0.6002037817294864,0.6514965011419634,0.6518030814719123,0.6659606548371565,0.6695019708965457,0.6046011938933995,0.7023138253193647,1.0,0.8289359886448737,0.6927363943580486,0.2802929485503966,-0.12171274328080993,-0.16127367856251015,0.6905557266992871,0.6291698054321098,0.656773016876833,0.6484551455574394,0.6676669940560046,0.6180442747388867,0.011128085010601066
fStat lzjd64,0.3951752782454094,0.5786556197392082,0.5798456939669085,0.6638018063056053,0.6866605758969184,0.6940378693609552,0.7147301750446763,0.7215724725416234,0.6654457399625678,0.6418290611812842,0.6861385342796514,0.6858729850842151,0.7150017130436194,0.7315100348219595,0.6451372989244495,0.724043412036804,0.8289359886448737,1.0,0.753293171986053,0.3221193878990555,-0.11074134179953916,-0.16497535703961755,0.7261690335823373,0.6522967590348797,0.6929426102821555,0.6928449195245743,0.7215551680366096,0.662894900879098,0.02498055198621622
fStat lzjd128,0.36583267388054136,0.5886079572294409,0.5575195285406023,0.6032791101391232,0.588580602704683,0.5974821161002047,0.6366673866938416,0.7338163198431211,0.6402730752600945,0.6139857721432472,0.5889328383073672,0.577362422530697,0.6045444990689753,0.6559634967218051,0.7538259509597431,0.6596870242335321,0.6927363943580486,0.753293171986053,1.0,0.5186175273402382,0.0071459749922601085,-0.06803555770612982,0.6607748431814919,0.5402932915814321,0.5879145795994408,0.5810492210067866,0.6502854932570538,0.7778473048184237,0.18359589714748242
fStat lzjd256,0.3125842120322756,0.39996625485587567,0.27777993830559927,0.2424853790113993,0.2051003753400131,0.21780846101135082,0.2548386998311415,0.36036570919701083,0.3434580017759154,0.31152448137511024,0.22307186301915846,0.2111163470526565,0.2191661936959458,0.27798340820996736,0.48424243578293086,0.31260857653614027,0.2802929485503966,0.3221193878990555,0.5186175273402382,1.0,0.386088966986615,0.27857989761641927,0.3042203270467407,0.15807924618531938,0.2067936177909416,0.1967451155538612,0.26819987879619395,0.48378845904691276,0.5794662606473359
fStat lzjd512,0.1320315410379974,0.03420780713810816,-0.1059260952611339,-0.16419916376257201,-0.21278167308616405,-0.2068184737728002,-0.19186035963540024,-0.11423280632301651,-0.024916683771862846,-0.15441737136014327,-0.19690217030164922,-0.19760679119180763,-0.19112303136212105,-0.16889085046535443,0.010020317158297298,-0.09266859679176341,-0.12171274328080993,-0.11074134179953916,0.0071459749922601085,0.386088966986615,1.0,0.8744503170253294,-0.09683557873819312,-0.25429536400013536,-0.2409769704404937,-0.2544219711409825,-0.21647353331760613,-0.043493138134420364,0.4606776763891453
