,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
isInner,1.0,0.321497979842907,0.19833833157703545,0.20171519313242214,0.19422201390813548,0.19640385214167863,0.21601366231085228,0.2338439221274247,0.23546617859843263,0.21342987029132704,0.18303626314192567,0.15284166967010734,0.15704642107550176,0.17593267149511638,0.19045612455012917,0.30584950548058665,0.2900367505650164,0.30360213971102146,0.2849425937464264,0.22979774722894108,0.056735351452992175,0.01727700432104218,0.2596714452577326,0.21607277672081118,0.23114236149450962,0.2077061038003534,0.24551256173259997,0.2632128765573557,0.10485200731899572
raw ncd,0.321497979842907,1.0,0.5061770570943238,0.4807242543586999,0.4774926029340079,0.5086590625026474,0.5457236745257823,0.6117497203507468,0.7019309342920629,0.5251267382327175,0.5020050328598554,0.48173071662645145,0.46851952902794886,0.5129623335556192,0.6424023998394086,0.6118973000555378,0.4654271275681789,0.49582866418157223,0.5657842847435569,0.47265327411158126,0.07809208534909004,-0.033489749959218905,0.6565752128666037,0.4207502493585359,0.474218958013178,0.4390720820796453,0.47178842654664793,0.5839825980769572,0.32159291303982646
raw lzjd32,0.19833833157703545,0.5061770570943238,1.0,0.7270567715099738,0.6683990289374324,0.6955891335814488,0.6941098320187893,0.6953633788858274,0.5070053029619442,0.6457073257800331,0.660096620716211,0.615442405137391,0.6087996195327134,0.6408393737892074,0.6038371126142293,0.508347280573648,0.5138021401127185,0.5323108296087508,0.543944738167938,0.22973307152543912,-0.11822619098291215,-0.1846788682964293,0.5481120655418621,0.515637389452313,0.5784665454424986,0.578694923551573,0.5958889750841092,0.5763109987209121,0.10125768687645757
raw lzjd64,0.20171519313242214,0.4807242543586999,0.7270567715099738,1.0,0.8395185811829965,0.8233504516543272,0.7988741298380431,0.7559916007114565,0.5131458195156868,0.6797711627662602,0.7541704070064966,0.7338382699010835,0.7441810168561458,0.7550084871439567,0.6307883724907454,0.5529298436073767,0.6364461501789204,0.6370158228990099,0.6058059778911726,0.15928782530730443,-0.25235534582141733,-0.2733394247905857,0.5929371488007855,0.6623591991846115,0.7200259187185101,0.7223840863581236,0.7339181394409876,0.6191163541377815,-0.017824880452033613
raw lzjd128,0.19422201390813548,0.4774926029340079,0.6683990289374324,0.8395185811829965,1.0,0.8626617372884389,0.8315475891661697,0.752713987492923,0.5517600769320968,0.6741176558706633,0.7847214871407289,0.7759222094069307,0.8080653253783909,0.8071740454549554,0.6480184217337792,0.5548149614688997,0.6489492597560689,0.6611536122565349,0.5946736716825054,0.12152176215306268,-0.26584007950137695,-0.28027985355819923,0.6247615573934212,0.638965663849089,0.7225173850487525,0.7383105043396472,0.7378260819470207,0.6040529875403853,-0.03594840065829879
raw lzjd256,0.19640385214167863,0.5086590625026474,0.6955891335814488,0.8233504516543272,0.8626617372884389,1.0,0.8930186266875695,0.8251693087060361,0.5636150188446903,0.7240429945153856,0.8180563675984673,0.8260854564578615,0.8377072560238445,0.8468551112016236,0.690620067075759,0.5851702634718117,0.6549506670042475,0.6816744801204284,0.6389698687527229,0.17358237682810734,-0.2664675705225151,-0.31199217283428704,0.6484537980475926,0.6527547510026004,0.7593766295957712,0.7847800767316265,0.7982323329762566,0.659230199755018,0.02067597690005848
raw lzjd512,0.21601366231085228,0.5457236745257823,0.6941098320187893,0.7988741298380431,0.8315475891661697,0.8930186266875695,1.0,0.8745974142282061,0.6098461209061901,0.7338135556089823,0.8150856106472434,0.8153515697062049,0.8293197091831287,0.8564282441220327,0.717271757699368,0.6030482316337091,0.6495206968535057,0.682691702195952,0.6565938019994869,0.19402538636817024,-0.23869814913314938,-0.2889345787618981,0.6820251929814788,0.6471131310327392,0.7331374015257524,0.7644100727380663,0.7822587741581525,0.6632727677723509,0.034421927039407246
raw lzjd1K,0.2338439221274247,0.6117497203507468,0.6953633788858274,0.7559916007114565,0.752713987492923,0.8251693087060361,0.8745974142282061,1.0,0.6301112332562877,0.7400345906342407,0.784027858466753,0.7740400390280602,0.7592871262517054,0.8095506162219434,0.7900108235793007,0.6453724805261296,0.6600823073362077,0.6902447485878254,0.7122583722789073,0.2752138237403104,-0.1897458055645475,-0.26693090177483864,0.7090168068846351,0.6427558670911865,0.7234690430201929,0.7228596654556646,0.7588640195471285,0.7426996323531826,0.11810281585076869
skel ncd,0.23546617859843263,0.7019309342920629,0.5070053029619442,0.5131458195156868,0.5517600769320968,0.5636150188446903,0.6098461209061901,0.6301112332562877,1.0,0.5437426148495239,0.5826625689617316,0.5795597327055795,0.5693482705149417,0.5960988904339977,0.6611023169102288,0.6751548620238875,0.5028306476909132,0.5359923163644946,0.5308448558947564,0.34172499630792075,0.02066472602972588,-0.0740422200318425,0.799122694584923,0.45746119178090705,0.5151884329420598,0.4945523458843946,0.5057188892594121,0.5410571088189913,0.22552898675382763
skel lzjd32,0.21342987029132704,0.5251267382327175,0.6457073257800331,0.6797711627662602,0.6741176558706633,0.7240429945153856,0.7338135556089823,0.7400345906342407,0.5437426148495239,1.0,0.7861930230943209,0.7312005997103304,0.6987620727859376,0.7218311962322332,0.6820774419224682,0.5574498782016929,0.608394716400081,0.6494893022153617,0.642531789309065,0.24065025747422278,-0.23483827648111696,-0.28112269460646766,0.6012758976308551,0.5941654711365705,0.6417208234687393,0.6577431855390805,0.6875338302355866,0.6698196163339502,0.07686413927192223
