,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
isInner,1.0,0.37739790164243886,0.3453636117869695,0.36422065348430255,0.37606470069384096,0.37607106803568274,0.3775569497290759,0.36739661442814886,0.37740097395202943,0.3666519403015286,0.38229598808031423,0.3725851325807745,0.3755225965831673,0.37618593283937424,0.3716176849682372,0.37757314313299845,0.38938224919017167,0.3826413710734585,0.3732614242675094,0.3505671339657289,0.22939291329127443,0.20113128211306286,0.37749317814434896,0.3637241436688506,0.35678906446440445,0.37098155366993857,0.3732763118568533,0.37153813013340964,0.21840976212651103
raw ncd,0.37739790164243886,1.0,0.5990685804660322,0.6015075402221141,0.5841860607559817,0.596885630526405,0.6457909790995342,0.6948214060828038,0.8277175815772606,0.5828032967061749,0.5829462453386481,0.5777060910299221,0.5957540323999425,0.6145312687402432,0.7148383542089249,0.7093165127478998,0.5525565756567671,0.5931549457045535,0.6755981399690826,0.3728517890678294,0.015015665574704112,-0.07670553986437724,0.7386755277717995,0.5515627630094503,0.5724009736675513,0.5600142087169231,0.60590539058332,0.6786530680310104,0.2650184595470952
raw lzjd32,0.3453636117869695,0.5990685804660322,1.0,0.7585297119745045,0.6601230421445328,0.6529581260091691,0.6724959520804639,0.6897093309604967,0.6007569166779873,0.5608210448779483,0.5722536267050234,0.5519464399430012,0.5770323287166887,0.6049871943650399,0.6520448309715322,0.5608647104086101,0.5268921053564849,0.5643896979774657,0.6314887124524609,0.2932526738804558,-0.0636499351638835,-0.15697218981355804,0.5838268604039281,0.5559942461406088,0.5629088309622466,0.5441828874605897,0.5760819654363194,0.6118693403865055,0.09056219663510055
raw lzjd64,0.36422065348430255,0.6015075402221141,0.7585297119745045,1.0,0.8321738280358244,0.7907842809662385,0.7921893522013814,0.7859999406226176,0.6257178011307162,0.662479275814165,0.6926280347971823,0.6873460772039113,0.7116644249459436,0.7384366716072507,0.6814720035257424,0.606025131779368,0.6225503605387432,0.6540780766472974,0.688294058028667,0.21888547017721613,-0.16377930483870798,-0.2325582383363952,0.6405436706919302,0.6665013378188245,0.6826008787296141,0.6796446393872382,0.7035156901050147,0.6653962764657534,-0.0026423519294375888
raw lzjd128,0.37606470069384096,0.5841860607559817,0.6601230421445328,0.8321738280358244,1.0,0.8726085686435845,0.8437429083855381,0.7988325429451921,0.6355819395417932,0.7052867184395901,0.761458094159811,0.7519808161237851,0.7778247974558864,0.7970719838290452,0.6518584021788064,0.6376362771164525,0.6915582297618662,0.705548521026468,0.6624183617104606,0.15861840817217573,-0.22746546906743642,-0.2936164592768971,0.6752049587001918,0.7320331107014136,0.7441648676480019,0.7531410727205137,0.7663376787843833,0.6492770625373233,-0.036107513210825976
raw lzjd256,0.37607106803568274,0.596885630526405,0.6529581260091691,0.7907842809662385,0.8726085686435845,1.0,0.8915233443758079,0.8215527391992793,0.6543011305662855,0.7289990404668594,0.8054916501599831,0.8032365293389189,0.8336285176549566,0.8520262956483041,0.6859190875672523,0.6534197486150612,0.705816323916213,0.7303730069208998,0.6864607092411795,0.17534981661270696,-0.23896007725339813,-0.30299604726785645,0.6994668513141289,0.7601895659821476,0.8016298990658484,0.8065299542209653,0.8145506134730867,0.6824662514206978,-0.015795117946812164
raw lzjd512,0.3775569497290759,0.6457909790995342,0.6724959520804639,0.7921893522013814,0.8437429083855381,0.8915233443758079,1.0,0.8826550709260809,0.6980459684996136,0.7434892312536592,0.7996129790050102,0.7905509976803569,0.8336768665576079,0.8650578188782032,0.7340665873208458,0.6780857346487041,0.7004238593903448,0.7379864199740056,0.7152798373406541,0.21128299248129112,-0.21193322054898472,-0.28484534266908595,0.7333740269085246,0.7656032342652743,0.7998024364786694,0.7984879510230027,0.8284772993921521,0.7169613911501085,0.034555856870596285
raw lzjd1K,0.36739661442814886,0.6948214060828038,0.6897093309604967,0.7859999406226176,0.7988325429451921,0.8215527391992793,0.8826550709260809,1.0,0.7567741252262792,0.7157329350370256,0.7762936090487903,0.7750831042272203,0.8020320068296296,0.833215702648752,0.7939173227925694,0.7476975493514707,0.7182377260658647,0.7547961775746612,0.7589108364111777,0.252319737229587,-0.18341861978533316,-0.2644539970674609,0.7926826178659265,0.7574601266367968,0.7836968393773873,0.7657746816374732,0.8184536994677368,0.7708926082285801,0.08732785282236868
skel ncd,0.37740097395202943,0.8277175815772606,0.6007569166779873,0.6257178011307162,0.6355819395417932,0.6543011305662855,0.6980459684996136,0.7567741252262792,1.0,0.6381579609223635,0.6626085814492862,0.6641274126022376,0.6762894098269108,0.6901072490003812,0.7445031218240116,0.8267010682141559,0.6485367417270438,0.6853995264223939,0.7042807643189669,0.31120744774274983,-0.0510471570520813,-0.1501020923558237,0.8641293984625734,0.6281868904793398,0.6435200402439933,0.6331697095891953,0.6854777663757033,0.7117499812120245,0.22249549218640108
skel lzjd32,0.3666519403015286,0.5828032967061749,0.5608210448779483,0.662479275814165,0.7052867184395901,0.7289990404668594,0.7434892312536592,0.7157329350370256,0.6381579609223635,1.0,0.7818734943346931,0.7312736502740989,0.7477501796421737,0.7593383830242745,0.6536254502146845,0.6273605711301435,0.6432646807037113,0.6791980113618915,0.6445133263516034,0.13593011153837845,-0.28093857954543877,-0.3423598180868298,0.6705109314213694,0.6716475939398164,0.7100790399479072,0.7261015357159255,0.7482946289609489,0.6596468367581702,0.005560384737945455
