,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
isInner,1.0,0.3676116925568434,0.350787448396446,0.36387280765083646,0.37019990353929166,0.36855754160107573,0.3675438291756118,0.3514301074408536,0.36739380835884466,0.36725524798519105,0.3675989943122385,0.3658332905799423,0.3672254720762773,0.3652629547741901,0.35179393844538015,0.36702198002577496,0.36016714733491834,0.36056146708687886,0.3451145638095303,0.29265834640930644,0.14046809645940128,0.11594634364842153,0.3672098042719943,0.3553544306651279,0.36358580295767867,0.3689249339511823,0.36486296512938216,0.3627405911119981,0.21031270870397684
raw ncd,0.3676116925568434,1.0,0.6264213804178157,0.6235461262234657,0.5964793913136568,0.595198680712246,0.6379567181266618,0.619463974915899,0.8033372379502849,0.5601610274412081,0.5662441363112991,0.5554849027844041,0.5945656349624624,0.6029852425400483,0.6288833331662489,0.695236522931357,0.5561287814494744,0.5506245558610818,0.6020305321982737,0.312553866589522,-0.025078934653358902,-0.10386172920396726,0.7299881324592655,0.5165320520533043,0.5576184424857263,0.56501742965986,0.5696246408293693,0.5900766409698048,0.175085374606807
raw lzjd32,0.350787448396446,0.6264213804178157,1.0,0.7742114210997706,0.6625916034991863,0.6612468291231378,0.6892500802452756,0.6431587526316674,0.6191181812864505,0.5749671108877542,0.6016223609872848,0.5868266766847814,0.6165695513309987,0.632230318435868,0.603798265998718,0.5805007772800712,0.5747973930356344,0.562506144319124,0.5687149425211235,0.2435091473562901,-0.11433921213945812,-0.2012469748816612,0.6161406107041848,0.5493427734542505,0.5815097449746066,0.5819071757253454,0.5706429156610304,0.5670665882234835,0.06191217948234369
raw lzjd64,0.36387280765083646,0.6235461262234657,0.7742114210997706,1.0,0.819512441722255,0.7821055486114431,0.79222314345576,0.7353099739039806,0.6540867923961516,0.6522554095983465,0.7083134527741881,0.6981385634027596,0.725136249328635,0.7389094087140875,0.6359822283631306,0.6342818119410947,0.6764309415150386,0.6682637504554929,0.637926915967449,0.1736036034896856,-0.213323374805672,-0.2825580872419796,0.6789509383480599,0.6730506858436832,0.7088202830261082,0.7056831438514697,0.6885065028413656,0.6255004595075251,-0.010868957338427647
raw lzjd128,0.37019990353929166,0.5964793913136568,0.6625916034991863,0.819512441722255,1.0,0.8824442692513182,0.853382724630211,0.7530396901127226,0.6458932921817117,0.7154936796998861,0.7771543198994155,0.773074939880552,0.7905222147225314,0.8058462176725562,0.6238218639795636,0.6387178733384149,0.704669856965498,0.7143217905774584,0.6385216765026355,0.12222622636757016,-0.2929486198476078,-0.34465299232971963,0.6833094973941305,0.7219203371103786,0.7654177073114372,0.7803871020675439,0.7486999243093607,0.6235599895943941,-0.056898665121407406
raw lzjd256,0.36855754160107573,0.595198680712246,0.6612468291231378,0.7821055486114431,0.8824442692513182,1.0,0.8993777535673922,0.7782671783339431,0.6495319555150403,0.7317537614439164,0.7986715265145232,0.8080101000089336,0.8296440710331767,0.8469566553740867,0.6423477832519318,0.635580607384676,0.7071571074175894,0.7211941727348912,0.6537773783522873,0.13652413499562832,-0.29161596279224516,-0.34888975166126585,0.6880478076238918,0.7347516097253989,0.7776377010040277,0.7992127517629086,0.771146277538038,0.6402877611183562,-0.05651474800246283
raw lzjd512,0.3675438291756118,0.6379567181266618,0.6892500802452756,0.79222314345576,0.853382724630211,0.8993777535673922,1.0,0.8376035480478283,0.6860165566224314,0.7438013580351641,0.7908366237530879,0.7895043949313755,0.8365589053639836,0.8626483659075627,0.6802033588649214,0.6679783288711733,0.7144405331217605,0.7405299352804534,0.685550155113853,0.18134586580917655,-0.26357984863487194,-0.33472265114453864,0.7197968465671903,0.7413283845123806,0.785118896048854,0.79399690685394,0.775275116621093,0.6640925955862239,-0.036158352321716096
raw lzjd1K,0.3514301074408536,0.619463974915899,0.6431587526316674,0.7353099739039806,0.7530396901127226,0.7782671783339431,0.8376035480478283,1.0,0.6842821794728249,0.6958453352179139,0.7284782783071353,0.7070535418261256,0.7398591566930285,0.7993019150836583,0.782635903401023,0.6933044984861044,0.7377591665681367,0.7533531795908913,0.7598761383137739,0.2616570652496627,-0.1922194322255916,-0.26863376270348477,0.7246440110755528,0.704003236732239,0.7459937970503401,0.7258714515794523,0.8146583529327994,0.7536094228711128,0.03865687259258416
skel ncd,0.36739380835884466,0.8033372379502849,0.6191181812864505,0.6540867923961516,0.6458932921817117,0.6495319555150403,0.6860165566224314,0.6842821794728249,1.0,0.6253846459037959,0.6599893145207587,0.6485029867237551,0.6716972363225873,0.6849379878133977,0.67145603247433,0.8230573824436013,0.6524029420159231,0.6483622974443158,0.6459126109574655,0.25236006540693756,-0.09340542022103356,-0.18016862095221944,0.8689700251235092,0.5964015820118571,0.6316426781926072,0.6388338062903088,0.6562374425765996,0.6189600968099215,0.11754508989093226
skel lzjd32,0.36725524798519105,0.5601610274412081,0.5749671108877542,0.6522554095983465,0.7154936796998861,0.7317537614439164,0.7438013580351641,0.6958453352179139,0.6253846459037959,1.0,0.800525153343559,0.7341962595708019,0.7355994927876522,0.7400752741751546,0.6213866362619624,0.6320515724309241,0.6399114290662694,0.6775444244388152,0.6253601579047081,0.165824585820598,-0.26431431541688516,-0.32638368213030494,0.6609664956303489,0.6499069415708927,0.6837363939148013,0.6980584574895856,0.7029422269062955,0.6121106615333766,-0.00937166580298661
skel lzjd64,0.3675989943122385,0.5662441363112991,0.6016223609872848,0.7083134527741881,0.7771543198994155,0.7986715265145232,0.7908366237530879,0.7284782783071353,0.6599893145207587,0.800525153343559,1.0,0.8515074206610839,0.8131841608328755,0.8067497559418372,0.6243745495720744,0.6720225719735994,0.7105893443706062,0.7221529352802358,0.6176166432542841,0.11631618186749887,-0.2995255346598931,-0.36614825672849405,0.7130276081021506,0.7158331606791069,0.7434717947329319,0.7550809355204223,0.7402745661836173,0.605611894120133,-0.04491073190401878
skel lzjd128,0.3658332905799423,0.5554849027844041,0.5868266766847814,0.6981385634027596,0.773074939880552,0.8080101000089336,0.7895043949313755,0.7070535418261256,0.6485029867237551,0.7341962595708019,0.8515074206610839,1.0,0.8832560562913836,0.8387939109962629,0.6007164613833504,0.6555219198722094,0.7226452404805701,0.7262425355552123,0.609894264384026,0.08900654586492897,-0.30102244852860793,-0.34788924959193546,0.7037081224169813,0.7538019291004061,0.7792136267129572,0.8026502116592157,0.7571282321444522,0.589833734515707,-0.0747521758856949
skel lzjd256,0.3672254720762773,0.5945656349624624,0.6165695513309987,0.725136249328635,0.7905222147225314,0.8296440710331767,0.8365589053639836,0.7398591566930285,0.6716972363225873,0.7355994927876522,0.8131841608328755,0.8832560562913836,1.0,0.8951423675954205,0.6529267380360743,0.6599333636177708,0.723952243719413,0.7506890072894088,0.6632359704360293,0.14263570462379388,-0.27526045142142175,-0.3208867115468807,0.7117631555913977,0.744847126507385,0.7880047504484413,0.812214666653894,0.7805056011847709,0.6393393868414722,-0.06170305778448697
skel lzjd512,0.3652629547741901,0.6029852425400483,0.632230318435868,0.7389094087140875,0.8058462176725562,0.8469566553740867,0.8626483659075627,0.7993019150836583,0.6849379878133977,0.7400752741751546,0.8067497559418372,0.8387939109962629,0.8951423675954205,1.0,0.7152113015653359,0.6710342972550518,0.7386985793537179,0.7663177672684638,0.6994056288532887,0.1904393953534935,-0.25198152745721053,-0.319306316664629,0.7216795036185847,0.7579003897191471,0.8055161075128556,0.8177232662014704,0.8249980319192818,0.6864903553320479,-0.02370542348625126
skel lzjd1K,0.35179393844538015,0.6288833331662489,0.603798265998718,0.6359822283631306,0.6238218639795636,0.6423477832519318,0.6802033588649214,0.782635903401023,0.67145603247433,0.6213866362619624,0.6243745495720744,0.6007164613833504,0.6529267380360743,0.7152113015653359,1.0,0.6432357840297124,0.6340203660878988,0.6470649258361644,0.7730519961521894,0.41632583934738404,-0.06477021815065231,-0.15432390485572514,0.6587478044218404,0.5912114796031985,0.6364839657042312,0.6226837505272468,0.7180959106991658,0.8362087290784946,0.17653018632208328
fStat ncd,0.36702198002577496,0.695236522931357,0.5805007772800712,0.6342818119410947,0.6387178733384149,0.635580607384676,0.6679783288711733,0.6933044984861044,0.8230573824436013,0.6320515724309241,0.6720225719735994,0.6555219198722094,0.6599333636177708,0.6710342972550518,0.6432357840297124,1.0,0.7116475401734067,0.7010213685185192,0.648133266196808,0.21079497616113568,-0.14829279076785717,-0.2281173124354931,0.8742292145371172,0.6190107419733304,0.6385295035706595,0.640833301878784,0.6830262382874961,0.6144487988699426,0.07159482793691899
fStat lzjd32,0.36016714733491834,0.5561287814494744,0.5747973930356344,0.6764309415150386,0.704669856965498,0.7071571074175894,0.7144405331217605,0.7377591665681367,0.6524029420159231,0.6399114290662694,0.7105893443706062,0.7226452404805701,0.723952243719413,0.7386985793537179,0.6340203660878988,0.7116475401734067,1.0,0.8556993208547656,0.7081860377409555,0.14934482852080116,-0.20700670116698022,-0.2496835003814939,0.7223502297050463,0.6988189890387987,0.7156190303757805,0.7020861740090837,0.7620277490979699,0.6401721335901054,-0.02562292240528301
fStat lzjd64,0.36056146708687886,0.5506245558610818,0.562506144319124,0.6682637504554929,0.7143217905774584,0.7211941727348912,0.7405299352804534,0.7533531795908913,0.6483622974443158,0.6775444244388152,0.7221529352802358,0.7262425355552123,0.7506890072894088,0.7663177672684638,0.6470649258361644,0.7010213685185192,0.8556993208547656,1.0,0.7538509582125901,0.17759139164171486,-0.19728342780522667,-0.23484777647476196,0.7193556525623803,0.6808691029858024,0.7113618216416088,0.6996734803670184,0.7697205101758902,0.6437879196361784,-0.054096194344576284
fStat lzjd128,0.3451145638095303,0.6020305321982737,0.5687149425211235,0.637926915967449,0.6385216765026355,0.6537773783522873,0.685550155113853,0.7598761383137739,0.6459126109574655,0.6253601579047081,0.6176166432542841,0.609894264384026,0.6632359704360293,0.6994056288532887,0.7730519961521894,0.648133266196808,0.7081860377409555,0.7538509582125901,1.0,0.37831306474997045,-0.07173128984594555,-0.13470155560852276,0.664937448309695,0.6054569192537202,0.6520332333718318,0.633257464724529,0.725364765043,0.7607757042882389,0.09163931023875103
fStat lzjd256,0.29265834640930644,0.312553866589522,0.2435091473562901,0.1736036034896856,0.12222622636757016,0.13652413499562832,0.18134586580917655,0.2616570652496627,0.25236006540693756,0.165824585820598,0.11631618186749887,0.08900654586492897,0.14263570462379388,0.1904393953534935,0.41632583934738404,0.21079497616113568,0.14934482852080116,0.17759139164171486,0.37831306474997045,1.0,0.4142609541278312,0.2985097152057496,0.19148695678484562,0.0892441161634744,0.14458349227971956,0.12689945375875877,0.21062926833687248,0.4027086707983118,0.6026921013252012
fStat lzjd512,0.14046809645940128,-0.025078934653358902,-0.11433921213945812,-0.213323374805672,-0.2929486198476078,-0.29161596279224516,-0.26357984863487194,-0.1922194322255916,-0.09340542022103356,-0.26431431541688516,-0.2995255346598931,-0.30102244852860793,-0.27526045142142175,-0.25198152745721053,-0.06477021815065231,-0.14829279076785717,-0.20700670116698022,-0.19728342780522667,-0.07173128984594555,0.4142609541278312,1.0,0.8710422154379068,-0.16428855556093647,-0.33723451672005184,-0.29640789583298377,-0.3098145884662763,-0.2499551903938467,-0.08487947903598848,0.5050522231583708
fStat lzjd1K,0.11594634364842153,-0.10386172920396726,-0.2012469748816612,-0.2825580872419796,-0.34465299232971963,-0.34888975166126585,-0.33472265114453864,-0.26863376270348477,-0.18016862095221944,-0.32638368213030494,-0.36614825672849405,-0.34788924959193546,-0.3208867115468807,-0.319306316664629,-0.15432390485572514,-0.2281173124354931,-0.2496835003814939,-0.23484777647476196,-0.13470155560852276,0.2985097152057496,0.8710422154379068,1.0,-0.2419511204336588,-0.38813542741990636,-0.35565380776007866,-0.35842047385899767,-0.30550199726771604,-0.16211594953343728,0.3813854552887514
fStat0 ncd,0.3672098042719943,0.7299881324592655,0.6161406107041848,0.6789509383480599,0.6833094973941305,0.6880478076238918,0.7197968465671903,0.7246440110755528,0.8689700251235092,0.6609664956303489,0.7130276081021506,0.7037081224169813,0.7117631555913977,0.7216795036185847,0.6587478044218404,0.8742292145371172,0.7223502297050463,0.7193556525623803,0.664937448309695,0.19148695678484562,-0.16428855556093647,-0.2419511204336588,1.0,0.6519984190484772,0.675194758146959,0.6849079217534534,0.7091486229791819,0.6257728909855917,0.04903582135141407
fStat0 lzjd32,0.3553544306651279,0.5165320520533043,0.5493427734542505,0.6730506858436832,0.7219203371103786,0.7347516097253989,0.7413283845123806,0.704003236732239,0.5964015820118571,0.6499069415708927,0.7158331606791069,0.7538019291004061,0.744847126507385,0.7579003897191471,0.5912114796031985,0.6190107419733304,0.6988189890387987,0.6808691029858024,0.6054569192537202,0.0892441161634744,-0.33723451672005184,-0.38813542741990636,0.6519984190484772,1.0,0.8583038800201238,0.8128535521622167,0.7725599994131306,0.6101343231305472,-0.07760172742970191
fStat0 lzjd64,0.36358580295767867,0.5576184424857263,0.5815097449746066,0.7088202830261082,0.7654177073114372,0.7776377010040277,0.785118896048854,0.7459937970503401,0.6316426781926072,0.6837363939148013,0.7434717947329319,0.7792136267129572,0.7880047504484413,0.8055161075128556,0.6364839657042312,0.6385295035706595,0.7156190303757805,0.7113618216416088,0.6520332333718318,0.14458349227971956,-0.29640789583298377,-0.35565380776007866,0.675194758146959,0.8583038800201238,1.0,0.8884736126776729,0.829650711034205,0.6669690557187814,-0.02775516844857578
fStat0 lzjd128,0.3689249339511823,0.56501742965986,0.5819071757253454,0.7056831438514697,0.7803871020675439,0.7992127517629086,0.79399690685394,0.7258714515794523,0.6388338062903088,0.6980584574895856,0.7550809355204223,0.8026502116592157,0.812214666653894,0.8177232662014704,0.6226837505272468,0.640833301878784,0.7020861740090837,0.6996734803670184,0.633257464724529,0.12689945375875877,-0.3098145884662763,-0.35842047385899767,0.6849079217534534,0.8128535521622167,0.8884736126776729,1.0,0.836120017312023,0.65657184929877,-0.044263389679782876
fStat0 lzjd256,0.36486296512938216,0.5696246408293693,0.5706429156610304,0.6885065028413656,0.7486999243093607,0.771146277538038,0.775275116621093,0.8146583529327994,0.6562374425765996,0.7029422269062955,0.7402745661836173,0.7571282321444522,0.7805056011847709,0.8249980319192818,0.7180959106991658,0.6830262382874961,0.7620277490979699,0.7697205101758902,0.725364765043,0.21062926833687248,-0.2499551903938467,-0.30550199726771604,0.7091486229791819,0.7725599994131306,0.829650711034205,0.836120017312023,1.0,0.7660392285776314,0.02742468871277824
fStat0 lzjd512,0.3627405911119981,0.5900766409698048,0.5670665882234835,0.6255004595075251,0.6235599895943941,0.6402877611183562,0.6640925955862239,0.7536094228711128,0.6189600968099215,0.6121106615333766,0.605611894120133,0.589833734515707,0.6393393868414722,0.6864903553320479,0.8362087290784946,0.6144487988699426,0.6401721335901054,0.6437879196361784,0.7607757042882389,0.4027086707983118,-0.08487947903598848,-0.16211594953343728,0.6257728909855917,0.6101343231305472,0.6669690557187814,0.65657184929877,0.7660392285776314,1.0,0.1946211041791004
fStat0 lzjd1K,0.21031270870397684,0.175085374606807,0.06191217948234369,-0.010868957338427647,-0.056898665121407406,-0.05651474800246283,-0.036158352321716096,0.03865687259258416,0.11754508989093226,-0.00937166580298661,-0.04491073190401878,-0.0747521758856949,-0.06170305778448697,-0.02370542348625126,0.17653018632208328,0.07159482793691899,-0.02562292240528301,-0.054096194344576284,0.09163931023875103,0.6026921013252012,0.5050522231583708,0.3813854552887514,0.04903582135141407,-0.07760172742970191,-0.02775516844857578,-0.044263389679782876,0.02742468871277824,0.1946211041791004,1.0
