,isInner,id1,id2,group1,group2,fourbytes,ppdeep,byteBagJaccard,lzjd1,size
0,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,0.0,13.698630136986296,0.19135720010686616,0.07231638418079096,0.22987364311885766
1,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,0.0,13.698630136986296,0.19135720010686616,0.07231638418079096,0.22987364311885766
2,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,0.0,19.736842105263165,0.22118025319847276,0.10048361096184846,0.24497483135294318
3,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,0.0,13.698630136986296,0.19236162115243374,0.07298050139275766,0.23429099750025684
4,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,0.0,15.06849315068493,0.20846745976207137,0.09901563404748118,0.2578848296262149
5,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,0.0,15.06849315068493,0.20846745976207137,0.09901563404748118,0.2578848296262149
6,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,0.0,19.736842105263165,0.23319137052293515,0.07619548081975827,0.27482616879873994
7,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,0.0,16.438356164383563,0.20985235462878735,0.09931506849315068,0.26284045945219164
8,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,0.0,15.06849315068493,0.20846745976207137,0.10028985507246377,0.2578650174778166
9,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,0.0,15.06849315068493,0.20846745976207137,0.10028985507246377,0.2578650174778166
10,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,0.0,19.736842105263165,0.23319137052293515,0.07619548081975827,0.2748050551223447
11,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,0.0,16.438356164383563,0.20985235462878735,0.09994288977727013,0.2628202665847194
12,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,0.0,16.438356164383563,0.20250353321219464,0.10028985507246377,0.25055986861749774
13,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,0.0,16.438356164383563,0.20250353321219464,0.10028985507246377,0.25055986861749774
14,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,0.0,19.736842105263165,0.22621365742295038,0.08188061278394083,0.26702000597193193
15,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,0.0,15.06849315068493,0.20383580080753702,0.10499139414802065,0.2553747387279785
16,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,37.142857142857146,0.6922555663117135,0.244228432563791,0.7808915153621948
17,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.7.6.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.61971830985915,0.6959653477393294,0.23895946763460374,0.7868883380038801
18,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,34.28571428571429,0.6767241379310345,0.22268656716417912,0.7726274572055983
19,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,35.21126760563381,0.6582022265157789,0.26811145510835915,0.734112619406737
20,False,UniswapV2Router02 - 0.7.6.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.6047216908505576,0.14541387024608501,0.6960718774233228
21,False,UniswapV2Router02 - 0.7.6.hex,NonfungiblePositionManager - 0.7.6.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,37.142857142857146,0.6073052937590847,0.14349525404801786,0.7014173313214055
22,False,UniswapV2Router02 - 0.7.6.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.5931482413209532,0.1352549889135255,0.6887054528137154
23,False,UniswapV2Router02 - 0.7.6.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,37.142857142857146,0.5755395683453237,0.14221974344673732,0.6543740573152338
24,False,UniswapV2Router02 - 0.6.12.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.6048714479025711,0.14221974344673732,0.6961253576490093
25,False,UniswapV2Router02 - 0.6.12.hex,NonfungiblePositionManager - 0.7.6.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,37.142857142857146,0.6074560375146542,0.1403118040089087,0.7014712222461738
26,False,UniswapV2Router02 - 0.6.12.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.5932939938703627,0.13149171270718232,0.6887583670661692
27,False,UniswapV2Router02 - 0.6.12.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,37.142857142857146,0.5756795167880618,0.14094707520891364,0.6544243338360985
28,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,34.78260869565217,0.6275056974094229,0.1551043429216018,0.7164211032970559
29,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.7.6.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,34.28571428571429,0.6298130841121495,0.14927048260381592,0.7219228281957318
30,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.6181776661338205,0.14541387024608501,0.7088393258724237
31,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,35.71428571428571,0.5956919810694856,0.14477361654555618,0.6735042735042736
32,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,51.21951219512195,0.7859761419842887,0.3111395646606914,0.971886450022258
33,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.8.4.hex,UniswapV2Router02,Synthetix,0.0,53.65853658536585,0.791076568796776,0.3438320209973753,0.9820425732252749
34,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.7.6.hex,UniswapV2Router02,Synthetix,0.0,48.78048780487805,0.7869291705498602,0.309462915601023,0.9706879430195527
35,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.5.16.hex,UniswapV2Router02,Synthetix,0.0,51.21951219512195,0.7822387207310109,0.30362826225334183,0.9976087179311994
36,False,UniswapV2Router02 - 0.7.6.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.65398341843738,0.1844997108155003,0.9171658093157635
