,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes,fStatV2 ssdeep,fStatV2 ppdeep,fStatV2 ppdeep_mod,fStatV2 byteBag,fStatV2 lzjd,fStatV2 bz,fStatV2 jump,fStatV2 ncd,fStatV2 fourbytes,fStat0V2 ssdeep,fStat0V2 ppdeep,fStat0V2 ppdeep_mod,fStat0V2 byteBag,fStat0V2 lzjd,fStat0V2 bz,fStat0V2 jump,fStat0V2 ncd,fStat0V2 fourbytes
isInner,1.0,3.44559291050629e-05,-0.00034420649541535214,0.5094031176904285,0.5094101747570233,0.12162793217054484,0.11963201823817786,0.1355411483390819,0.13630028188755766,0.07015737636862453,0.139806200675143,0.1667575225538682,0.16483999281621994,0.16370064238017074,0.11718377234994792,0.13216457629961761,0.13038627704800979,0.13550391289991928,0.13607972805720883,0.13645293160367575,,0.16738680452379687,0.16626127592160697,0.11679624834646246,0.13212809074519288,0.13033638072308282,0.1340145504413353,0.13607285443847986,0.13641946365624422,,0.6647389300740447,0.6646523168809708,0.12240411651604714,0.13456086276378748,0.12738566141151056,0.12962883829334904,0.13772366606566172,0.13953197910206397,,0.40721567628729016,0.40674784884830584,0.12595317663384137,0.13456086276378748,0.12638910579623786,0.1336576564291897,0.13629476251443967,0.1373552413548077,,0.664739733951411,0.6646504846367075,0.12201724529822949,0.13451127510610206,0.1276303756826185,0.12968324413384025,0.137714906299695,0.13954230900035466,,0.4022858786598449,0.4018157727669151,0.125658029570569,0.13451127510610206,0.12654630475633877,0.13365161342373416,0.1362972281935688,0.1373474624312773,
id1,3.44559291050629e-05,1.0,-0.0005085524389835295,-0.0061558216670207335,-0.0061551964886968295,-0.003888377268679602,0.06149928024885344,0.024079892936902256,0.02146191736603409,0.0427079278085987,0.01694617356600867,-0.043450532172246044,0.15609184863121728,0.1540701999831721,0.0017576475884688893,0.04774733732382487,-0.014044577902302062,0.020750787780440108,0.015450981923720384,0.01996628177320216,,0.1562161859794601,0.15423752575251423,0.007277367073862618,0.05525676561066725,-0.010420735661635712,0.031160871616242123,0.014595386895877364,0.020855858338122635,,-0.00565006904649865,-0.005617369414429224,0.0030928385664484273,0.03233239186483795,-0.05396406529557724,0.022361067339803475,0.002653015011777274,0.02078953112422306,,0.020135321247287324,0.01988675575709554,-0.012443673776855409,0.03233239186483795,0.008633942213736635,0.023695592856068075,0.02421142531103551,0.02573453118876676,,-0.005648871527471401,-0.00561772519908891,0.0016742518305341912,0.031451123123207726,-0.055171979106106016,0.02249334135610276,0.0021530682073316386,0.018699403673652536,,0.01662373645441775,0.016368905707433556,-0.015836054714286677,0.031451123123207726,0.007809270757483693,0.02377544745036993,0.02411892621072114,0.025303270606390992,
id2,-0.00034420649541535214,-0.0005085524389835295,1.0,-0.0026468470598965824,-0.002646078466906807,-0.009967621372870258,0.03533620189814554,0.01606802787799401,-0.009749002818180917,0.0460573968563012,0.009830003385278629,0.008701788403478895,0.10784037525786151,0.10733786756821763,-0.0365760874625381,0.0213775193798081,-0.020033735272285844,-0.017839331819259927,-0.012175060706301534,-0.008664909593077537,,0.10765272309954019,0.10725715958453876,-0.03351617813916357,0.025476757854346624,-0.017508477957462285,-0.006352303246257005,-0.012694435207136775,-0.004649416597084688,,-0.011066589521836067,-0.01103803800705172,0.0010292820535099975,0.015605276348769835,-0.04882057674573123,-0.008734762341761855,-0.029990732588462278,-0.000117325100145744,,0.009010307132544691,0.008931129325647885,-0.01722670091167734,0.015605276348769835,0.0023977537614987107,-0.002877230376990397,-0.012635768826235662,0.031053380780239625,,-0.011065862839281527,-0.01103949377860912,-0.0009685352729263021,0.015296215248201175,-0.05004632559466534,-0.00890232273767178,-0.030340563762472007,0.000545158873691809,,0.006707894931486551,0.0066211536528975054,-0.01878046091152858,0.015296215248201175,0.0015804432732438782,-0.002896362782500415,-0.012507524601387831,0.031229031697188374,
raw ssdeep,0.5094031176904285,-0.0061558216670207335,-0.0026468470598965824,1.0,0.9998821292680288,0.0779678775856638,0.07486712924980149,0.07565153671408623,0.07431994147117452,0.07524963194074023,0.07505683989425686,0.08840010666955345,0.13878729289336625,0.1390489610683956,0.07657046347744326,0.07486202116042459,0.07549864012999286,0.0748393032996892,0.07499178183298073,0.07492188001453069,,0.13877212126655142,0.13895909080681532,0.07648239112191078,0.07485547270132159,0.07550467085861078,0.0744665424914919,0.07498891837166433,0.07491891277059853,,0.5262755560492131,0.5260641972657298,0.07804826173722082,0.0748369694854453,0.07475514031992157,0.07387267440976672,0.07494985389305545,0.07492090461293088,,0.34343941489738883,0.3436655553848977,0.07832913445066743,0.0748369694854453,0.07533542840577083,0.07458275209643346,0.07499011924830454,0.0749261190525019,,0.5262769921403366,0.5260636365567878,0.07806949100540732,0.07483596821877589,0.07475325742104962,0.07387715960719221,0.07494981832221974,0.07492053559222062,,0.33942635475036537,0.33964589067006545,0.07845738558913047,0.07483596821877589,0.07533188488847359,0.07458215592898325,0.07498982345780866,0.07492644836474037,
raw ppdeep,0.5094101747570233,-0.0061551964886968295,-0.002646078466906807,0.9998821292680288,1.0,0.07797648871908325,0.07486835977566621,0.07565383921962637,0.07432096422321736,0.07525279109277107,0.075058431749555,0.08840129941667954,0.13878878104839967,0.13905069108740672,0.07657187063559094,0.07486289652554648,0.07550127551661936,0.07484040765769046,0.07499246936123292,0.07492187402549873,,0.1387741392136419,0.13896108113693253,0.07648362631141555,0.07485666943395829,0.07550716726023624,0.0744676506778569,0.07498982152417762,0.0749192630872083,,0.5262893328954832,0.5260847344174975,0.0780514518268409,0.07483771369544771,0.07475775679302603,0.0738735915806898,0.07495080390789877,0.07492147416765975,,0.343450098144136,0.34367380648085444,0.07833168104837619,0.07483771369544771,0.0753372252069693,0.07458418959292258,0.07499100122391053,0.07492668873362321,,0.5262908674045924,0.5260841468448267,0.07807267026358537,0.07483671490745498,0.07475586141510247,0.07387818152499342,0.07495076833659652,0.07492113131414384,,0.33943707195721756,0.33965425547932515,0.07846000879717294,0.07483671490745498,0.07533384044734963,0.07458354855137418,0.07499070542970186,0.07492699188236927,
raw ppdeep_mod,0.12162793217054484,-0.003888377268679602,-0.009967621372870258,0.0779678775856638,0.07797648871908325,1.0,0.4296434280505415,0.46188112959896593,0.4040212494458399,-0.13593272683040472,0.35016243859320545,0.12094964405313308,0.09835877440794363,0.09908709264785338,0.3272483693558712,0.49979187930573166,0.43783827993686064,0.4167785003007673,0.3455393463378275,0.3246456216996357,,0.09882782730004432,0.09950418462632928,0.3256782779717574,0.5004948656586717,0.43755259014338405,0.39515233905377745,0.34617246247734434,0.32223430997752384,,0.12309539570078269,0.12307666986664839,0.3638003096255462,0.45158283352985146,0.0791806182747909,0.41326814541065204,0.3637049830723658,0.41330606379484397,,0.11986569862754003,0.11980801895607653,0.3264318689547421,0.45158283352985146,0.4700698171313517,0.40595376376559134,0.34525466589485493,0.39896086091581595,,0.12309578059159926,0.12307693502425773,0.36591779530156826,0.4520200106656498,0.07933415093571153,0.4136915657441775,0.36422974629893967,0.4146851858032112,,0.12103783504946404,0.12098118164700053,0.33292091070058266,0.4520200106656498,0.4689612471786074,0.4057166495896968,0.3450824098731699,0.39913852746318,
raw byteBag,0.11963201823817786,0.06149928024885344,0.03533620189814554,0.07486712924980149,0.07486835977566621,0.4296434280505415,1.0,0.6606916447854531,0.4053019528298024,-0.08390033701212399,0.4544901512867267,0.09373205961064962,0.14079848043260304,0.14584732768282593,0.4494197093387354,0.7170470947275444,0.6458735475194111,0.41734844880154787,0.3467533675999152,0.45092628833359405,,0.1412757353569343,0.1466715253745776,0.4489340381079119,0.7060576835775753,0.6423606100365867,0.3856975874031077,0.34814448973178214,0.4432389567692957,,0.12153253620283264,0.12154006060344916,0.42215652106656865,0.5774103699129075,0.07452830021445025,0.3972268840315663,0.3504292887473902,0.44951043640107285,,0.1728191716085075,0.17299827054131695,0.29350844706435664,0.5774103699129075,0.627418267568974,0.3956748675978807,0.3505616561027683,0.5047765558178071,,0.12153262908542445,0.1215391048990754,0.4238483069920848,0.5777851963623319,0.07445185037924923,0.3978055487838975,0.3504251295507373,0.4506716437749254,,0.17412139504402382,0.17429276779658043,0.29894347224214407,0.5777851963623319,0.6277050086602584,0.39552048021724007,0.35049035128425876,0.504972032769389,
raw lzjd,0.1355411483390819,0.024079892936902256,0.01606802787799401,0.07565153671408623,0.07565383921962637,0.46188112959896593,0.6606916447854531,1.0,0.4273265678012776,-0.09838528271084578,0.607575898851208,0.17621847298161403,0.1647716014141217,0.16838604995364664,0.4304992579461977,0.6561617979454861,0.7438498097718441,0.45506367276814425,0.45797174214806036,0.5900742496824287,,0.16510291995826204,0.16902648979696222,0.4251225161141293,0.6468002801911586,0.7409551063150516,0.4193206079274987,0.4575017002094482,0.5808100317523005,,0.13000716283722416,0.13000349810800277,0.39774073534287874,0.5436258807452474,0.15903266639082148,0.4226431494429533,0.4526523616829733,0.5455250196571987,,0.2009642317229588,0.20097331027320015,0.360780484076154,0.5436258807452474,0.6166703951457765,0.4238203457954646,0.45391244380974793,0.6083668930511805,,0.1300075297978023,0.13000250651073192,0.3993046770929529,0.5441569399879472,0.15958740726891826,0.42313794666167814,0.4527392246162969,0.5473639166892758,,0.20305653966855705,0.20305894927621052,0.3698093225581373,0.5441569399879472,0.6164230198687097,0.42359294048495877,0.45360370537672856,0.6085404270568956,
raw bz,0.13630028188755766,0.02146191736603409,-0.009749002818180917,0.07431994147117452,0.07432096422321736,0.4040212494458399,0.4053019528298024,0.4273265678012776,1.0,-0.17115264645352646,0.35888766377172693,0.136094171888547,0.04397096704711776,0.04593190524751472,0.26911551822697277,0.501629413819449,0.4293108634194303,0.7224447794262542,0.4618480797543136,0.33195690650611165,,0.04452797996685159,0.04686784816437857,0.26621976940180575,0.4920931082748799,0.42428382104988455,0.6759873831674297,0.4635162205182857,0.32525513561072916,,0.12163657851556053,0.12162081024182582,0.3969349351162888,0.5450071284994622,0.1398775408254609,0.6502838461435766,0.4710326454461072,0.4322681146910441,,0.13670595464849639,0.1365244935413487,0.3756403105018522,0.5450071284994622,0.5137331339252578,0.6823757107501719,0.4556115718191435,0.39069253248632724,,0.12163675423355215,0.12162026283021549,0.3990968474678429,0.545553827024324,0.14174593160979485,0.6498366058467397,0.47148465641941784,0.4329725773640471,,0.13830296544305334,0.13812444551011965,0.37902666766337,0.545553827024324,0.5137020289968046,0.6823524584817989,0.4556557418788697,0.390637869932082,
raw jump,0.07015737636862453,0.0427079278085987,0.0460573968563012,0.07524963194074023,0.07525279109277107,-0.13593272683040472,-0.08390033701212399,-0.09838528271084578,-0.17115264645352646,1.0,-0.09121419569548457,-0.07385979845128166,0.10011156341289607,0.10052301857316352,-0.06824392309335921,-0.13636260698401362,-0.12149373141130668,-0.18113744149450975,-0.13293311344031428,-0.07960360327859135,,0.10051758562966066,0.10077960369467148,-0.06583935230566292,-0.12868104314965575,-0.11755204313203847,-0.16078100398291714,-0.13371635287248337,-0.07574367046610275,,0.07042681223502725,0.07042179756116271,-0.148563237499375,-0.14703493365011347,-0.02993071718154455,-0.20558156731464888,-0.13188690959215155,-0.11984555747870032,,0.04260505108410627,0.04273700571547767,-0.17505863395033966,-0.14703493365011347,-0.15327802652979866,-0.17559013427600936,-0.14041712497155373,-0.10071462860253083,,0.07042747006053564,0.07042179457982496,-0.1509858606517215,-0.14723002614950062,-0.029973174722458848,-0.20576565797883972,-0.13199837582361668,-0.11968181179526677,,0.041010401241645844,0.04113950994666885,-0.17896719656484267,-0.14723002614950062,-0.15329571606804737,-0.1754976582651524,-0.14051866999056425,-0.10032601696484499,
