,isInner,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
isInner,1.0,,0.30974812098838833,0.27499853352498943,0.2959566488585562,0.29288255554117193,0.28356677887466114,0.29590994724273767,0.24137837549449048,0.23130135456613707,0.26339521987414605,0.2596291231473872,0.24466611448483286,0.2920997933367014,0.29534243374080155,0.2418436613958382,0.23393529553448397,0.26339521987414605,0.2552311545002224,0.24496689172433397,0.292150142349113,0.29649016282556656,0.5247302353555351,0.2387536538063952,0.29182333831871243,0.18979169533744392,0.2260523081015237,0.27662742857357464,0.29659222484677394,-0.017760320476203344,0.3782340433116718,0.29182333831871243,0.2863231760941215,0.2478906862558581,0.28807202011326233,0.2965411806634776
raw ppdeep,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep_mod,0.30974812098838833,,1.0,0.6615685823134918,0.6698407104047055,0.6528565075241062,0.06556017893729521,0.5006868721938956,0.3504431373039482,0.6776492704324767,0.668716382122401,0.636046472834582,0.6307217669837624,0.45322221066299084,0.5408206803535061,0.3498903451625611,0.6753601907246974,0.668716382122401,0.6340944688875597,0.6265770349687507,0.4576733238048511,0.5436766432944224,0.1765033603752368,0.6979617837506038,0.671297532053396,0.09061503123276046,0.596351537646813,0.4896423806430796,0.5851799638561611,0.052966397650495815,0.5844546085134871,0.671297532053396,0.6785567351200142,0.6224587456095632,0.45934309330365136,0.6021589597205822
raw byteBag,0.27499853352498943,,0.6615685823134918,1.0,0.8182208574775933,0.6991955330887087,0.2259638530866567,0.575900922401795,0.2699302093689734,0.5931734861013706,0.9435844513243895,0.7437633730671922,0.6833592375131498,0.4779205034824462,0.6138562817182973,0.26916171878170236,0.5921802297130814,0.9435844513243895,0.7442175547338452,0.6870886932802699,0.4807579421051521,0.614775954798093,0.1518346994788473,0.7065075689686492,0.8636050911592709,0.08383971639406103,0.674638718539871,0.5105633351157304,0.5938226480795732,0.04964432727809467,0.5012592433001389,0.8636050911592709,0.6835588560224473,0.6771654953692369,0.4882272208498459,0.6558279788274323
raw lzjd,0.2959566488585562,,0.6698407104047055,0.8182208574775933,1.0,0.6790872803995944,0.20243225291783565,0.6639097228717767,0.29924089774598783,0.5874567005858976,0.817701681806605,0.8050819057610082,0.6544991514814545,0.4955029662667218,0.6993333186386285,0.29846420136959684,0.5864589280852777,0.817701681806605,0.8021405820890275,0.6555662578754,0.49792728258435,0.7011205128658935,0.16134695563920318,0.649599500816566,0.7957232450680994,0.16879944617050316,0.6273800647026173,0.5385595925137674,0.6901082161724149,0.06811398815640589,0.528162707745329,0.7957232450680994,0.7280906727269909,0.6548434402221258,0.503969396577505,0.7534317782510599
raw bz,0.29288255554117193,,0.6528565075241062,0.6991955330887087,0.6790872803995944,1.0,0.22300051492518336,0.4723956158910235,0.24569656436079687,0.5221630919314925,0.7172670484054631,0.6416937216913045,0.8541908892107595,0.5745295062761749,0.5215595841288589,0.24522467543887672,0.5201900141796685,0.7172670484054631,0.6380035580264711,0.8534527326280704,0.5777299808575046,0.5235165843441604,0.16046228352699154,0.5939020512309652,0.7559917240842222,0.1619246051613166,0.7846597868312672,0.6001894428657538,0.5541733157499171,0.05118172343263502,0.44213861335180005,0.7559917240842222,0.6899502521411183,0.8463790579522948,0.5728808250261073,0.5773187435464286
raw jump,0.28356677887466114,,0.06556017893729521,0.2259638530866567,0.20243225291783565,0.22300051492518336,1.0,0.1807521030414205,0.11355530103068809,0.16101495659128953,0.2257912298222666,0.17238121322324737,0.23575243457651898,0.1878192480988243,0.20035514559898587,0.11398341644026085,0.1630755488393248,0.2257912298222666,0.17280017613061174,0.2377488611493526,0.19329534462236347,0.19887910477909876,0.15452486379673297,0.08806413506032175,0.24771438439981083,0.012020599095488577,0.21930699976004622,0.1957947975737377,0.17805116344164285,0.09285497094191877,0.07632040445769235,0.24771438439981083,0.14063327888537172,0.23146451587896646,0.2011498304380725,0.19183394588567387
raw ncd,0.29590994724273767,,0.5006868721938956,0.575900922401795,0.6639097228717767,0.4723956158910235,0.1807521030414205,1.0,0.29993192314955786,0.42782328582108275,0.5738367613896023,0.6649470493247192,0.4608898111824323,0.4624657361089403,0.8024601099847948,0.2991596038664089,0.4276509454794047,0.5738367613896023,0.6652351614493718,0.46151203482590725,0.46306206911610737,0.804059865817994,0.15930694699691125,0.4661311188865316,0.5612797818987626,0.2984192290554454,0.41194185317807824,0.49287842816685945,0.712269875261638,0.08876567379417218,0.4827876835121399,0.5612797818987626,0.5326219203283604,0.4613796496250277,0.48534183677337306,0.7575705549162021
skeletons ppdeep,0.24137837549449048,,0.3504431373039482,0.2699302093689734,0.29924089774598783,0.24569656436079687,0.11355530103068809,0.29993192314955786,1.0,0.5656774311236467,0.27992218227974647,0.27721487399473294,0.22434741960427973,0.30107272012746294,0.26129441234498135,0.999121383545091,0.5630412990686308,0.27992218227974647,0.27763403612300597,0.21965234149466673,0.30097751046364957,0.26201794168332276,0.26307003059233014,0.15285724406476545,0.23672159351846275,0.2943046423795884,0.15639879791089503,0.30848078517591376,0.26313716521125585,0.13880234657536888,0.4026067416429469,0.23672159351846275,0.2648937615460973,0.21717164904901076,0.30287682728329196,0.269118005549306
skeletons ppdeep_mod,0.23130135456613707,,0.6776492704324767,0.5931734861013706,0.5874567005858976,0.5221630919314925,0.16101495659128953,0.42782328582108275,0.5656774311236467,1.0,0.5977317855268071,0.576287991142755,0.5282426269985062,0.3844501324271529,0.4490504241835475,0.5650985553435901,0.9888692421944683,0.5977317855268071,0.5765368072137134,0.5228121764045385,0.3874925329204729,0.4510131512095778,0.17863609000376404,0.5778952783422678,0.5614635770548556,0.052025742655757656,0.5108043746470081,0.43073992999437966,0.4459141918454802,0.06413682475205154,0.4690309150698794,0.5614635770548556,0.5481284290164119,0.518295951676018,0.3903526393264468,0.4816194230284004
