,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
isInner,1.0,0.11399593164425821,0.11399435543637741,0.34451225299727833,0.3317803485673251,0.39428046304255715,0.3901040689069828,-0.00993216757687731,0.4173506280993446,0.28132083847248807,0.2815476647716575,0.3310240659813849,0.35741394886253647,0.363125977768856,0.3743219775178434,0.3883329971779631,0.40366871832277806,0.28227715421815003,0.2828919614650267,0.3328472570099479,0.35741394886253647,0.36351021363005404,0.3700455683755646,0.3886564705209406,0.4037460272265496,0.5036651937091605,0.5037302583653692,0.3807373048322734,0.4060885744100079,0.3125842120322756,0.362241670557573,0.3963675443801547,0.41546893794425627,0.2928076603342766,0.2928448597031308,0.4801980294174307,0.4060885744100079,0.38111461895473625,0.37202685013132913,0.3930926692233848,0.40708400109666876
raw ssdeep,0.11399593164425821,1.0,0.9999579307918532,0.059310086723573616,0.05298697783622445,0.053399198464088096,0.053030049068241984,0.05292210957876183,0.053052629655121426,0.13533427513023072,0.1352026267389629,0.057699497825036056,0.05293416410438084,0.0533362113673075,0.05297362350024691,0.052981074254231396,0.05291170885225217,0.13565291790193326,0.1355888263434663,0.05780380659009285,0.05293416410438084,0.053338142950411824,0.0529528450057944,0.05299603332696569,0.052914228738578255,0.22809270967132184,0.22774807214290477,0.05968747486976261,0.052782295782778314,0.05295032283612282,0.052870478599368706,0.05286737117460428,0.0527739317920816,0.28186096274949024,0.2818305057140388,0.06922531824847805,0.052782295782778314,0.053161641386164936,0.052902323227205394,0.05298287777745476,0.052892412446766825
raw ppdeep,0.11399435543637741,0.9999579307918532,1.0,0.059312023900981475,0.0529877763305156,0.05339956051552798,0.05303047218662515,0.0529231292885181,0.053052114838649474,0.13533232411401538,0.1352010764211203,0.05769835963165288,0.05293286972505513,0.053334939687673874,0.052972609755466374,0.052979997859238855,0.05290878987086878,0.13565016268850788,0.1355860718868112,0.05780263251192749,0.05293286972505513,0.05333674554556081,0.052951769044574715,0.05299480043645926,0.052911184727106556,0.2280875317833087,0.22774289875867765,0.05968611113084854,0.052781097238067724,0.052949121476315496,0.0528694037864472,0.05286617134285817,0.05277035804783842,0.28185373816688625,0.28182527781975314,0.06922395224481237,0.052781097238067724,0.05316046784688834,0.0529012479666753,0.05298164507943188,0.05289008738260504
raw ppdeep_mod,0.34451225299727833,0.059310086723573616,0.059312023900981475,1.0,0.6273456718502093,0.6389989204017753,0.6140410476107276,0.013736658888896544,0.4567807510070656,0.2130279297553028,0.21318412609527457,0.560320255900812,0.6536272570186751,0.6335728343688085,0.6072167891574853,0.4271735518878895,0.5246536040184805,0.212860661095823,0.21318228565702207,0.562126820101295,0.6536272570186751,0.6334435631469428,0.6014616772367374,0.42724645233634306,0.5253358125838548,0.20840026898833275,0.20825314325492103,0.6406603402698913,0.6432076107344576,0.13159751016707766,0.585071126573372,0.4701319275816934,0.5643319098932471,0.15268804868977506,0.15270690065946682,0.5626527231305991,0.6432076107344576,0.6417613383768156,0.5945906021538416,0.4378063788618979,0.575595902101163
raw byteBag,0.3317803485673251,0.05298697783622445,0.0529877763305156,0.6273456718502093,1.0,0.7856214053023913,0.6898211164729868,0.10744610839224326,0.4928315239729655,0.18635821981872858,0.1872809630579928,0.5753212473093774,0.8796384433910603,0.7528390766104878,0.6672547477125053,0.45277318399312505,0.5467160614009066,0.1865768332485153,0.18748276767274843,0.576785558585911,0.8796384433910603,0.7537997498461164,0.6637093491435628,0.45294158915882093,0.5472031471144617,0.20045042258686752,0.2005086203902118,0.6754273854990251,0.7948161887452292,0.11703365498381278,0.6454919681416468,0.4955281092029107,0.549884425599422,0.1460784968049324,0.14608145839997563,0.4946512528935449,0.7948161887452292,0.7370310981228197,0.6490320974034702,0.4688846427321684,0.5856967119489275
raw lzjd,0.39428046304255715,0.053399198464088096,0.05339956051552798,0.6389989204017753,0.7856214053023913,1.0,0.6758979627483086,0.09053037957458879,0.605305067898871,0.22391143829441493,0.2245520177341239,0.5897560486717575,0.7865585906805903,0.8126357938968028,0.6509530396216985,0.4908810061617849,0.656210245487314,0.22370657395817353,0.2244483692388338,0.5900697857541471,0.7865585906805903,0.8129998995773575,0.6458984887757577,0.49105752707140343,0.6569809135008753,0.22848000022423015,0.22839922465292445,0.6524656775172148,0.7641929871484833,0.21780846101135082,0.6151598932016791,0.5442026581705772,0.6479355621116893,0.16177333407995526,0.16177569230562963,0.5555676980578399,0.7641929871484833,0.7660439102956942,0.6362895948473849,0.5071518683836002,0.6884734253198846
raw bz,0.3901040689069828,0.053030049068241984,0.05303047218662515,0.6140410476107276,0.6898211164729868,0.6758979627483086,1.0,0.10200784887731981,0.4645121485598455,0.19112735416607968,0.19115769358704743,0.5220470953948247,0.7257037935506219,0.6588137350145022,0.8119502689446426,0.5042834741575307,0.5252920723589851,0.19148304716135497,0.19170690880455513,0.5234279408204019,0.7257037935506219,0.6585082084531245,0.8102173161490336,0.5042843002873437,0.5259806187470272,0.22137396988786867,0.22131168499809625,0.6219555640508528,0.7539321250026904,0.1933750644822405,0.7456733092558453,0.5574629248267757,0.5817377467744065,0.15310824145542182,0.15312436521296627,0.4987472989804585,0.7539321250026904,0.707301072847585,0.8024263673419013,0.5178572865037505,0.5934782697873625
raw jump,-0.00993216757687731,0.05292210957876183,0.0529231292885181,0.013736658888896544,0.10744610839224326,0.09053037957458879,0.10200784887731981,1.0,0.06342672252512002,0.010998741372846187,0.01089162409274992,0.062354479900800924,0.0974073673595052,0.0702189119140248,0.1180788673270952,0.09128900732777226,0.0495648443640051,0.0096940224584927,0.009616775128014454,0.0625838417102043,0.0974073673595052,0.0708425553703143,0.12032332975199954,0.0913936451700996,0.049579944854804416,-0.013921798960349757,-0.013980356653522668,-0.0035682473737647957,0.10595188609450432,-0.06363500542828988,0.10003535415944072,0.09250154317986249,0.0516034466878851,0.020821184831153944,0.020827945861165004,-0.03884127985999781,0.10595188609450432,0.06260814573953075,0.1166935968395125,0.09559805808254676,0.05190997885913103
raw ncd,0.4173506280993446,0.053052629655121426,0.053052114838649474,0.4567807510070656,0.4928315239729655,0.605305067898871,0.4645121485598455,0.06342672252512002,1.0,0.232814491779437,0.23301997386915926,0.41316684304882173,0.5058389582814303,0.5925377793346324,0.4365289673713229,0.45188346215495623,0.7673305664063781,0.23165411398626204,0.23195105035084554,0.4097407946847735,0.5058389582814303,0.5925225040299673,0.42992960899986515,0.4517982922281534,0.7682260000339411,0.22732545821134725,0.22710364373274164,0.4398633784364967,0.5089519682069324,0.39996625485587567,0.38133030455198813,0.4773355948266022,0.6708299641679704,0.17019351113070103,0.17019467448447964,0.49842996205490925,0.5089519682069324,0.54837474678816,0.4282043912168413,0.4597370589743774,0.7055216992635921
skeletons ssdeep,0.28132083847248807,0.13533427513023072,0.13533232411401538,0.2130279297553028,0.18635821981872858,0.22391143829441493,0.19112735416607968,0.010998741372846187,0.232814491779437,1.0,0.9900131898784917,0.3483131058631853,0.19857441797051126,0.22128039353009385,0.17816864741447758,0.27052988708530434,0.22108946837793939,0.9951318376878985,0.9867696833193981,0.3455863889978218,0.19857441797051126,0.22110780014560846,0.17198377887770147,0.2703896320068526,0.22111488010741123,0.32437073407200734,0.3239599223246128,0.18837225762594653,0.18019994382891663,0.2359601926166841,0.1412831349230193,0.25365052895937623,0.20565068173318093,0.2706115820359424,0.27060961950437656,0.29072299945017044,0.18019994382891663,0.20727199926726694,0.17375041189289794,0.25950517871235484,0.21916897046590317
