,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
isInner,1.0,,,0.24574015195136142,0.1329213334178348,0.19640385214167863,0.274766507201687,0.13722860029474798,0.321497979842907,-0.06840880682693676,-0.06840880682693676,0.12752460784032055,0.1653788683221898,0.15730514664564263,0.31897674723529384,0.3069925332658347,0.23494083142366282,-0.06842998274659792,-0.06840880682693676,0.1272411392948929,0.1653788683221898,0.15704642107550176,0.332947407068916,0.306966058121698,0.23546617859843263,,,0.25462242194741713,0.3101497779749478,0.22979774722894108,0.33289011100807725,0.33102829516540266,0.30584950548058665,0.16705457270575627,0.1672392654904173,0.36597208180819435,0.3101497779749478,0.24551256173259997,0.3329330802801631,0.30885661807488507,0.2596714452577326
raw ssdeep,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep_mod,0.24574015195136142,,,1.0,0.6724643716482946,0.6181916461913599,0.5906855742543667,0.09907022393514517,0.3515885173617151,0.09851169007001427,0.10053763742363923,0.5968338923377167,0.7030523902379405,0.5888332158421777,0.5666610404105278,0.33138299679875605,0.3476232333313198,0.09930214975734204,0.1010441242620455,0.5938934953198292,0.7030523902379405,0.5891176763329228,0.5485308763014347,0.32974727838090007,0.34829909235437645,,,0.6689653388918492,0.7051293544631634,0.11544548124057254,0.6059429922203561,0.37661597320733115,0.474897678823317,0.1229257506840804,0.12354049449574524,0.4996118706472029,0.7051293544631634,0.6704762095954997,0.5386855173403375,0.32927914365969624,0.4722464457151716
raw byteBag,0.1329213334178348,,,0.6724643716482946,1.0,0.8225562990564057,0.6223217719655303,0.11173001837686433,0.41599656026421156,0.1393361315482337,0.14118164322436927,0.5747483780939185,0.9045407636738908,0.8040672475871162,0.5841469319187987,0.3470850331158887,0.4617501616825619,0.14007154410138,0.14164302114340316,0.5727009155047883,0.9045407636738908,0.8068312557429641,0.5558567113344312,0.3473995719441046,0.46288810698423855,,,0.6457464000847366,0.756105951152391,0.10654282799317125,0.57554515115133,0.3891209288035411,0.5058064684555748,0.06753518371623418,0.06717365692579466,0.4065522106906835,0.756105951152391,0.7814199045863014,0.5431865428284551,0.34006122311497256,0.5506772742137165
raw lzjd,0.19640385214167863,,,0.6181916461913599,0.8225562990564057,1.0,0.6084819653671182,0.14275844615633207,0.5086590625026475,0.1498977577273206,0.1498977577273206,0.5187082076139634,0.8092348488455859,0.8357958725315686,0.5760603296062379,0.40932518000079254,0.5622931813379606,0.15017627022067107,0.15036183747260642,0.5177476779445557,0.8092348488455859,0.8377072560238445,0.5498524079517454,0.4092898796531782,0.5636150188446903,,,0.6312410723707844,0.7263650481834725,0.17358237682810734,0.562736014382543,0.4298383335941223,0.5851702634718117,0.09291162515644946,0.09257559980074041,0.43114721096246783,0.7263650481834725,0.7982323329762566,0.5449829167481767,0.3895815712333435,0.6484537980475926
raw bz,0.274766507201687,,,0.5906855742543667,0.6223217719655303,0.6084819653671182,1.0,0.13968192763945292,0.33742098992301256,0.05124380682860968,0.053090430498109124,0.42599606414446967,0.6557096103950969,0.6086210420805309,0.7315058430498304,0.3357464190524175,0.35979524582201367,0.05195236756334667,0.053552086415483986,0.42432410670902837,0.6557096103950969,0.6088803239786057,0.7482460466826145,0.33537278504173135,0.3619621825041972,,,0.6222409627269329,0.7009725047609527,0.10470948820697129,0.6900202781186598,0.40752703007170876,0.4835600217742295,0.13820356641011056,0.13879281739792904,0.4367366860525104,0.7009725047609527,0.6615467314592879,0.7452010233850019,0.32717565241809415,0.47958356971205024
raw jump,0.13722860029474798,,,0.09907022393514517,0.11173001837686433,0.14275844615633207,0.13968192763945292,1.0,0.09025067559762139,-0.0037029847011182575,-0.007405969402236515,0.11568569406040553,0.10862401014399398,0.11715778664396999,0.20107098963699807,0.11500428461441983,0.055565425511346245,-0.0039356391435108684,-0.007868842489876295,0.12058151700063269,0.10862401014399398,0.11603126946470103,0.21284394984587926,0.11577193933128267,0.05737980913794729,,,0.07059089264668963,0.1488295611583714,-0.016863413360187356,0.17708054537987986,0.15516840102169802,0.1273792053602201,0.02273038836164435,0.02231791257577419,-0.08088304078171768,0.1488295611583714,0.12749935081796934,0.20748371365749743,0.12071531698849963,0.11009547042310219
raw ncd,0.321497979842907,,,0.3515885173617151,0.41599656026421156,0.5086590625026475,0.33742098992301256,0.09025067559762139,1.0,0.21408856036410331,0.21408856036410331,0.3494837817779739,0.4120404217957076,0.4692105607816774,0.3506236611029979,0.4076486610738669,0.7033628623032596,0.21438560168750734,0.21454995812350874,0.348544660699205,0.4120404217957076,0.46851952902794886,0.32969114918035614,0.4084747212517531,0.7019309342920629,,,0.36047780413497205,0.4089443134290523,0.47265327411158126,0.28800000426222694,0.381821426322797,0.6118973000555378,0.1625271405430423,0.1622706165384775,0.34803030707486965,0.4089443134290523,0.47178842654664793,0.3307953864423399,0.36391816737889665,0.6565752128666037
skeletons ssdeep,-0.06840880682693676,,,0.09851169007001427,0.1393361315482337,0.1498977577273206,0.05124380682860968,-0.0037029847011182575,0.21408856036410331,1.0,0.9857673267326734,0.30616004031656124,0.1393361315482337,0.13368940436614404,0.02353533447122777,0.1480882848853139,0.20163082086015766,0.9990715427444059,0.9857673267326734,0.3061308335394553,0.1393361315482337,0.13554298362945283,-0.000692334861863313,0.14668947144957795,0.20163949222112756,,,0.09542692519724945,0.04567641398435476,0.23099526143044544,-0.06253015335002672,0.13275465574997417,0.10845179492257705,0.12856504493007612,0.127537119014583,0.21530846275534354,0.04567641398435476,0.11918982006724389,0.0073845874193668665,0.1290606131551923,0.14903147628794264
