,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
isInner,1.0,,,0.3110805863302238,0.31465800819134454,0.37607106803568274,0.3708961162964985,-0.2646384174537707,0.37739790164243886,0.6657758802048932,0.6688657120866535,0.354051216216578,0.3750530193605085,0.3758851232703484,0.377610067194416,0.3777178242796127,0.3773917572483477,0.6664875498618184,0.6685610485737585,0.35449847601136547,0.3750530193605085,0.3755225965831673,0.37759160380967854,0.37772706489426283,0.37740097395202943,0.724699697680848,0.7248407035577891,0.40601008711702163,0.3774439941662709,0.3505671339657289,0.3775393055903152,0.3776531589605243,0.37757314313299845,0.3020372496221632,0.3020372496221632,0.4861388153387843,0.3774439941662709,0.3732763118568533,0.37760083516349874,0.37771474422543266,0.37749317814434896
raw ssdeep,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw ppdeep_mod,0.3110805863302238,,,1.0,0.6960789718819063,0.6722579461657991,0.5997557458724198,-0.04368915904494896,0.41691599436990423,0.25404902181923195,0.2540583958433809,0.6227962963466033,0.7194873139506954,0.7005394746012544,0.6157621487517068,0.4122995993734656,0.4919064006221392,0.2541156730778594,0.25378086029481634,0.6220528627800633,0.7194873139506954,0.7001980024785855,0.6073394048080747,0.41067670606445544,0.4936741254215264,0.24905331514012943,0.24910177380682796,0.6526603191609874,0.7106298162261936,-0.012035855392240433,0.6604959033773308,0.44564531365224247,0.5319216206881862,0.12154430028671685,0.12023609353216316,0.506606238958773,0.7106298162261936,0.6814131465147794,0.5895571711491174,0.41440839248769556,0.5567674462635243
raw byteBag,0.31465800819134454,,,0.6960789718819063,1.0,0.7966995730853839,0.6731543462547998,-0.009034527224139076,0.5010867357319199,0.264956858657612,0.2676322035841891,0.5815044547906327,0.873015873015873,0.7987758845649203,0.6433017393149223,0.4249274534664346,0.565972307184808,0.2655039004130127,0.26786800044589215,0.5805966847104113,0.873015873015873,0.8000754327422197,0.6369501392211362,0.4238135023968049,0.5678258611181823,0.22897670700865294,0.22992180988096889,0.6327808826108727,0.8204673234221252,0.09164233872311398,0.6414710770729816,0.464101388361926,0.5723524200983026,0.14460848474603077,0.14340750827777382,0.48437194056051025,0.8204673234221252,0.7830385515391148,0.6097786471464782,0.4331526338249942,0.6225837712713619
raw lzjd,0.37607106803568274,,,0.6722579461657991,0.7966995730853839,1.0,0.662345919317916,-0.026709268325950337,0.5968856305264049,0.32044392550945133,0.3218214517148529,0.6295459090368182,0.8040372937535769,0.8345333315241734,0.6264258790115329,0.45562155640678725,0.6524998142979482,0.32080734031065916,0.3219859907661195,0.6284646971649505,0.8040372937535769,0.8336285176549566,0.6202989455519086,0.45453431871945105,0.6543011305662855,0.2848303470388187,0.28352674117316323,0.656129363285882,0.787901385778603,0.17534981661270696,0.6279962123733275,0.49533989653214844,0.6534197486150612,0.19908940757088858,0.19952877729794155,0.5363162992199371,0.787901385778603,0.8145506134730867,0.5938797585354901,0.462306290675723,0.6994668513141289
raw bz,0.3708961162964985,,,0.5997557458724198,0.6731543462547998,0.662345919317916,1.0,0.010901594899676252,0.47833349052894036,0.2760023016797757,0.2784666297312048,0.5209196185819784,0.7190508633423617,0.6837098988709885,0.7818356763282263,0.42999784571977917,0.5620098985664371,0.2762663154356573,0.2785615211111223,0.5205191645884683,0.7190508633423617,0.6834063559433639,0.7740568793880447,0.42795434099062296,0.5633429283167757,0.2665676878591105,0.26639432133081237,0.5629876295525182,0.7142647948213509,0.11269515999476927,0.6611159539760075,0.4654225609793585,0.5955709835958706,0.17514376579208035,0.17459763618250104,0.4379924018050499,0.7142647948213509,0.6963127486115465,0.7709469076394401,0.4300269418519929,0.6099118671570644
raw jump,-0.2646384174537707,,,-0.04368915904494896,-0.009034527224139076,-0.026709268325950337,0.010901594899676252,1.0,-0.03943984885107862,-0.15865190023034154,-0.1603615831431508,-0.06862901162129056,-0.03193942264591663,-0.018307515833385333,0.04923761710420254,-0.05329056623998477,-0.0355181588391796,-0.15908016729118998,-0.1606023124601228,-0.06686928672788946,-0.03193942264591663,-0.01682581962927086,0.052586211594858635,-0.0535535054043959,-0.035404659577710974,-0.1751180233527028,-0.17690305246052293,-0.15897789527922337,-0.011699412040931133,-0.1735293056831561,-0.00019612904503454908,-0.02807126033878868,-0.040226403349518755,-0.051988045977346874,-0.05193326405324008,-0.14242522691531093,-0.011699412040931133,-0.023383211956576423,0.051753812932578955,-0.05829374638527078,-0.028337184370240725
raw ncd,0.37739790164243886,,,0.41691599436990423,0.5010867357319199,0.5968856305264049,0.47833349052894036,-0.03943984885107862,1.0,0.3423845817559862,0.3435051746362807,0.41833681593192384,0.5163580125568125,0.5946844862879039,0.4105367550985903,0.37724886441111016,0.8265088488746231,0.3428466999876728,0.3436678323277468,0.41712447032692623,0.5163580125568125,0.5957540323999425,0.40522252986955914,0.3794579917271158,0.8277175815772606,0.2816601289823945,0.2803640512115815,0.44808161085163767,0.5163769629388881,0.3728517890678294,0.3603596519771252,0.381941646644124,0.7093165127478998,0.24440865893509559,0.24298926533842094,0.4342376745708206,0.5163769629388881,0.60590539058332,0.38918669184141846,0.36618147604870543,0.7386755277717995
skeletons ssdeep,0.6657758802048932,,,0.25404902181923195,0.264956858657612,0.32044392550945133,0.2760023016797757,-0.15865190023034154,0.3423845817559862,1.0,0.9864624082640746,0.434642821773212,0.3043841259538773,0.319053179863638,0.25017302750113374,0.358677804453185,0.3306067640080223,0.9977628814662447,0.9861974935221077,0.43358626617549567,0.3043841259538773,0.321441907369959,0.2518484576250649,0.35749072285391126,0.33054455435676144,0.42063469588948993,0.4201090942044849,0.3351821183492269,0.2799721529929647,0.33678541928432376,0.1909606787251662,0.3422293383990903,0.30664733397261756,0.22647182816839206,0.22600050282360873,0.4572274456746988,0.2799721529929647,0.32875114650576853,0.25860542956091354,0.3464353367951157,0.3062308854410985
skeletons ppdeep,0.6688657120866535,,,0.2540583958433809,0.2676322035841891,0.3218214517148529,0.2784666297312048,-0.1603615831431508,0.3435051746362807,0.9864624082640746,1.0,0.4360048919464012,0.30628199010678436,0.3202892777599419,0.2531329441387237,0.3605712093439185,0.33151785562815006,0.9853654866058851,0.9989763040355618,0.4349465101437595,0.30628199010678436,0.32278355051358165,0.25431585867613854,0.35938431010000976,0.3315962277657664,0.41864362125310545,0.4195754038808042,0.3376556454255646,0.281802825030556,0.3367823328994773,0.19350496187240943,0.3432100877459027,0.30777253056133913,0.22420752518372294,0.22373625345448758,0.4554760723838608,0.281802825030556,0.32973503709514745,0.25956039376337214,0.34780261206429636,0.30763705547671827
skeletons ppdeep_mod,0.354051216216578,,,0.6227962963466033,0.5815044547906327,0.6295459090368182,0.5209196185819784,-0.06862901162129056,0.41833681593192384,0.434642821773212,0.4360048919464012,1.0,0.6116596800284229,0.6319418554905254,0.5344371680438738,0.49278422405078753,0.46648055574708713,0.43391194280834294,0.4359883612686092,0.9909549853733568,0.6116596800284229,0.6294607481680929,0.5321472574525155,0.49056707270745353,0.46776468105092983,0.24696115048925282,0.24554254674892265,0.6144068560397131,0.5944339995301511,0.13386039395320212,0.5231257903206166,0.5328354226815006,0.4717626445037424,0.2030616406636109,0.20472122208176066,0.5565393615695814,0.5944339995301511,0.6325872142665547,0.5098756471905301,0.5056950312262072,0.49867955005100434
skeletons byteBag,0.3750530193605085,,,0.7194873139506954,0.873015873015873,0.8040372937535769,0.7190508633423617,-0.03193942264591663,0.5163580125568125,0.3043841259538773,0.30628199010678436,0.6116596800284229,1.0,0.8195739281395769,0.6828860300782674,0.45376868333972203,0.5912395094846243,0.3049236934874338,0.3064460519266883,0.6100748697847878,1.0,0.8211649515472865,0.6762067137940062,0.4529161559121532,0.5930285572506176,0.27512094385974545,0.2753996121781103,0.6724986195474117,0.8751770856062991,0.1281034223753734,0.683816702431986,0.49609826857896616,0.6145063818847623,0.1655709831010613,0.16415164727493942,0.5333209337409682,0.8751770856062991,0.8201116445852278,0.6446706133319716,0.46482884494321963,0.6547625144910582
skeletons lzjd,0.3758851232703484,,,0.7005394746012544,0.7987758845649203,0.8345333315241734,0.6837098988709885,-0.018307515833385333,0.5946844862879039,0.319053179863638,0.3202892777599419,0.6319418554905254,0.8195739281395769,1.0,0.6695927921915953,0.4720596992719465,0.6733653868386758,0.3192400877411658,0.3204538486964368,0.6312302499755212,0.8195739281395769,0.9913116644039193,0.6638251326357628,0.4720220738093238,0.675396228937491,0.279070842015234,0.27855896447883766,0.6658503736635679,0.8079308297011201,0.1590211156360023,0.6797723572169418,0.5131950940677259,0.6828316799219293,0.1887362306494863,0.18774779534204064,0.533970648778554,0.8079308297011201,0.8428096444543832,0.6385743270453257,0.47728452408936184,0.7270637721110111
skeletons bz,0.377610067194416,,,0.6157621487517068,0.6433017393149223,0.6264258790115329,0.7818356763282263,0.04923761710420254,0.4105367550985903,0.25017302750113374,0.2531329441387237,0.5344371680438738,0.6828860300782674,0.6695927921915953,1.0,0.454531392057872,0.49141106015615055,0.25054745848454546,0.2533342829854474,0.5357666938892969,0.6828860300782674,0.6671615389455012,0.9681846345961365,0.4532218309174871,0.4931172866854021,0.27483635666713624,0.2766920189524765,0.6002383961220659,0.7052690571266256,0.02875858533701083,0.7764677260009186,0.5103025593995866,0.5517707867377849,0.19008717687506943,0.18975944036321588,0.4322057601246595,0.7052690571266256,0.6775959713646164,0.918479279847469,0.4595819787190368,0.5712889307521851
skeletons jump,0.3777178242796127,,,0.4122995993734656,0.4249274534664346,0.45562155640678725,0.42999784571977917,-0.05329056623998477,0.37724886441111016,0.358677804453185,0.3605712093439185,0.49278422405078753,0.45376868333972203,0.4720596992719465,0.454531392057872,1.0,0.38349995562642825,0.3588559629860911,0.3605223726040162,0.49309407185227466,0.45376868333972203,0.47218250140213297,0.4457541843283075,0.9884448216675665,0.3840144750623269,0.27975860278794223,0.2795876981700338,0.46270190248614107,0.4091721319494174,0.21742532783788152,0.36337113849198754,0.800746834072924,0.32426089974140965,0.16702940370901828,0.1681221704980861,0.41912870983389133,0.4091721319494174,0.45351996391403776,0.4522866443468486,0.8961698727394247,0.3608818535221484
skeletons ncd,0.3773917572483477,,,0.4919064006221392,0.565972307184808,0.6524998142979482,0.5620098985664371,-0.0355181588391796,0.8265088488746231,0.3306067640080223,0.33151785562815006,0.46648055574708713,0.5912395094846243,0.6733653868386758,0.49141106015615055,0.38349995562642825,1.0,0.3308603001981737,0.33161069355537137,0.46446044746976306,0.5912395094846243,0.6743898550798362,0.4869237278188417,0.3851877511996274,0.9948469976346981,0.28098024528372667,0.28013434348697014,0.5059067050257352,0.5896097819994568,0.3124565942294381,0.46726281298727673,0.392117983521239,0.8261270652808083,0.25128316747904783,0.25008216168184183,0.46725776505994426,0.5896097819994568,0.6838292478710872,0.46720864662496153,0.3754961085264271,0.8627566246114274
fstSecSkel ssdeep,0.6664875498618184,,,0.2541156730778594,0.2655039004130127,0.32080734031065916,0.2762663154356573,-0.15908016729118998,0.3428466999876728,0.9977628814662447,0.9853654866058851,0.43391194280834294,0.3049236934874338,0.3192400877411658,0.25054745848454546,0.3588559629860911,0.3308603001981737,1.0,0.9858588929251944,0.43300885573722864,0.30492369348743387,0.32155765169851863,0.2520467855271275,0.35766911244368893,0.3307981100624864,0.4217693800093491,0.4212441142547923,0.3354426379488192,0.2803758886541375,0.33717945990376613,0.1912408112331348,0.3424808903228026,0.30662435412813605,0.22489737894786824,0.22442614295216812,0.4580375863315698,0.2803758886541375,0.3294635363744435,0.2588376363887471,0.34654548525816786,0.30655941515288465
fstSecSkel ppdeep,0.6685610485737585,,,0.25378086029481634,0.26786800044589215,0.3219859907661195,0.2785615211111223,-0.1606023124601228,0.3436678323277468,0.9861974935221077,0.9989763040355618,0.4359883612686092,0.3064460519266883,0.3204538486964368,0.2533342829854474,0.3605223726040162,0.33161069355537137,0.9858588929251944,1.0,0.43500620948912505,0.3064460519266882,0.32287732454277157,0.2544819880586409,0.35933551749985954,0.3316890652958522,0.4183848548449885,0.4193165548848727,0.3374402983613746,0.2816867190894917,0.33680478740054554,0.19353277476286357,0.34305643515862794,0.30765540393371205,0.22372777072416838,0.22325651686271672,0.4556476142560154,0.2816867190894917,0.32982818196859637,0.2599372595672676,0.34775425971940654,0.30773082714723443
fstSecSkel ppdeep_mod,0.35449847601136547,,,0.6220528627800633,0.5805966847104113,0.6284646971649505,0.5205191645884683,-0.06686928672788946,0.41712447032692623,0.43358626617549567,0.4349465101437595,0.9909549853733568,0.6100748697847878,0.6312302499755212,0.5357666938892969,0.49309407185227466,0.46446044746976306,0.43300885573722864,0.43500620948912505,1.0,0.6100748697847878,0.6285927588275466,0.5331266121789313,0.490897669756946,0.4658133782945417,0.24735277958133398,0.24593627447226607,0.6131525934038903,0.593225911406611,0.13587011602760274,0.5228459041385334,0.5336021365600331,0.46989353548371054,0.2014794718584612,0.20313676481146853,0.5538273413641146,0.593225911406611,0.6306003100173413,0.5106384895847684,0.5060930705937737,0.49661467123538794
fstSecSkel byteBag,0.3750530193605085,,,0.7194873139506954,0.873015873015873,0.8040372937535769,0.7190508633423617,-0.03193942264591663,0.5163580125568125,0.3043841259538773,0.30628199010678436,0.6116596800284229,1.0,0.8195739281395769,0.6828860300782674,0.45376868333972203,0.5912395094846243,0.30492369348743387,0.3064460519266882,0.6100748697847878,1.0,0.8211649515472865,0.6762067137940062,0.4529161559121532,0.5930285572506176,0.27512094385974545,0.2753996121781103,0.6724986195474117,0.8751770856062991,0.1281034223753734,0.683816702431986,0.49609826857896616,0.6145063818847623,0.1655709831010613,0.16415164727493942,0.5333209337409682,0.8751770856062991,0.8201116445852278,0.6446706133319716,0.46482884494321963,0.6547625144910582
fstSecSkel lzjd,0.3755225965831673,,,0.7001980024785855,0.8000754327422197,0.8336285176549566,0.6834063559433639,-0.01682581962927086,0.5957540323999425,0.321441907369959,0.32278355051358165,0.6294607481680929,0.8211649515472865,0.9913116644039193,0.6671615389455012,0.47218250140213297,0.6743898550798362,0.32155765169851863,0.32287732454277157,0.6285927588275466,0.8211649515472865,1.0,0.6612146834255739,0.47212849783940325,0.6762894098269109,0.27857439604739315,0.2780625105010076,0.6615740717099565,0.8080500682867517,0.1578800113058213,0.6771106181170972,0.5126887739914712,0.6824299656655213,0.18711447096182807,0.1864556171908357,0.5343490577620381,0.8080500682867517,0.8408232863725219,0.6367541667283431,0.47732456581982546,0.7268026075890426
fstSecSkel bz,0.37759160380967854,,,0.6073394048080747,0.6369501392211362,0.6202989455519086,0.7740568793880447,0.052586211594858635,0.40522252986955914,0.2518484576250649,0.25431585867613854,0.5321472574525155,0.6762067137940062,0.6638251326357628,0.9681846345961365,0.4457541843283075,0.4869237278188417,0.2520467855271275,0.2544819880586409,0.5331266121789313,0.6762067137940062,0.6612146834255739,1.0,0.44418361054123195,0.4883854144575676,0.2757800972188225,0.27684743676101264,0.5986878190178545,0.6961112276788901,0.032464095514172106,0.7790859759740714,0.5044256509874152,0.5483865717114961,0.1996910167787711,0.19903557580466133,0.42653858777594167,0.6961112276788901,0.6727791984069885,0.9199827239101399,0.45044592120184607,0.5661773284803384
