,isInner,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 jump,fStat0 ncd
isInner,1.0,0.22725837491074471,0.32435278485913466,0.36662519834153395,0.3514301074408536,0.13126190523714001,0.3676116925568434,0.40917066297273474,0.39090460126943183,0.36643689845079763,0.35123392905386236,0.36792546996166137,0.3673494509592532,0.40886554399395253,0.390697112027922,0.36643689845079763,0.35179393844538015,0.36796112175234347,0.36739380835884466,0.7381610249163585,0.4098523609660812,0.3679607980066623,0.11594634364842153,0.3678928377503955,0.36702198002577496,0.4393806029886068,0.4849711224362001,0.3679607980066623,0.21031270870397684,0.36803784688249214,0.3672098042719943
raw ppdeep,0.22725837491074471,1.0,0.09547631905465039,0.08952011039758528,0.08861808960776554,0.0897012862353922,0.0894425753893283,0.1598791893621063,0.09652292131863446,0.0894965251864266,0.08935462725193423,0.08950246441934788,0.08920293639909131,0.16051903893221536,0.09726897434820425,0.0894965251864266,0.08935576896921442,0.08951113716257314,0.08928520690502006,0.3120650442207207,0.10316732791610957,0.08926190226534728,0.0781623553776405,0.08917449439046451,0.08931779821957603,0.2989264037193477,0.12108813988666613,0.08926190226534728,0.08140919729933833,0.08952013984531562,0.08921237526054994
raw ppdeep_mod,0.32435278485913466,0.09547631905465039,1.0,0.7292586170885385,0.6138514808354122,0.06881749235027391,0.4403914941589236,0.2937181523528063,0.7009897048447451,0.7312707344924344,0.5023009728508471,0.41574106776081066,0.5030535867044044,0.2937709985868726,0.701453754872709,0.7312707344924344,0.4996671673867915,0.4158786435158287,0.503938493473896,0.2561635083921635,0.6422295851200404,0.6914534866735069,-0.4116677107331666,0.4715368780979003,0.5108573488933482,0.22486514789048154,0.5447375756586776,0.6914534866735069,-0.19581328974242712,0.4286201247143467,0.546490828543358
raw byteBag,0.36662519834153395,0.08952011039758528,0.7292586170885385,1.0,0.6974430509975283,0.12052488889957727,0.5222747090600186,0.25533657408766464,0.6430932743041887,0.9569141811863983,0.567800911839655,0.4482478952884366,0.5871701216457373,0.255527508103778,0.6434609247698458,0.9569141811863983,0.5655420575530765,0.4489815879773303,0.5879108478637477,0.28034626790183836,0.6993470697977447,0.8643264843119917,-0.4202671186656828,0.5109498700928738,0.5897676060437597,0.20675108535952758,0.5456365544257641,0.8643264843119917,-0.10423902314795369,0.464721642330058,0.6393510617052904
raw lzjd,0.3514301074408536,0.08861808960776554,0.6138514808354122,0.6974430509975283,1.0,0.038903997540983816,0.6194639749158989,0.2842873181317738,0.5700049917541606,0.7026687915561426,0.7854781372034616,0.3926042721112197,0.6839266159497996,0.28439532277151636,0.5701329640703263,0.7026687915561426,0.782635903401023,0.3913484081913225,0.6842821794728249,0.27679549548735544,0.6450969193547181,0.6799705868525698,-0.26863376270348477,0.4566525347077914,0.6933044984861044,0.2739921973863272,0.6025317041581638,0.6799705868525698,0.03865687259258416,0.40258082481527635,0.7246440110755528
raw jump,0.13126190523714001,0.0897012862353922,0.06881749235027391,0.12052488889957727,0.038903997540983816,1.0,0.11433239138497645,0.06228764322253535,0.07050613898601689,0.11306520365794653,-0.009606934072491712,0.16413918198673638,0.08825534318578764,0.062286074789478216,0.07183494504021591,0.11306520365794653,-0.010500055629581164,0.16519900433619447,0.08902843524505982,0.22843337770309863,0.04733083507577278,0.12332973184712757,-0.019257668067187844,0.15683434645025732,0.06636931683932361,0.12805393634470477,0.029297248196392518,0.12332973184712757,0.012071158848850174,0.16832937024783115,0.08605102126949557
raw ncd,0.3676116925568434,0.0894425753893283,0.4403914941589236,0.5222747090600186,0.6194639749158989,0.11433239138497645,1.0,0.27308630070211104,0.4179787790961083,0.5269197010350042,0.6278170213576217,0.39610508256296556,0.8034583085803377,0.2734201877690406,0.4175019876605797,0.5269197010350042,0.6288833331662489,0.3971186300228634,0.8033372379502849,0.28242309443713287,0.4900391320191268,0.5182802842095452,-0.10386172920396726,0.4228409287416314,0.695236522931357,0.2620227628952306,0.47283883005781635,0.5182802842095452,0.175085374606807,0.4042264890613394,0.7299881324592655
skeletons ppdeep,0.40917066297273474,0.1598791893621063,0.2937181523528063,0.25533657408766464,0.2842873181317738,0.06228764322253535,0.27308630070211104,1.0,0.4448554889406821,0.2614884184042307,0.3168347656634714,0.2623976451165208,0.2653372344837883,0.9992467985315513,0.44347990505654206,0.2614884184042307,0.31634328877730206,0.2649887154126343,0.26417157561978044,0.3783351903410155,0.22107634320142472,0.21531138538207806,-0.0199755485818548,0.26094719990931925,0.23684814280843797,0.35339976810287693,0.3827122735162025,0.21531138538207806,0.15634831156815981,0.2544541666442107,0.23541643036627186
skeletons ppdeep_mod,0.39090460126943183,0.09652292131863446,0.7009897048447451,0.6430932743041887,0.5700049917541606,0.07050613898601689,0.4179787790961083,0.4448554889406821,1.0,0.6511713726327059,0.515309987565079,0.4975042403045844,0.45972938669420327,0.4447753446421548,0.9934548627187386,0.6511713726327059,0.5127888294617233,0.49862184420799643,0.46016969131747637,0.3042119140040963,0.6451861981359319,0.6198266287969819,-0.30479920329278415,0.545232400119472,0.4542493753984048,0.21500208870788654,0.5256658896652314,0.6198266287969819,-0.13020186575984424,0.5137966894056164,0.4902112020502623
skeletons byteBag,0.36643689845079763,0.0894965251864266,0.7312707344924344,0.9569141811863983,0.7026687915561426,0.11306520365794653,0.5269197010350042,0.2614884184042307,0.6511713726327059,1.0,0.5810697276433449,0.45296430509058994,0.5979936659327972,0.26169179510814555,0.6513595782484761,1.0,0.578963905463653,0.45369128005765297,0.5986069685936756,0.27917522813315176,0.6984253051260864,0.8798248377714337,-0.4252650298163715,0.518147016920219,0.6058588866794151,0.20505964478691974,0.5579541956069276,0.8798248377714337,-0.09888215155571464,0.4708558874171234,0.6524187883719271
