,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
isInner,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id1,,1.0,0.3322690000354975,0.028169076482626062,0.027530660048173086,-0.12726541679603817,-0.059379142212064535,-0.139293943171126,-0.1758293554165205,0.06449125740021286,-0.10465475185096094,-0.021587527423803453,-0.022798408562988377,-0.08501432804423961,-0.1235916816439865,-0.11867479369553374,-0.15007270430387645,0.04719713360682021,,-0.021810553528241405,-0.02287251668917038,-0.0766424390396076,-0.11065629438470219,-0.114785706321057,-0.10644125929941128,0.05317403423842852,,-0.03560772413129025,-0.022308464366550013,-0.00798885561212778,-0.09965629883555825,-0.005796077737397588,-0.041264712579730176,-0.12320061424170493,,0.026610111862003353,0.03298924083105547,0.0889777730050814,-0.09965629883555825,0.07284458416039657,-0.07690614684053976,0.0685950390441704,
id2,,0.3322690000354975,1.0,-0.10387572720323214,-0.10445538965538553,-0.17000215872071783,-0.12188641557230297,-0.23301016344101175,-0.2772550918901625,0.03858119289286816,-0.057347369475685236,-0.15385710440510514,-0.15467825993110054,-0.17157544848766965,-0.2473665479815518,-0.24254851946300385,-0.28647365360876487,-0.0877233661794662,,-0.15409194663544284,-0.15515876020842745,-0.1697871813558507,-0.24890846230879787,-0.24926685616495414,-0.24113194989154818,-0.08772206305967864,,-0.14369141771078348,-0.12418741596885047,0.15547828791627843,-0.2914219731643434,-0.14390328894502583,-0.12381138499069477,-0.32363615375196825,,-0.09197718002105099,-0.0823978885552468,-0.072314217532441,-0.2914219731643434,0.0361461090856395,-0.1969393533543115,-0.07437790704210609,
raw ssdeep,,0.028169076482626062,-0.10387572720323214,1.0,0.9957109698092661,0.2787797586963007,0.24241221771773014,0.2594281517994267,0.19036616833846606,0.16881118806771925,0.07209443914516281,0.4924176685000128,0.49282025677874647,0.27408400171992114,0.22031882443953274,0.26719433723071906,0.21227719173694856,0.2658695292827993,,0.4913950387243447,0.4922076870414505,0.2746386901488395,0.2206128707372631,0.2692632144329847,0.20184943946435155,0.2660984250785269,,0.289080660303882,0.2643425371271471,-0.06800896666365902,0.22613510416972718,0.2611794911210535,0.18996477852580756,0.26790174483971263,,0.4923916912283426,0.489474394671573,0.27737326726701494,0.22613510416972718,0.2591673911621946,0.16649562405856796,0.26304503149800973,
raw ppdeep,,0.027530660048173086,-0.10445538965538553,0.9957109698092661,1.0,0.2800477671404125,0.24347051422762195,0.2599962754407236,0.19103973980190903,0.16845151714893983,0.07229786501151482,0.49217453774229436,0.4928387715008591,0.2741841579241049,0.2213772705026183,0.2679346017448949,0.2128469604983719,0.26588638982493273,,0.49119877836930526,0.4923045685446535,0.274820313436917,0.22161839190654223,0.2700146353484411,0.20211949970434206,0.2661233283671145,,0.2881111940976811,0.26345226314713843,-0.06851338319338651,0.2267790742432573,0.26130314417942124,0.1904587052360565,0.2683202847671354,,0.4922267833380369,0.4895622695371643,0.2773856299223098,0.2267790742432573,0.25882086867237936,0.1664945541207208,0.2630865736807032,
raw ppdeep_mod,,-0.12726541679603817,-0.17000215872071783,0.2787797586963007,0.2800477671404125,1.0,0.5170097332609119,0.603352941707883,0.45141852841017954,0.023852509432181514,0.28097043264368404,0.38278201520767113,0.384104134193796,0.5245386566216333,0.5808888741665591,0.5373802456811796,0.4293390360088965,0.3528103224701937,,0.3824580093294503,0.3840039977682668,0.5142125837335528,0.565303232423597,0.5275339899031208,0.42398895673460896,0.3447041535010015,,0.26797253191324777,0.24155517640113178,0.020378784055071784,0.45284697241646193,0.1592689769633569,0.41536095588571964,0.3808544862038018,,0.35755861372175574,0.3433862010104781,0.2860093565281883,0.45284697241646193,0.022560708270572785,0.39907882532742195,0.3320318769090389,
raw byteBag,,-0.059379142212064535,-0.12188641557230297,0.24241221771773014,0.24347051422762195,0.5170097332609119,1.0,0.7024002190306561,0.42693899575147903,0.025231325137847576,0.25942427518627265,0.38395901953949285,0.3862899492210072,0.6321403749349356,0.6390215274715885,0.6870788570616164,0.42890572428207857,0.3405722133876769,,0.38399048287337495,0.38627866740193734,0.6262463754140697,0.6347586382868409,0.6872121120676182,0.41714036956025663,0.33098634328704246,,0.2515521935517034,0.238454302749072,0.006796051406106337,0.42081416757302276,0.10790523792349706,0.44384328834541936,0.37918836979370135,,0.3945319405604282,0.38264628977256127,0.30323604015213007,0.42081416757302276,0.0836762165377296,0.4057774312769364,0.3475836650863084,
raw lzjd,,-0.139293943171126,-0.23301016344101175,0.2594281517994267,0.2599962754407236,0.603352941707883,0.7024002190306561,1.0,0.5236325628809759,0.03889093685500884,0.34619030740417017,0.4214905730034825,0.42328211249256426,0.6378031835715041,0.7445157899734298,0.7609380879607227,0.5153916734298765,0.4369021245186844,,0.42126750963964105,0.42318235479223054,0.6298802808859822,0.7271596115136654,0.7485782012684126,0.5064836947928423,0.4268387991257286,,0.3539512240988258,0.33083677245969106,-0.07884062147820027,0.5815542612098015,0.19056717633471967,0.5101623436332368,0.5115480998474463,,0.4039734699268002,0.3906772946992453,0.382745301547332,0.5815542612098015,0.03720728636734376,0.48495537044552717,0.427952567549372,
raw bz,,-0.1758293554165205,-0.2772550918901625,0.19036616833846606,0.19103973980190903,0.45141852841017954,0.42693899575147903,0.5236325628809759,1.0,0.008654315570356367,0.342576750358773,0.2830400539454015,0.28542018333392477,0.369019158813261,0.5383311043769874,0.5169373352324891,0.6823819442386907,0.32694778810324543,,0.2830301685483939,0.2852430655879952,0.3582589133106511,0.5162910706693904,0.4979361622347159,0.6438576869169658,0.3139776978544797,,0.24336663355851976,0.2251741281770564,-0.0636480208154549,0.5254001836581472,0.1695289368160053,0.4707911287484146,0.503514359573961,,0.2656031338999119,0.25371786997611623,0.1896366757525828,0.5254001836581472,-0.05812393297608974,0.5286631635953986,0.2994880843279497,
raw jump,,0.06449125740021286,0.03858119289286816,0.16881118806771925,0.16845151714893983,0.023852509432181514,0.025231325137847576,0.03889093685500884,0.008654315570356367,1.0,0.0053435891053534865,0.21628052353157282,0.21626893406176648,0.03384190526676125,0.01833991015517807,0.046497826853399045,-0.010898123217091672,0.18069769342649045,,0.21628688709039884,0.21605089953258996,0.038773903404188806,0.021749800253927393,0.05089605302546906,0.024936916458657435,0.18445961129996502,,0.23906532280177034,0.22603645785479315,0.00038344763770376385,0.07349960286398252,0.19894986311816507,0.052045734370841215,0.11882353767516068,,0.1895517946322511,0.1792080613617049,0.20106016281643938,0.07349960286398252,0.218188354606404,0.036898421961199405,0.20468428993347568,
