,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
0,True,60386390,223333097,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.550561797752809,0.4757772957339118,0.3763440860215054,0.8888888888888888,0.05555555555555558,1.0,0.0,0.0,0.42622950819672134,0.7712418300653595,0.38372093023255816,0.7058823529411764,0.4117647058823529,1,0.0,0.0,0.42622950819672134,0.7712418300653595,0.38235294117647056,0.8823529411764706,0.4117647058823529,1,0.43,0.43,0.43,0.95,0.6078431372549019,0.8235294117647058,0.6470588235294117,1,0.52,0.62,0.62,0.95,0.4676258992805755,0.8235294117647058,0.4117647058823529,1
1,True,60386390,251039929,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5421686746987951,0.7149372862029647,0.3473684210526316,0.8888888888888888,0.0,1.0,0.0,0.0,0.5166666666666666,0.7884615384615384,0.38738738738738737,0.7058823529411764,0.17647058823529416,1,0.0,0.0,0.5083333333333333,0.7884615384615384,0.3795180722891566,0.7058823529411764,0.17647058823529416,1,0.4,0.4,0.4,0.8380952380952381,0.5471698113207547,0.9411764705882353,0.7058823529411764,1,0.0,0.0,0.62,0.8380952380952381,0.41843971631205673,0.5882352941176471,0.17647058823529416,1
2,True,60386390,257708824,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5384615384615384,0.4315117104329312,0.3617021276595745,0.7619047619047619,0.09523809523809523,0.75,0.0,0.0,0.4516129032258065,0.6948356807511737,0.3877551020408163,0.5789473684210527,0.26315789473684215,1,0.0,0.0,0.4444444444444444,0.6948356807511737,0.38235294117647056,0.6842105263157895,0.26315789473684215,1,0.0,0.0,0.43,0.7456140350877193,0.4642857142857143,0.5263157894736843,0.42105263157894735,1,0.0,0.0,0.62,0.7456140350877193,0.43661971830985913,0.631578947368421,0.26315789473684215,1
3,True,60386390,263476994,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5108695652173914,0.4193324061196106,0.32987012987012987,0.6190476190476191,0.09523809523809523,0.75,0.0,0.0,0.4576271186440678,0.6606606606606606,0.36,0.55,0.15000000000000002,1,0.0,0.0,0.43333333333333335,0.6606606606606606,0.3583815028901734,0.6,0.15000000000000002,1,0.0,0.0,0.43,0.6916666666666667,0.5185185185185185,0.5,0.4,1,0.0,0.0,0.62,0.6916666666666667,0.44680851063829785,0.6,0.19999999999999996,1
4,True,60386390,263879301,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.735632183908046,0.8941736028537456,0.5950155763239875,1.0,0.2777777777777778,1.0,0.88,0.96,0.9444444444444444,0.9851024208566108,0.6344827586206897,0.9411764705882353,0.6470588235294117,1,0.88,0.94,0.9375,0.9851024208566108,0.6350877192982456,0.9411764705882353,0.6470588235294117,1,0.43,0.43,0.43,0.9897959183673469,0.7083333333333334,0.8823529411764706,0.9411764705882353,1,0.62,0.62,0.62,0.9897959183673469,0.6190476190476191,0.9411764705882353,0.6470588235294117,1
5,True,60386390,263917401,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5393258426966292,0.44661654135338347,0.35092348284960423,0.8333333333333334,0.05555555555555558,1.0,0.0,0.0,0.4736842105263158,0.7194719471947195,0.3877551020408163,0.7647058823529411,0.2941176470588235,1,0.0,0.0,0.46551724137931033,0.7194719471947195,0.38235294117647056,0.7647058823529411,0.2941176470588235,1,0.0,0.0,0.43,0.8018867924528302,0.5185185185185185,0.7647058823529411,0.47058823529411764,1,0.0,0.0,0.62,0.8018867924528302,0.4068965517241379,0.7647058823529411,0.2941176470588235,1
6,True,60386390,267844079,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5104166666666666,0.43104643104643103,0.32642487046632124,0.7619047619047619,0.09523809523809523,0.75,0.0,0.0,0.4444444444444444,0.6796407185628742,0.3638968481375358,0.6,0.25,1,0.0,0.0,0.4375,0.6796407185628742,0.36231884057971014,0.7,0.25,1,0.0,0.0,0.43,0.7083333333333334,0.4909090909090909,0.5,0.4,1,0.0,0.0,0.5333333333333333,0.7083333333333334,0.4676258992805755,0.6,0.25,1
7,True,60386390,276322080,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4807692307692308,0.3847953216374269,0.2736318407960199,0.64,0.040000000000000036,0.6,0.0,0.0,0.3972602739726028,0.6375488917861799,0.2970027247956403,0.625,0.20833333333333337,1,0.0,0.0,0.3918918918918919,0.6375488917861799,0.29476584022038566,0.6666666666666667,0.20833333333333337,1,0.0,0.0,0.43,0.674074074074074,0.4642857142857143,0.5,0.33333333333333337,1,0.0,0.0,0.515625,0.674074074074074,0.5,0.5416666666666667,0.20833333333333337,1
8,True,60386390,282467402,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4803921568627451,0.3738425925925926,0.2832080200501253,0.48,0.040000000000000036,0.6,0.0,0.0,0.3835616438356164,0.625,0.2830188679245283,0.625,0.20833333333333337,1,0.0,0.0,0.3783783783783784,0.625,0.27717391304347827,0.625,0.20833333333333337,1,0.0,0.0,0.43,0.6402877697841727,0.5471698113207547,0.5,0.33333333333333337,1,0.0,0.0,0.5076923076923077,0.6402877697841727,0.5,0.5416666666666667,0.20833333333333337,1
9,True,60386390,283939621,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5434782608695652,0.45473537604456826,0.31958762886597936,0.75,0.050000000000000044,1.0,0.0,0.0,0.4482758620689655,0.7020958083832335,0.3333333333333333,0.631578947368421,0.10526315789473684,1,0.0,0.0,0.44067796610169496,0.7020958083832335,0.3314447592067989,0.7894736842105263,0.10526315789473684,1,0.43,0.43,0.43,0.8260869565217391,0.5769230769230769,0.5789473684210527,0.4736842105263158,1,0.0,0.0,0.45945945945945943,0.8260869565217391,0.42657342657342656,0.736842105263158,0.10526315789473684,1
