,isInner,id1,id2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
isInner,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id1,,1.0,0.316316040029171,-0.020214160784478595,-0.1063452487648295,-0.00470533037536897,-0.06878683546681658,-0.0041809499931559,-0.0031158683048834726,0.09137892368480333,-0.1162536009171359,0.15468346324239896,0.03155694789014983,-0.061735406708433437,-0.034956327284583276,0.006553993033565371,0.12317372631756696,0.12439480967291162,,0.1699928239924114,0.04211737091699564,-0.061735406708433437,-0.033735118787274365,0.00627526948618489,0.12447855516983593,0.12534057545295946,,0.020177830205044225,-0.029678883925294716,-0.024296425542994084,0.19337359210188074,-0.02749632816407339,0.07655676217607844,0.12070702963915061,,0.12324072610842352,0.17718312989291995,-0.024296425542994084,-0.07488847062730902,-0.001215683852709892,0.11614598632623924,0.18565875635721987,
id2,,0.316316040029171,1.0,-0.184857035579797,-0.201213219697981,-0.16612783550514407,-0.2797779731452711,-0.2778896493958486,-0.21639418027892815,-0.2296355868403632,-0.310592764444162,-0.07846893500877072,-0.0959118613240305,-0.22921744592721688,-0.2718460299185251,-0.274094230561831,-0.17965509158570134,-0.17696583188431855,,-0.06910357845798144,-0.08864813391534927,-0.22921744592721688,-0.26936422530227117,-0.27373554213722345,-0.1790221955278937,-0.1752643217106168,,-0.2007437607560311,-0.20440667710546379,-0.22635351022395872,-0.14271206034661224,-0.24801618102306472,-0.20453667953545612,-0.2068767729028478,,-0.13423110072055286,-0.09638305488813802,-0.22635351022395872,-0.2588165303580825,-0.2827401059079793,-0.18906411550213284,-0.15851309559957857,
raw ppdeep,,-0.020214160784478595,-0.184857035579797,1.0,0.3236538288834517,0.2712275969878552,0.31926111040050664,0.2826506480030533,0.2802423789741648,0.3184797834182658,0.24153352474561116,0.5260115028503036,0.29860393100045657,0.2861643259492535,0.31972089311837854,0.292085465852024,0.2872457035833813,0.31324388972399775,,0.5136465158183205,0.29652482259577106,0.2861643259492535,0.3190979858647223,0.2907988949315222,0.2871187791781712,0.3130351849685873,,0.5020762048862357,0.28064892685468484,0.28929337060248195,0.2692254981815614,0.2839450369061993,0.28876347500638305,0.31321521244644895,,0.5459583238903175,0.3097464092963691,0.28929337060248195,0.3052180917932708,0.2793427350935405,0.295852061428162,0.31185541206993295,
raw ppdeep_mod,,-0.1063452487648295,-0.201213219697981,0.3236538288834517,1.0,0.5714225640700091,0.5552696139369999,0.4003840188871354,0.3948864821336508,0.407811735118301,0.3610290885119143,0.3478235136526358,0.6328822510412985,0.6324618449910332,0.5832178253545851,0.38004496855715303,0.34537100395298165,0.34152530576513823,,0.32213251254383307,0.6165470305744417,0.6324618449910332,0.5834034211759064,0.3863297611564251,0.34621966613746263,0.34026756644509043,,0.37013035220804447,0.3304703193976737,0.538554826823225,0.013833852302968401,0.3988174687381082,0.3560792981162548,0.35598048521942444,,0.31863886249972767,0.3426489659463319,0.538554826823225,0.31550324166249255,0.3894149095476635,0.3560721185759745,0.34163549655983017,
raw byteBag,,-0.00470533037536897,-0.16612783550514407,0.2712275969878552,0.5714225640700091,1.0,0.679744355297676,0.5216059214557319,0.5415141338912518,0.5488418371069536,0.37738916885692503,0.41212382187367375,0.6123317395644531,0.7304528037348523,0.7105360462728143,0.5061138256263404,0.505484854490398,0.4643514989333002,,0.3905529843528209,0.6026077757728765,0.7304528037348523,0.7127412283751895,0.5121287591858273,0.5066024562285371,0.46231962220225303,,0.3812050593073399,0.33053588347269613,0.6108748918655807,0.08914880921198462,0.5089107279146576,0.49919706096373984,0.4636171267084255,,0.3822004274979306,0.3430002787528315,0.6108748918655807,0.3620730549598474,0.518504714991867,0.5271119992629264,0.47193238993499514,
raw lzjd,,-0.06878683546681658,-0.2797779731452711,0.31926111040050664,0.5552696139369999,0.679744355297676,1.0,0.5903769106087889,0.5512873905241579,0.6377851874661038,0.4849159784568565,0.40603950450082965,0.5515362064237458,0.6988722297000581,0.7741719686051686,0.575117989583833,0.5410499459357971,0.5042153698232399,,0.3846766595025464,0.5402857317228397,0.6988722297000581,0.7699021728361604,0.581828558770714,0.5408528258552658,0.5014790032907174,,0.43489539233395863,0.4218564488599007,0.6742446570510633,0.16785059996647866,0.5755802807462194,0.5623820746692634,0.5659945952188193,,0.4001356319349596,0.32832904988291417,0.6742446570510633,0.40483845422130044,0.5788800707869994,0.5643128709765124,0.536704897505115,
raw bz,,-0.0041809499931559,-0.2778896493958486,0.2826506480030533,0.4003840188871354,0.5216059214557319,0.5903769106087889,1.0,0.7999270353232246,0.5423284116287658,0.49731726744265126,0.36063673004083097,0.4639751201956024,0.6010363506296473,0.5532768133439416,0.9038406487935201,0.7719963181727103,0.4101908269320193,,0.35287483872894765,0.46223652516732494,0.6010363506296473,0.5454961844424094,0.9030959543989656,0.7704772033208586,0.40614951092247503,,0.40372080648188396,0.3213024033135343,0.634325770630968,0.24339476548294542,0.8239217152400802,0.792325572430092,0.5875104877807531,,0.36478622935939603,0.308655929940678,0.634325770630968,0.40605312741412863,0.8974063402945892,0.7777912093393149,0.49775482868998605,
raw jump,,-0.0031158683048834726,-0.21639418027892815,0.2802423789741648,0.3948864821336508,0.5415141338912518,0.5512873905241579,0.7999270353232246,1.0,0.4825339364095601,0.4474709291481446,0.33944522584337017,0.46124267714871797,0.6085179634327422,0.5191544701526354,0.7902079764456502,0.743352216178928,0.3585513139272693,,0.33229870125725475,0.4587584021254287,0.6085179634327422,0.5127193118815788,0.7881588750124893,0.7422308540688999,0.35480720083819434,,0.35144146086840067,0.26617375898228723,0.6280453014640541,0.17630745874678486,0.7834144389057569,0.7308252412192985,0.5219749126742425,,0.32677355402136943,0.2776433879916311,0.6280453014640541,0.38566219910003013,0.8019236644235873,0.7432022509624014,0.44085329243077226,
raw ncd,,0.09137892368480333,-0.2296355868403632,0.3184797834182658,0.407811735118301,0.5488418371069536,0.6377851874661038,0.5423284116287658,0.4825339364095601,1.0,0.4749001738145481,0.47657997663224644,0.4764654422732491,0.5099664324520872,0.6656507910467638,0.5453237257628429,0.5776531722412619,0.7691406532244424,,0.4719332568888038,0.4746943584839925,0.5099664324520872,0.6631512958929747,0.5450485126892579,0.5763299272629016,0.7658438422326159,,0.515693896239331,0.41913152293263956,0.4962105956345297,0.3720238868336542,0.5103331107126509,0.594062574424901,0.7072896914606758,,0.5051429689130034,0.46528034828201215,0.4962105956345297,0.40298910560404966,0.5366741983275445,0.606051823131598,0.7439607020150865,
