,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes,fStatV2 ssdeep,fStatV2 ppdeep,fStatV2 ppdeep_mod,fStatV2 byteBag,fStatV2 lzjd,fStatV2 bz,fStatV2 jump,fStatV2 ncd,fStatV2 fourbytes,fStat0V2 ssdeep,fStat0V2 ppdeep,fStat0V2 ppdeep_mod,fStat0V2 byteBag,fStat0V2 lzjd,fStat0V2 bz,fStat0V2 jump,fStat0V2 ncd,fStat0V2 fourbytes
isInner,1.0,-0.054664112173410585,-0.08572311214396794,0.4876531850412724,0.4876972357440403,0.2790817052360235,0.26352016729648065,0.2762973396127694,0.2715740604886539,0.061739767409850745,0.29580442685951314,0.5160534495287754,0.4287654107283902,0.42866435581016055,0.28626182690942986,0.27417672905477647,0.2542929071169817,0.2702365566239908,0.25564785750901836,0.2805375179325177,,0.4301009800654073,0.42999398269320815,0.2878535762115036,0.2742719187746561,0.2537178866088741,0.27263081933721833,0.2554199952523885,0.280445672804716,,0.5462322628056704,0.5460869002602138,0.228735093664619,0.28158095219096,0.127135071182953,0.2690890975841724,0.28181667117937775,0.2798408686255777,,0.4578283645797668,0.4576897001560023,0.22656644099217313,0.28158095219096,0.19132332849459363,0.27557034158618626,0.2586582721343478,0.28118815763782795,,0.5462348680777015,0.546087440704396,0.22940194774537306,0.2814859708185264,0.1271727282713089,0.26916246134846683,0.2818046996614596,0.2797856042864656,,0.4578279634852486,0.4576883754676454,0.2268184124340127,0.2814859708185264,0.19115277429693012,0.2755754126740829,0.2586080623101405,0.2811757191128468,
id1,-0.054664112173410585,1.0,0.048972836020420914,-0.06238953341685094,-0.06244636990701606,-0.05674125733343982,-0.0785361082723391,-0.043458964606097585,-0.04406532387723831,-0.02826701367849888,0.04648305504669479,0.10596225344994342,0.03899576436866549,0.03921883298174555,-0.058842247840063755,-0.06208750377397806,-0.02129819619840935,-0.03461995724185613,0.025179601138135728,0.06991062633050303,,0.03816481929364034,0.0383597186713395,-0.056369170289967505,-0.05950393011843103,-0.02030390378390941,-0.03621064286094314,0.02438823647482828,0.07029487014110102,,-0.02026948361803603,-0.02009155242474318,-0.05219048390188694,-0.045473645182430605,0.0804704314904792,-0.017876363545265523,-0.0003524063064903543,0.04453299255199082,,0.009541199592877157,0.00957218249185711,0.0021979666217413637,-0.045473645182430605,-0.044906268521065364,-0.03385367820895845,0.02939995384764408,0.06520329162461543,,-0.020272684619370967,-0.020092123226881965,-0.05199848212337116,-0.0455721163470965,0.08022169321885642,-0.017609325549738885,-0.000525811981383531,0.04473116771686881,,0.009540778058115644,0.009572498740344928,0.0029761276759238176,-0.0455721163470965,-0.04453580545868585,-0.03377204572154443,0.02928570288333687,0.06556841844487427,
id2,-0.08572311214396794,0.048972836020420914,1.0,-0.08511658915853748,-0.08519945338084105,-0.09379896239860741,-0.0925608464809035,-0.12146714740733265,-0.05482002432034473,0.02805122596202126,-0.07320255709798458,0.02865442218766651,-0.01770481222027579,-0.017469808963196276,-0.06544137926591014,-0.07044170884201602,-0.1130520502034218,-0.05962442975566988,-0.03555135841115356,-0.02304240579975493,,-0.018527302447588014,-0.018305058960820377,-0.06760151070341133,-0.07231705101805656,-0.11377219512460235,-0.056604707298404916,-0.0395731205743855,-0.027011410417150942,,-0.07200819531538881,-0.0717259997747799,-0.10843143962429098,-0.06877714987930014,-0.11761200604662203,-0.04382662268744964,-0.08135778261930056,-0.10140497276700836,,-0.04664479903719826,-0.04673084040665203,0.005745001959460856,-0.06877714987930014,-0.16815112275154065,-0.06515473024708823,-0.03233351893741312,-0.0694371349652103,,-0.07201153449054618,-0.07172766319461334,-0.1079904297220639,-0.0690754430676468,-0.11804424325102424,-0.04375887703332576,-0.08143053200409664,-0.10200722707882379,,-0.046645037923487245,-0.04673055678547427,0.007589196192356868,-0.0690754430676468,-0.168550701305024,-0.06518998376850935,-0.03279433446344867,-0.06928947375035135,
raw ssdeep,0.4876531850412724,-0.06238953341685094,-0.08511658915853748,1.0,0.9987371271928123,0.17271402350069157,0.14993887784961388,0.1528768799490828,0.15010880422152148,0.1157461889567265,0.152338353914683,0.2567713628245124,0.5474744174115712,0.5471447044042961,0.1775218110276148,0.14955502696060488,0.15089769836476968,0.14898902027767627,0.144349276510335,0.1520505901158754,,0.5491672349771545,0.5488532300993346,0.1779432451124049,0.14943652968144955,0.1509788850526801,0.1509102759359289,0.1443239985511366,0.15199721856733586,,0.609988771140187,0.6074175703176401,0.13546400685011284,0.14990873417393127,0.12629308296749212,0.14623490040185305,0.15046357218073905,0.15206400448993412,,0.5500248328005317,0.5498923947254166,0.14535027833129718,0.14990873417393127,0.14210154957096277,0.1495757234909439,0.14456046129552322,0.1522160595847448,,0.6099937619497457,0.6074212828019333,0.13546343618503087,0.14989467088375316,0.12629406992773284,0.1462468671350609,0.1504636817297349,0.1520652291713739,,0.5500245380484456,0.5498931235125369,0.14571250865609112,0.14989467088375316,0.14207654128943378,0.1495764170860463,0.1445544960536509,0.1522179633250688,
raw ppdeep,0.4876972357440403,-0.06244636990701606,-0.08519945338084105,0.9987371271928123,1.0,0.17292553882344547,0.15003407622692713,0.15295403691509452,0.15015953138301885,0.1158153279832155,0.15241944804392205,0.2568628900626716,0.547769606940446,0.547460215284147,0.17762648230551495,0.14966259245056635,0.15097572506441395,0.14905632382425416,0.1444476897271798,0.15213756298823475,,0.549481085452275,0.5491717975819452,0.1780504108132895,0.14954270286615562,0.15106843558933297,0.1509851834791718,0.14442183683386323,0.15207799081678944,,0.6102636889264774,0.6076950790478751,0.13553573671411787,0.15002381410858195,0.12630900323719052,0.14630242564189677,0.15055007717609342,0.15216634938573612,,0.5502681739410924,0.5501691516540997,0.14543083805696233,0.15002381410858195,0.14213509513133088,0.14964139517687403,0.1446628576546023,0.15229964276509295,,0.6102684959300635,0.6076986535984139,0.1355351298868322,0.1500097495218418,0.12631000111964705,0.14631439369236257,0.15055018680900104,0.15216757367795897,,0.5502678792323088,0.5501698804853686,0.1457932144157281,0.1500097495218418,0.14211014942977973,0.14964208883942445,0.14465689120505118,0.1523015683387263,
raw ppdeep_mod,0.2790817052360235,-0.05674125733343982,-0.09379896239860741,0.17271402350069157,0.17292553882344547,1.0,0.6390650345245692,0.5483650397640875,0.6123961966958719,0.05600645880580684,0.47513245746369026,0.1536706043595052,0.2037222158635884,0.2037462917140835,0.6132648309453507,0.6717141997096568,0.47722080552619434,0.6111219172401688,0.5162964636184663,0.44802589083093997,,0.2041888245186818,0.20423474802601355,0.6161031876258333,0.6718885203294941,0.46691365628161474,0.6031550007525454,0.5168798103576232,0.4489874705536097,,0.22666418497757634,0.2260685295218631,0.47709470377024915,0.6474893645123457,-0.1274549576555563,0.594058237131341,0.5297529782879172,0.47475692672569636,,0.20705917489928247,0.20702617580328905,0.4331613172434352,0.6474893645123457,0.2827081996269996,0.6037667772988092,0.5064305382548061,0.47644459407817874,,0.22666592588833462,0.22606957645940828,0.4779859851987249,0.6473118864098192,-0.12721687631074308,0.5937836316256008,0.529722796793561,0.47488640241518787,,0.207060569356522,0.20702672646603057,0.4309609843147696,0.6473118864098192,0.2823235708656359,0.6037025074792671,0.5069726787503314,0.4760851182013443,
raw byteBag,0.26352016729648065,-0.0785361082723391,-0.0925608464809035,0.14993887784961388,0.15003407622692713,0.6390650345245692,1.0,0.6552195581598425,0.7452073146361216,0.1523266693100183,0.5514304074930617,0.15877389186414195,0.21335097911962395,0.2134332567958438,0.6521649573157058,0.858736233286238,0.5453651060223114,0.7314946135358468,0.586326316766136,0.5241781715729252,,0.21378429271316787,0.2138531362464659,0.655614633800066,0.8589267848477153,0.5331824890209224,0.7313682526848448,0.5889299537253402,0.5249589154503742,,0.19899413485370376,0.19875906735752374,0.5512411205483257,0.8082076349163145,-0.20256048071960311,0.724361603342032,0.5869876807006389,0.4935966162673299,,0.204957254822061,0.20503350794162614,0.5009512419124648,0.8082076349163145,0.28414752343043365,0.7351496148355275,0.5741788554304339,0.5257859430469342,,0.19899558784570945,0.19875952977368175,0.5521586891275201,0.8085211687126553,-0.20246154871393618,0.7236558518817496,0.5870568248632231,0.49466554093206705,,0.20495925242847687,0.20503386780370514,0.4978232621103285,0.8085211687126553,0.2842607233888345,0.7351694188608521,0.574463535897064,0.5256375621351814,
raw lzjd,0.2762973396127694,-0.043458964606097585,-0.12146714740733265,0.1528768799490828,0.15295403691509452,0.5483650397640875,0.6552195581598425,1.0,0.6390616576150162,0.030953735424721476,0.7047335459758823,0.13921659004767062,0.21372877031624454,0.21362170450794102,0.49933762323363706,0.6389703792429237,0.7908339349912398,0.6364765305677526,0.5362358263497373,0.6400113177260693,,0.21320937534499193,0.21312084796944672,0.5039022148507123,0.6482507055853992,0.7823570094655345,0.6323854372639803,0.5399612714416341,0.6433599523856669,,0.21825971963805008,0.21774113220819405,0.4629120422966149,0.6239163721397171,0.018914321459972572,0.62631005856092,0.5885543036086068,0.6853740074277455,,0.23610494039027047,0.23575982523990005,0.38041710090241593,0.6239163721397171,0.5215917008925448,0.637386674667038,0.5256845679368213,0.7022566595743834,,0.2182607450767399,0.21774123079721297,0.4639409673060454,0.6237755148799462,0.018419926692508914,0.6262007293751123,0.5883684250182809,0.6860632739882364,,0.23610653704548723,0.23576013904001816,0.3790049047954892,0.6237755148799462,0.5214425717682086,0.6374088120736701,0.5259518991165558,0.70219425930868,
raw bz,0.2715740604886539,-0.04406532387723831,-0.05482002432034473,0.15010880422152148,0.15015953138301885,0.6123961966958719,0.7452073146361216,0.6390616576150162,1.0,0.13657776650857864,0.5287693788484398,0.18541389029480412,0.21249562565564087,0.21259777494152535,0.5922788003161905,0.7729896580806814,0.5406282229389981,0.8784766336259138,0.6666365327937556,0.49378403395851517,,0.21273610541082652,0.21284593368438756,0.5993620974305872,0.7835179490701571,0.5345520329238678,0.8719639480619232,0.6709272812463386,0.4952544116090106,,0.20009915397699105,0.19976501714781436,0.5333056361310444,0.7636333697818052,-0.1820585218252946,0.8286671039256903,0.666258063227658,0.532779590667,,0.196559891703311,0.19659189046545,0.4773035310662729,0.7636333697818052,0.3237846836745454,0.8656804290434268,0.6556975774424424,0.5371225260082977,,0.2000994599587974,0.1997649976232388,0.5343785308441147,0.7636731044464014,-0.18224982718822136,0.8282127499051875,0.6664272793985118,0.5335248740929275,,0.19656076693422406,0.1965917701834579,0.4743858787950231,0.7636731044464014,0.3236336551877661,0.8658027066498194,0.6560028047644871,0.5372075459895711,
raw jump,0.061739767409850745,-0.02826701367849888,0.02805122596202126,0.1157461889567265,0.1158153279832155,0.05600645880580684,0.1523266693100183,0.030953735424721476,0.13657776650857864,1.0,0.028372811098278106,0.1248888839036642,0.08965584998380129,0.08965431311296893,0.08899401496774473,0.1524192180784208,-0.022202911322625665,0.13783073939279145,0.16342008144104395,0.04903064008723345,,0.08901727261343771,0.08899676096195919,0.0845064981324762,0.14754496828243674,-0.02815841993103867,0.14081343555887954,0.16095347479313202,0.0462738251629346,,0.07764707126640402,0.07724510582357452,0.06883764093358698,0.14834358097121797,-0.15653740198533056,0.14174764412174184,0.12578996281442292,-0.010372233364018808,,0.0741545011505847,0.07424010624034208,0.14420026944644676,0.14834358097121797,-0.11406965284084344,0.13668861770758609,0.1625224480361815,0.017401218493809184,,0.07764936617116847,0.07724587966953501,0.06876570846340437,0.1484229522176037,-0.15589590189482933,0.14159824817311206,0.12600618110353357,-0.01029439512005427,,0.07415431022595391,0.07423971477784229,0.142573805027678,0.1484229522176037,-0.11407997952095575,0.13662987177253028,0.1620275435897013,0.017423668244500732,
